Code;Territoire;Part des moins de 3 ans dans la population totale (%);Nombre de places en milieu d'accueil par enfant de moins de trois ans ();Population totale (Nombre d'habitants);#0-2 ans;#places en crèche
21001A52-;SCHERDEMAEL-NORD;3,29;0,00;486,00;16;0
21001A53-;NELLIE MELBA;4,02;0,00;423,00;17;0
21001A552;TREFLE;4,01;0,00;2541,00;102;0
21001A712;SCHEUT - DE SMET;5,35;0,08;954,00;51;3,849056603
21001A72-;OSSEGEM;5,46;0,47;3315,00;181;85,47222222
21001A732;SCHEUTVELD;1,99;0,00;301,00;6;0
21001A74-;SCHEUT-OUEST;4,76;0,00;2604,00;124;0
21001A783;SCHEUT-INTERNAT;0,00;0,00;1,00;0;0
21001A80-;SILLON;3,58;0,00;2878,00;103;0
21001A81-;BROECK;4,03;0,00;1836,00;74;0
21001A82-;MOORTEBEEK;2,91;0,00;1785,00;52;0
21001A83-;PETERBOS;3,50;0,44;3116,00;109;48,21153846
21001A84-;POESIE;7,07;0,00;1104,00;78;0
21001A85-;AUBADE;5,42;0,00;609,00;33;0
21001A90-;SCHEUTKAPEL;4,15;0,22;2121,00;88;19,2183908
21001A911;SCHEUT-EST;6,30;0,39;2160,00;136;52,47244095
21001A92-;JAKOB SMITS;5,66;0,11;3513,00;199;21,765625
21001A931;AGRAFE-NORBERT GILLE;6,19;0,00;1988,00;123;0
21001A941;CROCUS;6,18;0,08;2202,00;136;10,40689362
21001A95-;BUFFON;4,51;0,08;3148,00;142;11,83333333
21001A982;PARC FORESTIER;0,00;0,00;0,00;0;0
21001B10-;ROSEE-EST;5,53;0,16;2622,00;145;22,89476449
21001B11-;ROSEE-OUEST;5,26;0,00;836,00;44;0
21001B17-;ABATTOIR;6,65;0,47;1053,00;70;32,66666667
21001B20-;CONSEIL-NORD;6,55;0,13;5542,00;363;47,59158233
21001B21-;BROGNIEZ-NORD;6,42;0,16;3569,00;229;37,13513514
21001B22-;BROGNIEZ-SUD;6,13;0,00;1239,00;76;0
21001B23-;CONSEIL-SUD;4,72;0,00;1505,00;71;0
21001B241;REVISION-SUD;6,05;0,00;2066,00;125;0
21001B25-;REVISION-NORD;5,41;0,38;3805,00;206;78,47619049
21001B31-;ALBERT I- IMMEUBLES;3,87;0,00;878,00;34;0
21001B321;ALBERT I- QUARTIER;5,92;0,76;1977,00;117;89,34545454
21001B332;GOUJONS;4,30;0,00;1093,00;47;0
21001B372;DEUX GARES;0,00;0,00;54,00;0;0
21001B3MJ;PETITE ILE - RIVE DROITE;0,00;0,00;112,00;0;0
21001C512;CHANTS D'OISEAUX;2,88;0,27;1529,00;44;12
21001C522;HOPITAL U.L.B.;0,00;73,00;191,00;0;0
21001C581;CIMETIERE;0,00;0,00;64,00;0;0
21001C5MA;MEYLEMEERSCH;0,00;0,00;44,00;0;0
21001C5PA;MEERVELD;0,00;0,00;102,00;0;0
21001C611;SOETKIN;2,90;2,90;551,00;16;46,4
21001C6MB;MEYLEMEERSCH-EST;0,00;0,00;0,00;0;0
21001C6PB;ZONE RURALE;2,33;1,41;430,00;10;14,13535714
21001C70-;BON AIR - CENTRE;5,96;2,00;235,00;14;28
21001C71-;BON AIR - CITE JARDIN;2,67;0,82;1463,00;39;32,11764706
21001C79-;BON AIR - HABITATIONS DISP.;0,00;0,00;136,00;0;0
