Commune;Garcons;Filles
Anderlecht;7;4,833333333
Auderghem;2,666666667;3,166666667
Berchem Sainte-Agathe;1,166666667;2
Bruxelles;7,5;11,16666667
Etterbeek;2,166666667;2,5
Evere;2,5;1,333333333
Forest;2,166666667;2
Ganshoren;0,833333333;0,833333333
Ixelles;5;4,833333333
Jette;2,5;3,666666667
Koekelberg;1,166666667;1,166666667
Molenbeek Saint-Jean;5;5
Saint-Gilles;2;2
Saint-Josse-ten-Noode;0,666666667;0,166666667
Schaerbeek;7,333333333;9,5
Uccle;5,333333333;8
Watermael-Boitsfort;3,166666667;3
Woluwe Saint-Lambert;3,666666667;6,833333333
Woluwe Saint-Pierre;3,166666667;6
