Code;Territoire;Commune;#hommes colloc dans commune;% de hommes de la commune dans secteur stat;#hommes colloc dans secteur stat
21002A441;CHANT D'OISEAUX;Auderghem;550;0,037393558;20,56645687
21002A482;VAL DUCHESSE;Auderghem;550;0,000246822;0,135752191
21002A190;FORET DE SOIGNES;Auderghem;550;0,001542639;0,848451191
21002A130;PARC DES PRINCES;Auderghem;550;0,039244724;21,5845983
21002A572;DEPOT METRO;Auderghem;550;0;0
21002A311;AMITIE (PLACE DE L');Auderghem;550;0,029988893;16,49389115
21002A372;QUARTIER INDUSTRIE;Auderghem;550;0,018881896;10,38504258
21002A492;WOLUWE PARC;Auderghem;550;0,000185117;0,101814143
21002A30-;TRIOMPHE (BOULEVARD DU);Auderghem;550;0,038936196;21,41490806
21002A21-;LEBON;Auderghem;550;0,086819696;47,75083302
21002A411;PUTDAAL;Auderghem;550;0,018511662;10,18141429
21002A00-;CENTRE - NORD;Auderghem;550;0,032086881;17,64778477
21002A39-;CHEMIN DE FER;Auderghem;550;0;0
21002A18-;ROUGE CLOITRE;Auderghem;550;0,000308528;0,169690238
21002A02-;CENTRE-SUD;Auderghem;550;0,030605948;16,83327163
21002A030;LAMMERENDRIES;Auderghem;550;0,057941503;31,86782673
21002A15-;SOUVERAIN (BLV DU)- BUILDINGS;Auderghem;550;0,003949155;2,172035049
21002A11-;SACRE-COEUR;Auderghem;550;0,028631371;15,7472541
21002A10-;TRANSVAAL;Auderghem;550;0,0734913;40,42021474
21002A14-;TEN REUKEN;Auderghem;550;0,012526225;6,88942367
21002A12-;AVENUE SCHALLER;Auderghem;550;0,044551401;24,50327039
21002A43-;SOUVERAIN (BOULEVARD DU) NORD;Auderghem;550;0,053313588;29,32247316
21002A091;TROIS COULEURS;Auderghem;550;0;0
21002A422;AVENUE IS.GERARD;Auderghem;550;0,004627916;2,545353573
21002A072;CENTRE COMMERCIAL;Auderghem;550;0,003332099;1,832654572
21002A041;VIGNETTE;Auderghem;550;0,016907318;9,299025052
21002A01-;SAINTE-ANNE;Auderghem;550;0,020671356;11,36924596
21002A52-;BEAULIEU;Auderghem;550;0,019067012;10,48685672
21003A38-;KONINCKXBOS;Berchem Sainte-Agathe;360;0,008039377;2,894175554
21003A312;POTAARDE  VLAK;Berchem Sainte-Agathe;360;0,087858901;31,62920427
21003A323;SEPT ETOILES;Berchem Sainte-Agathe;360;0,037325677;13,43724364
21003A342;HOGENBOS;Berchem Sainte-Agathe;360;0,038228056;13,76210008
21003A331;ALLEE VERTE;Berchem Sainte-Agathe;360;0,031173093;11,22231337
21003A04-;L. DE SMET;Berchem Sainte-Agathe;360;0,045775226;16,47908121
