Code;Territoire;Commune;#femmes colloc dans commune;% de femmes de la commune dans secteur stat;#femmes colloc dans secteur stat
21007A783;PARC DE FOREST;Forest;969;0,008482466;8,219509672
21007A373;CHARROI (RUE DE);Forest;969;0,000379297;0,36753905
21007A071;BOLLINCKX;Forest;969;0,01910279;18,51060308
21007A70-;ALTITUDE  CENT;Forest;969;0,06151512;59,60815144
21007A239;NEPTUNE (AVENUE) I;Forest;969;0,060101376;58,23823316
21007A05-;NEERSTALLE;Forest;969;0,016275301;15,77076653
21007A082;BEMPT;Forest;969;0,001172373;1,136029792
21007A01-;CURE D'ARS;Forest;969;0,02175787;21,08337644
21007A132;DENAYER (RUE);Forest;969;0,002655081;2,572773353
21007A52-;VAN VOLXEM - PETITE INDUSTRIE;Forest;969;0,020240681;19,61322023
21007A40-;PONT DE LUTTRE;Forest;969;0,033481604;32,44367436
21007A02-;STUART MERRIL;Forest;969;0,010344471;10,02379228
21007A12-;HAVESKERCKE;Forest;969;0,004448122;4,310230682
21007A60-;SAINT-ANTOINE;Forest;969;0,075307748;72,97320782
21007A73-;BERCKENDAEL (RUE);Forest;969;0,039653805;38,42453708
21007A72-;MOLIERE;Forest;969;0,081548912;79,02089583
21007A71-;CHAUSSEE D'ALSEMBERG;Forest;969;0,024688804;23,92345092
21007A79-;PARC DUDEN;Forest;969;0,000172408;0,167063205
21008A31-;TOUSSAINT;Ganshoren;240;0,018776452;4,506348596
21008A30-;LE HOME;Ganshoren;240;0,051096576;12,26317815
21008A00-;CENTRE;Ganshoren;240;0,043555214;10,45325125
21008A38-;PARC DE RIVIEREN;Ganshoren;240;0;0
21008A27-;NESTOR MARTIN;Ganshoren;240;0;0
21008A220;VILLAS DE GANSHOREN (OUEST);Ganshoren;240;0,129742209;31,13813005
21008A02-;SIPPELBERG;Ganshoren;240;0,114120816;27,38899577
21008A34-;PARC ALBERT;Ganshoren;240;0,021931512;5,263562909
21008A35-;CHARTE;Ganshoren;240;0,013466718;3,232012312
21008A240;REFORME;Ganshoren;240;0,065409773;15,69834552
21008A23-;DE MESMAEKER;Ganshoren;240;0,014005387;3,361292805
21008A20-;CHARLES-QUINT;Ganshoren;240;0,164293959;39,43055021
21008A29-;RIVIERE MOLENBEEK;Ganshoren;240;0;0
21008A01-;VAN PAGE-SUD;Ganshoren;240;0,024624856;5,909965371
21008A33-;VAN PAGE-NORD;Ganshoren;240;0,046864179;11,24740285
21008A32-;HEIDEKEN;Ganshoren;240;0,066333205;15,91996922
21008A10-;PLATEAU;Ganshoren;240;0,124586379;29,90073105
21008A19-;BASILIQUE;Ganshoren;240;0,000153905;0,036937284
21008A21-;MAIL;Ganshoren;240;0,09957676;23,89842247
21009A20-;PETITE SUISSE (PLACE DE LA);Ixelles;2012;0,035049362;70,51931659
21009A23-;ETOILE (ROND POINT DE L');Ixelles;2012;0,02695758;54,23865122
21009A623;KLAUWAERTS;Ixelles;2012;0,003606365;7,256006852
21009A90-;SAINT-PHILIPPE DE NERI;Ixelles;2012;0,017288013;34,78348285
21009A652;HOPITAUX;Ixelles;2012;0,032930623;66,25641257
21009A501;LUXEMBOURG (PLACE DE);Ixelles;2012;0,004823514;9,704909165
21009A552;PORTE DE NAMUR;Ixelles;2012;0,01555245;31,29152955
21009A542;EGLISE ANGLICANE;Ixelles;2012;0,007618447;15,32831448
21009A051;SAINT-BONIFACE;Ixelles;2012;0,014718478;29,61357797
21009A041;ARBRE BENIT;Ixelles;2012;0,027543614;55,41775233
21009A00-;CENTRE;Ixelles;2012;0,029256638;58,86435559
21009A02-;MUSEE;Ixelles;2012;0,035162061;70,74606681
21009A101;FLAGEY (PLACE);Ixelles;2012;0,021255015;42,76509038
21009A03-;ERMITAGE;Ixelles;2012;0,023711851;47,70824505
21009A13-;GACHARD;Ixelles;2012;0,016769598;33,74043186
21009A121;GENERAL DE GAULLE;Ixelles;2012;0,014583239;29,34147771
21009A63-;MACAU;Ixelles;2012;0,033494117;67,39016364
21009A602;BELVEDERE;Ixelles;2012;0,003921922;7,890907452
21009A42-;RENIER CHALON;Ixelles;2012;0,032795384;65,98431231
21009A40-;MELEZES;Ixelles;2012;0,022156606;44,5790921
21009A301;BOONDAEL-NORD;Ixelles;2012;0,012058784;24,26227291
21009A812;SCHOOLGAT;Ixelles;2012;0,005116531;10,29445972
21009A33-;SAINT-ADRIEN;Ixelles;2012;0,048843709;98,2735428
21009A34-;STADE COMMUNAL;Ixelles;2012;0,005364468;10,79331019
21009A21-;ETE;Ixelles;2012;0,039083983;78,63697426
21009A43-;FERNAND NEURAY;Ixelles;2012;0,022314385;44,8965424
21009A41-;SAINT-GEORGES;Ixelles;2012;0,026551864;53,42235045
21009A83-;L. ERNOTTE (RUE);Ixelles;2012;0,012148943;24,44367308
21009A52-;GRAY (RUE);Ixelles;2012;0,041135103;82,76382816
21009A2MJ;CAMPUS UNIVERSITAIRE;Ixelles;2012;0,01039084;20,90636974
21009A44-;PREVOT;Ixelles;2012;0,02181851;43,89884146
21009A712;CHATELAIN (PLACE DU)-OUEST;Ixelles;2012;0,009940044;19,99936889
21009A72-;DEFACQZ;Ixelles;2012;0,020939458;42,13018978
21009A911;A. DELPORTE-SUD;Ixelles;2012;0,019294054;38,81963666
