Code;Territoire;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
21001A53-;NELLIE MELBA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857;0,457142857
21001A41-;ROMAIN ROLLAND;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,083333333;1,083333333;1,083333333;1,083333333;1,083333333;1,083333333;1,083333333;1,083333333;1,083333333;1,083333333;1,083333333;1,083333333;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;7,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857;4,857142857
21001A492;ETANGS - PARC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A37-;ZUEN - INDUSTRIE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A85-;AUBADE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;1,057142857;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571;0,571428571
21001B3MJ;PETITE ILE - RIVE DROITE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A51-;SCHERDEMAEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,083333333;1,083333333;1,083333333;1,083333333;1,083333333;1,083333333;1,083333333;1,083333333;1,083333333;1,083333333;1,083333333;1,083333333;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429;4,028571429
21001A42-;KAT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,916666667;0,916666667;0,916666667;0,916666667;0,916666667;0,916666667;0,916666667;0,916666667;0,916666667;0,916666667;0,916666667;0,916666667;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571;0,771428571
21001A52-;SCHERDEMAEL-NORD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,166666667;0,166666667;0,166666667;0,166666667;0,166666667;0,166666667;0,166666667;0,166666667;0,166666667;0,166666667;0,166666667;0,166666667;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429
21001C70-;BON AIR - CENTRE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,542857143;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2
