Code;Territoire;Commune;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
21001A53-;NELLIE MELBA;Anderlecht;2,6;2,6;2,6;2,6;2,6;1,8;1,8;1,8;1,8;1,8;1,8;1,8;1,8;1,8;1,8;1,2;1,2;1,2;1,2;1,2;2,2;2,2;2,2;2,2;2,2;4;4;4;4;4;2,8;2,8;2,8;2,8;2,8;2,4;2,4;2,4;2,4;2,4;0;0;0;0;0;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;3,2;3,2;3,2;3,2;3,2;2,6;2,6;2,6;2,6;2,6;3;3;3;3;3;1,8;1,8;1,8;1,8;1,8;2;2;2;2;2;1,4;1,4;1,4;1,4;1,4;1,4;1,4;1,4;1,4;1,4;0,800;0,8;0,8;0,8;0,8;0,548108108;0,548108108;0,548108108;0,548108108;0,548108108
21001A41-;ROMAIN ROLLAND;Anderlecht;13,6;13,6;13,6;13,6;13,6;15;15;15;15;15;14,2;14,2;14,2;14,2;14,2;13,2;13,2;13,2;13,2;13,2;12;12;12;12;12;11,6;11,6;11,6;11,6;11,6;16,2;16,2;16,2;16,2;16,2;17;17;17;17;17;13;13;13;13;13;15,8;15,8;15,8;15,8;15,8;16,6;16,6;16,6;16,6;16,6;15;15;15;15;15;10,6;10,6;10,6;10,6;10,6;11,8;11,8;11,8;11,8;11,8;15,2;15,2;15,2;15,2;15,2;11,4;11,4;11,4;11,4;11,4;14,4;14,4;14,4;14,4;14,4;15,6;15,6;15,6;15,6;15,6;5,000;5;5;5;5;3,288648649;3,288648649;3,288648649;3,288648649;3,288648649
21001A492;ETANGS - PARC;Anderlecht;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000;0;0;0;0;0;0;0;0;0
21001A37-;ZUEN - INDUSTRIE;Anderlecht;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000;0;0;0;0;0;0;0;0;0
21001A85-;AUBADE;Anderlecht;6;6;6;6;6;6,4;6,4;6,4;6,4;6,4;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;4,6;4,6;4,6;4,6;4,6;7;7;7;7;7;7;7;7;7;7;4,6;4,6;4,6;4,6;4,6;0;0;0;0;0;3,6;3,6;3,6;3,6;3,6;3,4;3,4;3,4;3,4;3,4;4;4;4;4;4;2,4;2,4;2,4;2,4;2,4;1,8;1,8;1,8;1,8;1,8;1,4;1,4;1,4;1,4;1,4;2;2;2;2;2;1,2;1,2;1,2;1,2;1,2;0,8;0,8;0,8;0,8;0,8;0,200;0,2;0,2;0,2;0,2;0;0;0;0;0
21001B3MJ;PETITE ILE - RIVE DROITE;Anderlecht;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000;0;0;0;0;0;0;0;0;0
21001A51-;SCHERDEMAEL;Anderlecht;5,6;5,6;5,6;5,6;5,6;9,2;9,2;9,2;9,2;9,2;5,4;5,4;5,4;5,4;5,4;4,8;4,8;4,8;4,8;4,8;8,2;8,2;8,2;8,2;8,2;11,2;11,2;11,2;11,2;11,2;10;10;10;10;10;9,8;9,8;9,8;9,8;9,8;0;0;0;0;0;9,2;9,2;9,2;9,2;9,2;9,4;9,4;9,4;9,4;9,4;14,8;14,8;14,8;14,8;14,8;8;8;8;8;8;8,4;8,4;8,4;8,4;8,4;12,6;12,6;12,6;12,6;12,6;10,8;10,8;10,8;10,8;10,8;8,6;8,6;8,6;8,6;8,6;6,8;6,8;6,8;6,8;6,8;2,800;2,8;2,8;2,8;2,8;1,096216216;1,096216216;1,096216216;1,096216216;1,096216216
21001A42-;KAT;Anderlecht;2,4;2,4;2,4;2,4;2,4;3,4;3,4;3,4;3,4;3,4;3,4;3,4;3,4;3,4;3,4;3;3;3;3;3;4,2;4,2;4,2;4,2;4,2;4,6;4,6;4,6;4,6;4,6;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;3;3;3;3;3;4,4;4,4;4,4;4,4;4,4;2,6;2,6;2,6;2,6;2,6;2,8;2,8;2,8;2,8;2,8;4,6;4,6;4,6;4,6;4,6;1,8;1,8;1,8;1,8;1,8;1,6;1,6;1,6;1,6;1,6;1,8;1,8;1,8;1,8;1,8;2,2;2,2;2,2;2,2;2,2;0,600;0,6;0,6;0,6;0,6;0;0;0;0;0
21001A52-;SCHERDEMAEL-NORD;Anderlecht;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;3,6;3,6;3,6;3,6;3,6;1,2;1,2;1,2;1,2;1,2;3;3;3;3;3;3,8;3,8;3,8;3,8;3,8;2;2;2;2;2;3,6;3,6;3,6;3,6;3,6;0;0;0;0;0;4,2;4,2;4,2;4,2;4,2;4,4;4,4;4,4;4,4;4,4;3,2;3,2;3,2;3,2;3,2;3,8;3,8;3,8;3,8;3,8;2,8;2,8;2,8;2,8;2,8;2;2;2;2;2;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,4;2,4;2,4;2,4;2,4;0,000;0;0;0;0;0,365405405;0,365405405;0,365405405;0,365405405;0,365405405
21001C70-;BON AIR - CENTRE;Anderlecht;1,2;1,2;1,2;1,2;1,2;2,4;2,4;2,4;2,4;2,4;2;2;2;2;2;2,8;2,8;2,8;2,8;2,8;2,8;2,8;2,8;2,8;2,8;2;2;2;2;2;3,2;3,2;3,2;3,2;3,2;1,8;1,8;1,8;1,8;1,8;0;0;0;0;0;1,8;1,8;1,8;1,8;1,8;2,8;2,8;2,8;2,8;2,8;1,8;1,8;1,8;1,8;1,8;1,8;1,8;1,8;1,8;1,8;0,4;0,4;0,4;0,4;0,4;0,6;0,6;0,6;0,6;0,6;0,8;0,8;0,8;0,8;0,8;0,2;0,2;0,2;0,2;0,2;0,6;0,6;0,6;0,6;0,6;0,000;0;0;0;0;0;0;0;0;0
