Code;Territoire;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
21001A53-;NELLIE MELBA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,649385704;9,649385704;9,649385704;9,649385704;0,17721519;0,17721519;0,17721519;0,17721519;0,17721519;0,17721519;0,17721519;0,17721519;0,17721519;0,17721519;0,17721519;0,17721519;0,17721519;0,17721519;0,17721519;0,17721519;0,17721519;0,17721519;0,17721519;0,17721519;0,17721519;0,17721519;0,17721519;0,17721519;0,17721519;0,17721519;0,17721519;0,17721519;0,17721519;0,17721519;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003;0,00172003
21001A41-;ROMAIN ROLLAND;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38,3944825;38,3944825;38,3944825;38,3944825;1,566666667;1,566666667;1,566666667;1,566666667;1,566666667;1,566666667;1,566666667;1,566666667;1,566666667;1,566666667;1,566666667;1,566666667;1,566666667;1,566666667;1,566666667;1,566666667;1,566666667;1,566666667;1,566666667;1,566666667;1,566666667;1,566666667;1,566666667;1,566666667;1,566666667;1,566666667;1,566666667;1,566666667;1,566666667;1,566666667;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414;0,0084414
21001A492;ETANGS - PARC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A37-;ZUEN - INDUSTRIE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A85-;AUBADE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,21914059;5,21914059;5,21914059;5,21914059;0,565777778;0,565777778;0,565777778;0,565777778;0,565777778;0,565777778;0,565777778;0,565777778;0,565777778;0,565777778;0,565777778;0,565777778;0,565777778;0,565777778;0,565777778;0,565777778;0,565777778;0,565777778;0,565777778;0,565777778;0,565777778;0,565777778;0,565777778;0,565777778;0,565777778;0,565777778;0,565777778;0,565777778;0,565777778;0,565777778;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086;0,003002086
21001B3MJ;PETITE ILE - RIVE DROITE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A51-;SCHERDEMAEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33,9850446;33,9850446;33,9850446;33,9850446;0,957553957;0,957553957;0,957553957;0,957553957;0,957553957;0,957553957;0,957553957;0,957553957;0,957553957;0,957553957;0,957553957;0,957553957;0,957553957;0,957553957;0,957553957;0,957553957;0,957553957;0,957553957;0,957553957;0,957553957;0,957553957;0,957553957;0,957553957;0,957553957;0,957553957;0,957553957;0,957553957;0,957553957;0,957553957;0,957553957;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058;0,006664058
21001A42-;KAT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,42900039;10,42900039;10,42900039;10,42900039;0,107878788;0,107878788;0,107878788;0,107878788;0,107878788;0,107878788;0,107878788;0,107878788;0,107878788;0,107878788;0,107878788;0,107878788;0,107878788;0,107878788;0,107878788;0,107878788;0,107878788;0,107878788;0,107878788;0,107878788;0,107878788;0,107878788;0,107878788;0,107878788;0,107878788;0,107878788;0,107878788;0,107878788;0,107878788;0,107878788;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696;0,000952696
21001A52-;SCHERDEMAEL-NORD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,21287129;10,21287129;10,21287129;10,21287129;0,301320132;0,301320132;0,301320132;0,301320132;0,301320132;0,301320132;0,301320132;0,301320132;0,301320132;0,301320132;0,301320132;0,301320132;0,301320132;0,301320132;0,301320132;0,301320132;0,301320132;0,301320132;0,301320132;0,301320132;0,301320132;0,301320132;0,301320132;0,301320132;0,301320132;0,301320132;0,301320132;0,301320132;0,301320132;0,301320132;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218;0,002178218
21001C70-;BON AIR - CENTRE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,188344988;3,188344988;3,188344988;3,188344988;0,237948718;0,237948718;0,237948718;0,237948718;0,237948718;0,237948718;0,237948718;0,237948718;0,237948718;0,237948718;0,237948718;0,237948718;0,237948718;0,237948718;0,237948718;0,237948718;0,237948718;0,237948718;0,237948718;0,237948718;0,237948718;0,237948718;0,237948718;0,237948718;0,237948718;0,237948718;0,237948718;0,237948718;0,237948718;0,237948718;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317;0,00216317
