Code;Name;Commune
21004F511;AVENUE DES PAGODES;Bruxelles
21004C62-;BOENDAAL-OUEST;Bruxelles
21004C65-;VIVIER D'OIE;Bruxelles
21004G310;HAREN-SUD-OUEST;Bruxelles
21004D6MJ;QUAI DES USINES - MONNOYER;Bruxelles
21004F94-;VAL MARIA;Bruxelles
21004F901;PLACE PETER BENOIT;Bruxelles
21004G371;GARE DE FORMATION;Bruxelles
21004G30-;SAINTE-ELISABETH;Bruxelles
21004F930;COIN DES CERISES;Bruxelles
21004G321;HAREN-EST;Bruxelles
21004B2WJ;RUE DE PASCAL - ST.-SACREMENT;Bruxelles
21004B45-;ECOLE MILITAIRE;Bruxelles
21004B49-;CINQUANTENAIRE (PARC DU);Bruxelles
21004B1MJ;RUE JOSEPH II;Bruxelles
21004A25-;BEGUINAGE (PLACE DU);Bruxelles
21004B2MJ;SCHUMAN (ROND-POINT);Bruxelles
21004B44-;AMBIORIX-SUD (SQUARE);Bruxelles
21004B43-;AMBIORIX-NORD (SQUARE);Bruxelles
21004B293;LEOPOLD (PARC);Bruxelles
21004A24-;MARCHE AU PORCS;Bruxelles
21004F970;MARLY-NORD;Bruxelles
21004A35-;AD. MAX (BOULEVARD);Bruxelles
21004A83-;E. JACQMAIN (BOULEVARD)-OUEST;Bruxelles
21004F994;TRASSERSWEG - NEDER-HEEMBEEK;Bruxelles
21004F531;RUE DES FAINES;Bruxelles
21004E180;DOMAINE ROYALE;Bruxelles
21004E292;AVENUE DES CROIX DU FEU;Bruxelles
21004G3MJ;DOBBELENBERG (RUE DE);Bruxelles
21004F572;MARLY-SUD;Bruxelles
21004F91-;CROIX DE GUERRE (AVENUE DES);Bruxelles
21004F922;RUE CHATEAU BEYAERD;Bruxelles
21004G3NJ;HAREN-SUD;Bruxelles
21004C642;AVENUE FRANKLIN ROOSEVELT;Bruxelles
21004C591;CAMBRE (BOIS DE LA);Bruxelles
21004C61-;U.L.B.;Bruxelles
21004C54-;LOUISE (AVENUE)-SUD-EST;Bruxelles
21004C63-;NATIONS (SQUARE DES);Bruxelles
21004B2NJ;CITE DE LA CHAUSSEE;Bruxelles
21004B13-;TREVES (RUE DE);Bruxelles
21004F953;RUE DU WIMPELBERG;Bruxelles
21004F9MJ;NEDER-HEEMBEEK-NORD;Bruxelles
21004A02-;SAINT-FRANCOIS XAVIER;Bruxelles
21004A70-;BLAES (RUE)-SUD;Bruxelles
21004A1MJ;COLONIES (RUE DES);Bruxelles
21004A03-;BON SECOURS - PALAIS DU MIDI;Bruxelles
21004A19-;PALAIS ROYAL;Bruxelles
21004A23-;NOUVEAU MARCHE AU GRAIN;Bruxelles
21004A10-;GARE CENTRALE;Bruxelles
21004A01-;VIEILLE HALLE AUX BLES;Bruxelles
21004A22-;SENNE (RUE DE LA);Bruxelles
21004B10-;ORBAN (SQUARE);Bruxelles
21004A72-;SAINT-THOMAS (INSTITUT);Bruxelles
21004A71-;BLAES (RUE)-CENTRE;Bruxelles
21004A002;BOURSE;Bruxelles
21004A34-;MONNAIE;Bruxelles
21004A15-;JACOBS (PLACE);Bruxelles
21004A04-;NOTRE-DAME DE LA CHAPELLE;Bruxelles
21004A16-;PALAIS JUSTICE-HOP. ST.-PIERRE;Bruxelles
21004A20-;BOURSE-NORD-OUEST;Bruxelles
21004A14-;GRAND SABLON;Bruxelles
21004A001;GRAND-PLACE;Bruxelles
21004A32-;CONGRES - GARE;Bruxelles
21004A30-;SAINT-MICHEL ET GUDULE;Bruxelles
21004C52-;LOUISE (AVENUE)-NORD-OUEST;Bruxelles
21004A12-;REGENT (BOULEVARD DU);Bruxelles
21004C552;LOUISE (AVENUE)-SUD;Bruxelles
21004B112;RUE DU COMMERCE;Bruxelles
21004A3MJ;CITE ADMINISTRATIVE ET CONGRES;Bruxelles
21004C51-;LOUISE (AVENUE)-NORD-EST;Bruxelles
21004A33-;LIBERTE (PLACE DE LA);Bruxelles
21004C53-;LOUISE (AVENUE)-SUD-OUEST;Bruxelles
21004C501;LOUISE (AVENUE)-NORD;Bruxelles
21004A21-;ANNEESSENS (PLACE);Bruxelles
21004A13-;PETIT SABLON;Bruxelles
21004E70-;MARIE-CHRISTINE (RUE);Bruxelles
21004E74-;EM. DELVA (RUE);Bruxelles
21004E201;AVENUE JEAN DE BOLOGNE;Bruxelles
21004E83-;STIENON (AVENUE);Bruxelles
21004E8MJ;HEYSEL;Bruxelles
21004E130;SACRE-COEUR;Bruxelles
21004E73-;EM. BOCKSTAEL (BOULEVARD)-SUD;Bruxelles
21004E72-;MAISON ROUGE (PLACE)-SUD;Bruxelles
21004E193;N.D. DE LAEKEN;Bruxelles
21004D64-;MASUI (PLACE)-NORD;Bruxelles
21004E112;RUE DES CHRYSANTHEMES;Bruxelles
21004D62-;ANVERS (CHAUSSEE D')-NORD;Bruxelles
21004E211;RUE DE WAND;Bruxelles
21004D631;ALLEE VERTE - BASSIN VERGOTE;Bruxelles
21004E12-;PRINCE LEOPOLD (SQUARE);Bruxelles
21004D6NJ;TOUR ET TAXIS;Bruxelles
21004A822;RUE DES COMMERCANTS;Bruxelles
21004E800;DIVIN JESUS;Bruxelles
21004E233;DE MEYSSE (AVENUE);Bruxelles
21004E101;PARVIS NOTRE DAME;Bruxelles
21004A811;QUAI DU COMMERCE;Bruxelles
