Commune;Garcons;Filles
Anderlecht;29 ;24 
Auderghem;8 ;12 
Berchem Sainte-Agathe;7 ;8 
Bruxelles;57 ;40 
Etterbeek;18 ;16 
Evere;11 ;14 
Forest;17 ;15 
Ganshoren;4 ;5 
Ixelles;21 ;22 
Jette;14 ;17 
Koekelberg;8 ;5 
Molenbeek Saint-Jean;33 ;21 
Saint-Gilles;7 ;15 
Saint-Josse-ten-Noode;7 ;7 
Schaerbeek;25 ;32 
Uccle;24 ;37 
Watermael-Boitsfort;11 ;11 
Woluwe Saint-Lambert;23 ;20 
Woluwe Saint-Pierre;23 ;23 
