Code postal de l'implantation;Libellé commune de l'implantation;Sexe;Age;Code postal du domicile légal;Libellé de la commune de domicile légal;Code INS du domicile belge;Code INS de l'arrondissement du domicile belge;Distance en km;Sum of Compte;Bxl / hors bxl logement;Lieu logement;Code postal logement;Code INS logement;Code INS Arrondissement logement
1000;BRUXELLES;Femme;16;1000;BRUXELLES;21004;21000;0;1;Brussels;BRUXELLES;1000;21004;21000
1000;BRUXELLES;Femme;17;1000;BRUXELLES;21004;21000;0;1;Brussels;BRUXELLES;1000;21004;21000
1000;BRUXELLES;Femme;17;1030;SCHAERBEEK;21015;21000;3;1;Brussels;SCHAERBEEK;1030;21015;21000
1000;BRUXELLES;Femme;17;1160;AUDERGHEM;21002;21000;10;1;Brussels;AUDERGHEM;1160;21002;21000
1000;BRUXELLES;Femme;17;4920;AYWAILLE;62009;62000;105;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;17;7800;ATH;51004;51000;51;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;17;(blank);(blank);(blank);(blank);(blank);3;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;0002;REGION FLAMANDE;(blank);(blank);43;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;0002;REGION FLAMANDE;(blank);(blank);74;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1000;BRUXELLES;21004;21000;0;12;Brussels;BRUXELLES;1000;21004;21000
1000;BRUXELLES;Femme;18;1030;SCHAERBEEK;21015;21000;3;16;Brussels;SCHAERBEEK;1030;21015;21000
1000;BRUXELLES;Femme;18;1040;ETTERBEEK;21005;21000;6;5;Brussels;ETTERBEEK;1040;21005;21000
1000;BRUXELLES;Femme;18;1050;IXELLES;21009;21000;8;5;Brussels;IXELLES;1050;21009;21000
1000;BRUXELLES;Femme;18;1060;SAINT-GILLES;21013;21000;7;3;Brussels;SAINT-GILLES;1060;21013;21000
1000;BRUXELLES;Femme;18;1070;ANDERLECHT;21001;21000;9;10;Brussels;ANDERLECHT;1070;21001;21000
