Code;Territoire;0-4 ans femmes;0-4 ans hommes;5-9 ans femmes;5-9 ans hommes;10-14 ans femmes;10-14 ans hommes;15-19 ans femmes;15-19 ans hommes;20-24 ans femmes;20-24 ans hommes;25-29 ans femmes;25-29 ans hommes;30-34 ans femmes;30-34 ans hommes;35-39 ans femmes;35-39 ans hommes;40-44 ans femmes;40-44 ans hommes;45-49 ans femmes;45-49 ans hommes;50-54 ans femmes;50-54 ans hommes;55-59 ans femmes;55-59 ans hommes;60-64 ans femmes;60-64 ans hommes;65-69 ans femmes;65-69 ans hommes;70-74 ans femmes;70-74 ans hommes;75-79 ans femmes;75-79 ans hommes;80-84 ans femmes;80-84 ans hommes;85-89 ans femmes;85-89 ans hommes;90-94 ans femmes;90-94 ans hommes;95+ ans femmes;95+ ans hommes
21003A10-;HOPITAL FRANCAIS;4;4;3;3;2;3;2;3;3;2;4;3;4;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;1;2;1;1;1;0;0;0;0
21004B421;MARIE-LOUISE (SQUARE);3;3;2;3;2;2;1;2;2;2;7;6;6;6;5;6;4;5;3;4;3;4;3;3;2;2;2;1;1;1;1;1;0;0;0;0;0;0;0;0
21004B411;DEUX EGLISES (RUE DES);2;3;3;2;1;1;1;1;3;4;8;7;8;9;5;5;0;5;3;4;2;3;2;2;2;2;1;2;1;1;1;0;1;0;0;0;0;0;0;0
21004F511;AVENUE DES PAGODES;3;5;4;4;4;3;3;3;2;2;3;2;4;4;4;3;0;4;4;3;3;3;3;3;3;3;2;2;1;1;1;1;1;1;1;0;0;0;0;0
21004C62-;BOENDAAL-OUEST;3;2;3;2;2;2;2;2;3;2;4;2;5;3;4;3;0;4;3;4;4;4;3;3;3;2;3;2;3;3;2;2;2;2;1;1;0;0;0;0
21004C65-;VIVIER D'OIE;2;2;3;4;5;4;4;4;3;4;1;2;3;3;4;1;0;4;4;5;4;4;3;3;2;2;2;2;1;1;1;1;1;1;1;1;0;0;0;0
21004G310;HAREN-SUD-OUEST;3;5;4;4;4;4;5;4;3;4;4;3;4;3;3;3;0;3;4;3;3;3;3;4;2;3;2;1;1;1;0;0;0;0;1;0;0;0;0;0
21004D6MJ;QUAI DES USINES - MONNOYER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21004F94-;VAL MARIA;2;2;4;4;5;5;6;6;5;5;3;4;2;2;2;2;0;2;4;3;3;2;4;3;3;3;2;2;2;1;1;1;1;0;1;0;1;0;0;0
21004F901;PLACE PETER BENOIT;4;4;4;4;4;4;3;3;3;3;3;3;5;3;4;3;0;3;3;4;3;2;3;3;3;3;3;2;2;2;2;1;1;1;1;0;0;0;0;0
21004G371;GARE DE FORMATION;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21004G30-;SAINTE-ELISABETH;4;4;4;5;4;5;4;4;4;4;3;3;4;3;4;3;4;4;3;4;3;3;3;3;2;2;1;1;1;1;0;1;1;0;0;0;0;0;0;0
21004F930;COIN DES CERISES;3;3;4;5;5;6;4;5;4;4;2;2;2;1;3;1;0;2;4;2;4;4;3;2;3;2;3;2;2;1;1;1;2;1;1;0;0;0;0;0
21004G321;HAREN-EST;4;5;5;5;4;5;3;4;3;2;4;3;4;3;5;4;0;3;3;3;2;3;3;3;2;2;2;2;2;1;1;1;1;1;0;0;0;0;0;0
21004B2WJ;RUE DE PASCAL - ST.-SACREMENT;3;5;1;2;2;1;1;3;4;3;10;7;7;8;6;6;0;3;4;5;3;2;1;1;1;1;1;2;1;1;1;0;1;0;0;0;0;0;0;0
21004B45-;ECOLE MILITAIRE;3;2;2;3;2;1;2;2;3;4;7;6;5;6;4;5;0;4;4;4;3;4;3;2;2;2;2;2;1;1;1;1;1;1;1;0;0;0;0;0
21004B49-;CINQUANTENAIRE (PARC DU);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21004B1MJ;RUE JOSEPH II;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21004A25-;BEGUINAGE (PLACE DU);2;3;2;2;2;2;2;2;3;3;7;7;6;7;4;5;0;5;3;5;3;4;2;3;2;3;1;2;1;1;0;1;1;0;0;0;0;0;0;0
21004B2MJ;SCHUMAN (ROND-POINT);4;5;2;2;1;1;1;1;1;1;6;5;6;6;8;7;0;6;3;4;3;3;3;3;1;2;2;1;1;1;1;0;0;1;0;0;0;0;0;0
21004B44-;AMBIORIX-SUD (SQUARE);3;4;2;2;2;2;2;1;3;2;7;6;6;7;6;5;4;5;3;3;3;3;3;3;2;2;2;2;1;1;1;1;1;0;0;0;0;0;0;0
21004B43-;AMBIORIX-NORD (SQUARE);3;4;3;3;3;3;2;2;3;3;6;6;6;6;4;5;4;4;4;4;3;3;3;2;2;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0
21004B293;LEOPOLD (PARC);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21004A24-;MARCHE AU PORCS;3;3;2;3;2;2;2;2;3;4;7;6;5;7;4;6;3;4;3;4;3;3;2;3;2;2;1;1;1;1;0;1;0;0;0;0;0;0;0;0
21004F970;MARLY-NORD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21004A35-;AD. MAX (BOULEVARD);3;3;2;2;2;1;1;2;4;4;9;10;6;9;4;7;0;6;2;3;1;3;1;3;2;2;1;1;1;1;0;1;0;0;0;0;0;0;0;0
21004A83-;E. JACQMAIN (BOULEVARD)-OUEST;4;3;3;3;3;3;3;2;4;4;5;6;4;6;4;5;0;5;2;5;3;5;2;3;2;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0
21004F994;TRASSERSWEG - NEDER-HEEMBEEK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21004F531;RUE DES FAINES;4;4;4;4;3;3;2;3;2;2;4;3;4;4;4;4;4;4;3;4;2;3;3;3;3;2;2;2;2;2;1;1;1;1;1;0;1;0;0;0
21004E180;DOMAINE ROYALE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21004E292;AVENUE DES CROIX DU FEU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21004G3MJ;DOBBELENBERG (RUE DE);3;4;6;5;7;6;6;2;3;1;2;3;4;3;4;1;0;4;4;5;2;3;2;4;1;1;2;1;1;1;1;1;1;0;0;0;0;0;0;0
21004F572;MARLY-SUD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21004F91-;CROIX DE GUERRE (AVENUE DES);3;4;4;4;3;4;2;3;2;2;4;3;4;3;3;3;4;3;3;3;3;3;3;3;2;2;3;2;2;2;2;1;2;1;2;1;2;0;0;0
21004F922;RUE CHATEAU BEYAERD;3;4;4;4;3;4;3;3;3;3;4;4;4;4;4;4;3;4;4;3;3;4;3;3;3;2;2;2;2;1;1;1;1;1;1;0;0;0;0;0
21004G3NJ;HAREN-SUD;5;5;6;6;3;4;3;4;3;3;5;2;4;2;4;5;0;3;3;3;3;4;3;2;2;4;1;1;1;1;1;1;1;1;0;1;0;0;0;0
21004C642;AVENUE FRANKLIN ROOSEVELT;3;1;2;2;4;3;2;2;2;3;3;3;3;3;4;3;0;4;4;3;4;2;3;4;3;2;2;2;3;2;2;2;2;1;2;1;1;1;1;0
21004C591;CAMBRE (BOIS DE LA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21004C61-;U.L.B.;3;2;2;2;3;2;2;3;8;6;5;4;3;3;3;2;0;2;3;3;4;3;3;3;3;2;2;2;3;2;2;1;1;1;1;1;1;0;0;0
21004C54-;LOUISE (AVENUE)-SUD-EST;3;3;1;2;1;1;2;2;4;3;6;5;6;6;4;3;0;4;4;4;2;2;3;2;3;2;3;2;2;2;2;2;2;1;1;0;0;0;0;0
21004C63-;NATIONS (SQUARE DES);3;3;2;2;2;2;2;3;1;2;4;3;4;4;4;4;0;4;4;3;3;4;3;3;2;3;2;2;2;2;2;2;2;1;1;1;3;1;1;0
21004B2NJ;CITE DE LA CHAUSSEE;3;3;1;1;1;1;1;1;2;2;6;8;10;10;7;9;0;6;4;4;1;4;3;2;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0
21004B13-;TREVES (RUE DE);3;3;2;2;1;1;0;1;4;1;10;7;9;8;6;5;0;7;3;5;2;4;2;2;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0
21004F953;RUE DU WIMPELBERG;4;4;3;3;3;2;3;2;3;4;3;3;3;3;3;2;0;4;3;3;4;3;2;3;2;2;3;2;2;2;2;1;3;1;3;1;3;1;1;0
21004F9MJ;NEDER-HEEMBEEK-NORD;7;8;6;7;4;5;3;3;3;2;3;2;7;4;4;5;0;4;3;2;2;2;2;2;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0
21004A02-;SAINT-FRANCOIS XAVIER;3;3;2;3;2;2;2;2;4;3;6;6;6;6;4;5;0;4;2;3;2;3;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;1;1;0
21004A70-;BLAES (RUE)-SUD;3;3;3;4;4;4;3;4;4;3;3;4;4;4;3;3;3;4;4;4;3;4;3;3;2;3;2;2;1;1;1;1;1;1;0;0;0;0;0;0
21004A1MJ;COLONIES (RUE DES);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21004A03-;BON SECOURS - PALAIS DU MIDI;3;3;3;2;2;2;2;2;4;4;7;8;6;7;4;6;0;5;2;5;2;3;2;3;1;2;1;1;1;1;0;1;0;0;0;0;0;0;0;0
21004A19-;PALAIS ROYAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21004A23-;NOUVEAU MARCHE AU GRAIN;3;3;2;3;3;3;2;3;3;4;6;5;5;5;4;5;4;4;4;4;2;4;2;3;2;2;1;2;1;1;1;0;1;0;0;0;0;0;0;0
21004A10-;GARE CENTRALE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21004A01-;VIEILLE HALLE AUX BLES;3;2;2;2;1;1;1;1;3;3;7;8;4;5;4;6;0;7;2;5;2;4;2;3;2;3;2;3;1;2;0;1;0;1;0;0;0;0;0;0
21004A22-;SENNE (RUE DE LA);4;4;3;4;3;3;3;2;4;4;5;5;5;5;4;5;3;5;3;4;2;3;2;3;2;2;1;1;1;1;1;1;1;0;0;0;0;0;0;0
21004B10-;ORBAN (SQUARE);2;2;1;2;1;2;2;2;4;2;7;7;5;7;6;6;0;4;2;5;3;4;3;4;2;4;1;1;1;1;0;0;1;0;2;0;0;0;0;0
21004A72-;SAINT-THOMAS (INSTITUT);4;4;4;4;5;3;2;4;2;3;2;3;3;3;3;3;0;4;2;5;2;4;3;4;2;3;3;3;2;2;1;1;1;1;1;0;0;0;0;0
21004A71-;BLAES (RUE)-CENTRE;3;3;3;3;2;3;2;2;2;3;5;3;4;5;4;5;0;6;2;4;2;3;2;3;2;3;2;2;1;3;1;2;2;1;1;1;1;0;1;0
21004A002;BOURSE;3;3;1;1;1;2;1;1;4;3;9;10;4;6;5;7;0;7;2;6;2;3;2;4;2;3;1;2;1;1;0;1;1;0;0;0;0;0;0;0
21004A34-;MONNAIE;1;3;2;2;2;1;1;2;5;4;8;9;4;8;3;5;0;5;2;5;3;5;2;4;2;3;1;1;1;1;0;1;0;0;0;0;0;0;0;0
21004A15-;JACOBS (PLACE);3;2;2;3;2;2;3;2;4;4;5;5;8;7;5;6;0;4;3;4;2;4;2;4;1;2;2;1;1;0;0;1;0;1;0;0;0;0;0;0
21004A04-;NOTRE-DAME DE LA CHAPELLE;3;3;4;4;3;4;3;4;3;4;4;3;4;4;4;3;0;2;3;4;4;5;3;3;2;3;2;2;1;2;1;1;1;1;1;0;0;0;0;0
21004A16-;PALAIS JUSTICE-HOP. ST.-PIERRE;2;2;2;3;2;3;3;2;3;4;3;5;3;6;3;6;3;6;3;6;2;5;2;4;2;3;1;1;1;1;1;1;1;0;1;0;1;0;0;0
21004A20-;BOURSE-NORD-OUEST;2;3;3;3;2;2;2;2;3;2;7;7;5;6;4;5;3;4;3;5;2;4;3;4;2;3;1;2;2;1;1;1;1;0;0;0;0;0;0;0
21004A14-;GRAND SABLON;2;2;2;2;2;2;2;2;3;3;7;6;6;7;4;5;0;4;3;4;2;4;3;3;2;3;2;2;1;1;1;1;1;1;0;0;0;0;0;0
21004A001;GRAND-PLACE;1;1;0;0;0;0;2;1;5;4;7;8;4;8;4;8;0;6;2;6;4;6;2;6;2;3;1;2;1;2;1;1;0;0;0;0;0;0;0;0
21004A32-;CONGRES - GARE;2;2;1;2;3;1;1;2;5;3;6;6;4;5;3;4;0;6;3;6;3;5;3;4;2;4;1;2;2;1;1;1;1;0;0;0;0;0;0;0
21004A30-;SAINT-MICHEL ET GUDULE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21004C52-;LOUISE (AVENUE)-NORD-OUEST;3;4;2;1;1;2;1;1;3;2;9;7;7;5;7;6;0;4;3;4;3;2;2;3;2;2;1;1;1;1;0;1;1;0;1;1;0;0;0;0
21004A12-;REGENT (BOULEVARD DU);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21004C552;LOUISE (AVENUE)-SUD;2;2;2;2;1;2;2;2;3;3;5;4;5;4;4;5;0;4;3;4;4;4;2;3;4;3;3;2;3;2;1;1;1;1;1;0;1;0;0;0
21004B112;RUE DU COMMERCE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21004A3MJ;CITE ADMINISTRATIVE ET CONGRES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21004C51-;LOUISE (AVENUE)-NORD-EST;2;3;3;2;1;1;2;1;3;2;8;7;7;6;6;5;0;5;3;4;3;4;2;2;2;1;2;2;2;1;1;1;1;0;0;0;0;0;0;0
21004A33-;LIBERTE (PLACE DE LA);3;3;2;3;2;2;1;1;5;4;9;7;8;8;4;6;3;4;3;4;3;3;2;3;1;2;1;1;1;1;1;0;0;0;0;0;0;0;0;0
21004C53-;LOUISE (AVENUE)-SUD-OUEST;2;2;1;2;1;1;2;2;4;3;7;6;6;7;4;6;0;3;3;4;3;5;2;2;3;2;4;2;2;2;1;1;1;1;1;1;0;0;0;0
21004C501;LOUISE (AVENUE)-NORD;2;2;2;1;2;1;1;1;3;4;9;7;6;4;5;4;0;4;3;3;3;4;2;4;3;3;2;2;2;1;1;1;1;1;0;0;0;0;0;0
21004A21-;ANNEESSENS (PLACE);4;5;4;4;4;3;3;4;4;4;5;5;4;4;4;5;3;5;2;4;2;3;2;3;2;2;1;2;1;1;1;1;0;0;0;0;0;0;0;0
21004A13-;PETIT SABLON;2;2;1;2;1;1;2;2;3;2;5;4;4;4;4;4;0;4;4;5;4;6;3;4;3;4;3;3;2;2;2;2;1;1;1;0;0;0;0;0
21004E70-;MARIE-CHRISTINE (RUE);4;5;5;5;4;4;3;4;4;4;4;4;4;4;4;4;3;5;3;4;2;3;2;3;1;2;1;1;1;1;1;1;0;0;0;0;0;0;0;0
21004E74-;EM. DELVA (RUE);5;5;4;5;4;4;3;3;3;3;4;4;4;4;4;5;4;4;3;4;3;3;2;3;2;2;1;1;1;1;1;1;1;0;0;0;0;0;0;0
21004E201;AVENUE JEAN DE BOLOGNE;3;4;3;3;3;3;3;3;3;3;4;3;4;3;4;3;4;4;4;3;4;3;3;3;2;2;2;2;2;2;2;1;1;1;1;0;1;0;0;0
21004E83-;STIENON (AVENUE);4;4;3;4;3;3;2;2;3;3;4;3;4;4;4;3;4;3;3;3;3;3;3;3;2;2;3;2;2;2;2;1;2;1;1;0;1;0;0;0
21004E8MJ;HEYSEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21004E130;SACRE-COEUR;4;4;3;4;3;3;3;3;4;4;4;4;4;4;4;5;4;4;3;4;3;3;2;3;2;2;2;2;1;1;1;1;1;1;1;0;0;0;0;0
21004E73-;EM. BOCKSTAEL (BOULEVARD)-SUD;5;6;4;4;3;4;3;3;3;4;4;4;5;5;4;4;4;4;3;4;2;3;2;2;2;2;1;1;1;1;1;1;1;0;0;0;0;0;0;0
21004E72-;MAISON ROUGE (PLACE)-SUD;4;5;5;5;4;4;3;4;3;3;4;4;4;4;4;4;4;4;3;4;2;3;2;3;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0;0
21004E193;N.D. DE LAEKEN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21004D64-;MASUI (PLACE)-NORD;5;5;3;4;4;3;3;4;3;4;5;4;4;4;4;4;0;6;3;4;3;2;2;2;2;2;1;2;1;1;1;0;1;0;0;0;1;0;0;0
21004E112;RUE DES CHRYSANTHEMES;3;4;4;4;4;5;4;2;4;4;4;4;4;3;3;4;0;4;4;3;3;4;3;3;3;2;1;1;1;1;0;1;0;1;1;0;0;0;0;0
21004D62-;ANVERS (CHAUSSEE D')-NORD;4;4;4;3;3;3;3;4;4;4;4;5;4;5;4;5;4;4;3;4;2;4;2;3;2;2;1;1;1;1;1;1;0;1;0;0;0;0;0;0
21004E211;RUE DE WAND;4;5;4;4;4;3;2;4;2;3;3;2;3;3;4;5;0;3;3;4;3;2;2;2;2;1;1;1;1;1;1;0;1;1;2;1;1;1;0;0
21004D631;ALLEE VERTE - BASSIN VERGOTE;3;5;2;1;1;1;1;1;2;1;7;7;9;10;5;9;0;6;2;4;3;4;2;4;1;3;1;1;1;1;0;0;0;0;0;0;0;0;0;0
21004E12-;PRINCE LEOPOLD (SQUARE);5;5;4;5;4;4;4;4;3;3;3;3;4;3;4;4;3;4;3;3;3;3;2;2;3;2;2;1;1;1;1;1;0;1;1;0;0;0;0;0
21004D6NJ;TOUR ET TAXIS;7;6;4;4;1;2;2;1;4;4;8;11;8;5;4;7;0;3;0;4;1;2;1;2;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
21004A822;RUE DES COMMERCANTS;4;3;2;2;1;1;2;2;5;4;9;11;6;11;2;9;0;6;2;4;2;3;1;2;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
21004E800;DIVIN JESUS;4;3;4;4;3;5;4;5;3;3;2;2;3;3;4;2;0;3;4;3;5;3;4;3;2;2;3;2;2;2;2;1;2;1;1;0;0;0;0;0
21004E233;DE MEYSSE (AVENUE);4;2;4;3;3;4;3;3;3;4;5;4;3;3;3;2;0;3;3;4;4;3;2;3;3;2;2;2;3;2;3;2;2;1;2;0;1;1;0;0
21004E101;PARVIS NOTRE DAME;4;5;5;5;3;4;3;3;3;3;4;3;4;4;3;4;4;4;3;4;2;3;2;2;2;2;2;2;2;2;2;1;1;1;0;0;0;0;0;0
21004A811;QUAI DU COMMERCE;4;4;4;2;3;2;3;3;3;3;5;6;5;5;4;5;3;5;3;5;2;4;2;3;2;2;1;2;1;2;1;0;1;0;0;0;0;0;0;0
21004D672;QUAI DE WILLEBROECK;3;3;3;3;2;3;2;2;2;4;3;5;5;5;4;5;0;4;3;4;4;4;3;4;3;2;2;2;1;1;1;1;1;1;0;0;0;0;0;0
21004E14-;ECOLE DES CADETS;4;4;4;4;3;3;3;3;3;3;4;4;5;4;3;4;3;4;3;4;3;4;3;3;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0;0
21004F522;AVENUE DE VERSAILLES;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;4;3;4;3;4;3;4;3;2;3;3;3;3;2;2;2;2;1;2;1;1;1;0;0
21004E82-;CITE MODELE;4;4;5;5;5;5;2;3;2;3;2;2;3;1;4;2;3;3;3;4;3;3;3;3;3;2;3;2;2;1;1;1;1;1;2;1;1;0;0;0
21004E222;MUTSAARD (AVENUE);3;3;3;3;2;3;2;2;2;2;4;3;4;4;3;3;3;3;3;3;3;2;4;3;4;2;3;2;4;3;3;2;3;1;2;1;1;0;0;0
21004E81-;DISQUE (RUE DU);4;3;3;4;3;3;2;3;3;2;3;3;4;3;3;4;0;3;3;3;2;3;3;2;2;2;3;2;3;2;3;2;3;1;3;1;2;0;1;0
21004D600;PARVIS SAINT-ROCH;3;3;4;4;4;4;3;5;2;3;2;2;2;2;2;2;0;3;4;3;4;5;4;4;4;2;3;2;3;2;2;2;1;1;1;0;0;0;0;0
21004D610;ANVERS (CHAUSSEE D')-SUD;5;4;5;6;4;5;3;3;3;3;4;3;4;3;4;4;3;4;2;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;0;0;0;0;0;0
21004E8NJ;HOPITAL BRUGMANN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21005A10-;GENERAL HENRI (RUE);3;4;3;3;2;3;2;2;3;3;6;6;6;5;4;4;3;4;3;3;3;3;3;3;2;2;2;2;2;1;1;1;1;1;1;0;0;0;0;0
21005A042;PH. BAUCQ (RUE);3;3;2;3;2;2;2;2;3;3;8;6;6;6;5;5;3;4;3;3;3;3;2;2;2;1;1;1;1;1;1;1;1;0;1;0;1;0;0;0
21005A02-;CHAMP DU ROI (RUE);3;3;2;3;2;2;2;2;4;3;9;7;6;6;5;5;4;4;3;3;3;2;2;2;2;2;2;1;1;1;1;1;1;0;1;0;0;0;0;0
21005A33-;CARDINAL LAVIGERIE (RUE);3;4;2;2;2;2;1;2;3;3;8;7;7;6;4;5;0;3;3;3;3;3;3;2;3;2;2;2;1;1;1;1;1;1;1;0;0;0;0;0
21005A14-;ARMEE (AVENUE DE L');3;3;2;3;2;2;2;2;4;3;6;5;6;5;4;4;4;4;3;3;3;3;3;3;2;2;2;2;2;2;1;1;1;0;1;0;0;0;0;0
21005A13-;LA CHASSE;3;3;3;3;3;2;2;3;4;3;6;6;7;7;5;5;0;5;3;3;2;4;2;2;2;2;2;1;1;1;1;0;1;0;0;0;0;0;0;0
21005A082;COURS ST-MICHEL;7;4;3;5;2;4;3;1;1;0;2;1;2;2;8;5;0;5;7;5;4;4;2;3;4;3;1;1;1;1;1;1;0;0;0;0;0;0;0;0
21005A01-;SAINTE-GERTRUDE;2;3;2;2;2;2;1;2;4;3;8;7;7;6;5;5;4;4;3;4;3;3;3;2;2;2;2;2;2;1;1;1;1;0;1;0;0;0;0;0
21005A322;NOUVELLE AVENUE-SUD;2;3;5;4;3;4;3;4;3;3;1;3;3;1;4;1;0;1;3;3;4;3;5;2;5;3;5;2;3;2;2;2;2;0;1;0;1;1;0;0
21005A311;CASERNE (Etterbeek);3;4;4;2;2;2;2;3;2;3;4;4;4;4;6;4;0;4;3;4;4;3;3;2;3;2;2;2;1;1;1;1;1;0;1;0;0;0;0;0
21005A20-;PORTE DE TERVUEREN - TONGRES;3;2;3;2;2;2;2;2;3;2;7;6;6;6;4;4;0;4;4;4;3;3;4;3;2;2;2;2;2;1;1;1;1;0;1;0;0;0;0;0
21005A15-;SAINT-MICHEL COLLEGE;3;3;3;3;3;3;3;3;3;3;5;4;4;4;4;3;0;4;3;3;4;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;0;0;0
21005A031;MAELBEEK;3;3;2;3;2;3;2;2;3;2;6;5;5;5;5;4;0;4;4;3;4;3;4;3;3;2;3;3;2;1;1;1;1;0;1;0;0;0;0;0
21005A051;RINSDELLE;3;4;2;2;2;2;2;2;3;2;6;5;7;6;5;4;4;4;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;0;0;0
21005A11-;NOTRE-DAME DU SACRE-COEUR;3;4;2;2;2;2;2;2;4;3;8;6;6;6;5;5;4;4;3;3;3;3;3;2;3;2;2;1;2;1;1;1;1;1;1;0;1;0;0;0
21005A00-;HOTEL COMMUNAL;3;3;2;3;2;2;2;3;3;3;7;6;7;6;5;5;4;4;4;3;3;3;3;2;2;2;2;1;1;1;1;1;1;0;0;0;0;0;0;0
21005A29-;CINQUANTENAIRE (PARC);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21005A12-;SAINT-ANTOINE;3;3;2;3;2;2;2;2;3;4;7;7;6;7;5;5;3;3;3;3;3;3;2;3;2;2;1;1;1;1;1;1;1;0;1;0;0;0;0;0
21005A22-;PORTE DE TERVUEREN - L. DE LAN;3;2;3;2;2;2;1;2;3;3;6;8;5;6;5;4;0;3;4;4;4;3;4;3;3;2;1;1;1;1;1;2;1;1;0;1;0;0;0;0
21005A21-;PORTE DE TERVUEREN - BRAFFORT;3;3;2;2;1;1;2;2;2;2;7;5;7;7;5;5;0;4;3;4;4;3;3;3;3;3;1;1;2;1;1;1;2;0;1;0;1;0;0;0
21006A12-;GERMINAL I;3;4;4;4;5;5;5;5;3;3;2;2;3;1;3;2;0;2;4;3;2;3;5;2;4;2;2;2;2;1;2;1;1;0;1;1;1;0;0;0
21006A11-;OASIS - PROVENCE - LANGUEDOC;2;2;3;3;3;4;3;3;4;4;4;3;2;3;3;3;0;2;3;3;3;4;5;3;3;4;2;2;3;2;1;1;1;1;2;1;1;0;0;0
21006A153;KEET;3;4;3;4;3;3;3;2;3;4;5;4;3;4;3;3;0;3;3;3;3;4;3;2;2;2;2;2;2;1;2;1;2;1;2;0;2;0;1;0
21006A13-;MAISON COMMUNALE;4;4;3;4;3;3;2;2;2;2;4;3;4;4;4;5;0;3;3;3;2;3;2;3;3;1;3;2;3;2;2;1;2;1;1;1;0;0;0;0
21006A02-;IEDER ZIJN HUIS - STROOBANTS;4;3;3;5;4;3;3;4;2;2;3;1;2;0;3;2;0;3;3;2;4;2;5;3;5;2;3;3;5;2;2;2;2;2;2;1;0;0;0;0
21006A073;GARE DE FORMATION;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21006A03-;BLOCS SAINT-VINCENT;4;4;5;4;2;3;3;2;2;3;3;2;4;4;5;4;0;3;3;3;4;3;2;2;3;2;2;1;2;1;3;1;3;1;2;1;1;0;0;0
