Code;Territoire;0-4 ans femmes;0-4 ans hommes;5-9 ans femmes;5-9 ans hommes;10-14 ans femmes;10-14 ans hommes;15-19 ans femmes;15-19 ans hommes;20-24 ans femmes;20-24 ans hommes;25-29 ans femmes;25-29 ans hommes;30-34 ans femmes;30-34 ans hommes;35-39 ans femmes;35-39 ans hommes;40-44 ans femmes;40-44 ans hommes;45-49 ans femmes;45-49 ans hommes;50-54 ans femmes;50-54 ans hommes;55-59 ans femmes;55-59 ans hommes;60-64 ans femmes;60-64 ans hommes;65-69 ans femmes;65-69 ans hommes;70-74 ans femmes;70-74 ans hommes;75-79 ans femmes;75-79 ans hommes;80-84 ans femmes;80-84 ans hommes;85-89 ans femmes;85-89 ans hommes;90-94 ans femmes;90-94 ans hommes;95+ ans femmes;95+ ans hommes
21001C581;CIMETIERE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001C522;HOPITAL U.L.B.;0;1;0;0;0;0;5;8;15;13;14;9;2;3;2;3;0;1;1;1;0;2;1;0;1;1;0;0;0;0;0;0;2;0;5;0;0;0;2;0
21001A451;VENIZELOS;3;3;2;3;3;4;4;2;3;3;2;4;4;3;4;3;0;4;4;4;3;3;3;3;2;3;2;2;1;2;2;1;2;1;1;1;1;0;0;0
21001A30-;BIZET;4;4;4;4;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;3;4;2;2;2;3;2;1;1;1;1;1;1;1;1;0;0;0;0;0
21001A80-;SILLON;3;3;3;3;3;3;2;3;3;2;3;3;3;3;3;3;3;2;3;3;3;3;3;3;4;2;2;2;4;2;3;2;3;1;2;1;1;0;1;0
21001A81-;BROECK;3;3;3;3;2;3;2;3;3;3;4;4;4;3;3;3;0;3;2;3;3;3;3;3;2;2;3;2;3;2;3;2;2;2;2;1;1;0;1;0
21001C79-;BON AIR - HABITATIONS DISP.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A31-;CHAUSSEE DE MONS - SAINT-LUC;6;4;5;4;3;4;2;2;3;4;4;3;5;3;4;5;0;5;3;3;3;3;2;2;2;2;1;2;1;1;2;0;1;1;0;0;0;0;0;0
21001A031;RAUTER-SUD;4;4;3;4;3;3;3;4;4;4;4;5;4;5;4;4;0;4;4;4;3;3;3;3;1;2;1;1;1;1;1;1;1;1;0;0;0;0;0;0
21001B22-;BROGNIEZ-SUD;5;4;5;3;4;3;2;2;4;3;5;3;6;4;5;6;0;6;3;4;3;4;2;2;2;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0
21001B321;ALBERT I- QUARTIER;4;5;4;5;4;4;3;4;3;3;4;3;4;4;3;4;0;5;3;4;2;3;2;3;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0;0
