SectorStatID;Quartier;nb_inscrits_ss;nb_inscrits_quart;ratio
21015A01-;Colignon;116;1744;0,066513761
21015A24-;Colignon;254;1744;0,145642202
21015A13-;Colignon;232;1744;0,133027523
21015A22-;Terdelt;366;815;0,449079755
21015A272;Helmet;10;1206;0,008291874
21015A231;Helmet;139;1206;0,115257048
21015A20-;Helmet;521;1206;0,432006633
21015A21-;Helmet;229;1206;0,189883914
21016A901;Globe;148;1051;0,140818268
21016A81-;Churchill;172;652;0,263803681
21016A82-;Churchill;268;652;0,411042945
21016A232;Montjoie - Langeveld;110;389;0,28277635
21016A831;Montjoie - Langeveld;201;389;0,516709512
21016A111;Observatoire;62;451;0,137472284
21016A841;Montjoie - Langeveld;30;389;0,077120823
21016A85-;Churchill;69;652;0,105828221
21016A042;Montjoie - Langeveld;48;389;0,123393316
21016A03-;Globe;201;1051;0,191246432
21016A02-;Globe;228;1051;0,216936251
21016A922;Globe;74;1051;0,070409134
21016A912;Globe;81;1051;0,077069458
21016A933;Vossegat - Roosendaal;188;506;0,371541502
21016A731;Kalevoet - Moensberg;42;896;0,046875
21016A701;Kalevoet - Moensberg;193;896;0,215401786
21016A772;Kalevoet - Moensberg;72;896;0,080357143
21016A72-;Kalevoet - Moensberg;71;896;0,079241071
21016A71-;Kalevoet - Moensberg;121;896;0,135044643
21016A954;Globe;16;1051;0,015223597
21016A80-;Churchill;143;652;0,219325153
21016A225;Observatoire;24;451;0,053215078
21016A64-;Kalevoet - Moensberg;172;896;0,191964286
21016A05-;Molière - Longchamp;261;261;1
21016A533;Kalevoet - Moensberg;41;896;0,045758929
21016A943;Altitude 100;50;523;0,095602294
21016A65-;Kalevoet - Moensberg;90;896;0,100446429
21016A601;Kalevoet - Moensberg;94;896;0,104910714
21016A620;Kriekenput - Homborch - Verrewinkel;74;369;0,200542005
21016A01-;Dieweg;349;566;0,616607774
21016A00-;Globe;303;1051;0,28829686
21016A102;Observatoire;168;451;0,372505543
21016A12-;Observatoire;165;451;0,365853659
21016A44-;Dieweg;217;566;0,383392226
21016A214;Observatoire;32;451;0,070953437
21016A322;Fort Jaco;52;213;0,244131455
21016A400;Saint-Job Kauwberg;211;436;0,483944954
21016A429;Saint-Job Kauwberg;126;436;0,288990826
21016A410;Saint-Job Kauwberg;73;436;0,167431193
21016A490;Saint-Job Kauwberg;26;436;0,059633028
21016A639;Kriekenput - Homborch - Verrewinkel;217;369;0,588075881
