SECTOR;TX_SECTOR_WORK_DESCR_FR;Sum of OBS_VALUE;Nb Actualisé
21004A20-;BOURSE-NORD-OUEST;1393;1452
21004A21-;ANNEESSENS (PLACE);585;610
21004A22-;SENNE (RUE DE LA);559;583
21004A23-;NOUVEAU MARCHE AU GRAIN;1350;1407
21004A24-;MARCHE AU PORCS;351;366
21004A25-;BEGUINAGE (PLACE DU);809;843
21004A30-;SAINT-MICHEL ET GUDULE;171;178
21004A32-;CONGRES - GARE;9153;9542
21004A33-;LIBERTE (PLACE DE LA);4143;4319
21004A34-;MONNAIE;4233;4413
21004A35-;AD. MAX (BOULEVARD);4873;5080
21004A3MJ;CITE ADMINISTRATIVE ET CONGRES;3240;3378
21004A70-;BLAES (RUE)-SUD;188;196
21004A71-;BLAES (RUE)-CENTRE;232;242
21004A72-;SAINT-THOMAS (INSTITUT);325;339
21004A811;QUAI DU COMMERCE;719;750
21004A822;RUE DES COMMERCANTS;387;403
21004A83-;E. JACQMAIN (BOULEVARD)-OUEST;2457;2561
21004B10-;ORBAN (SQUARE);9730;10143
21004B112;RUE DU COMMERCE;868;905
21004B13-;TREVES (RUE DE);1464;1526
21004B293;LEOPOLD (PARC);150;156
21004B2MJ;SCHUMAN (ROND-POINT);449;468
21004B2NJ;CITE DE LA CHAUSSEE;19;20
21004B2WJ;RUE DE PASCAL - ST.-SACREMENT;614;640
21004B411;DEUX EGLISES (RUE DES);1829;1907
21004B421;MARIE-LOUISE (SQUARE);1301;1356
21004B43-;AMBIORIX-NORD (SQUARE);409;426
21004B44-;AMBIORIX-SUD (SQUARE);371;387
21004B45-;ECOLE MILITAIRE;938;978
21004B49-;CINQUANTENAIRE (PARC DU);265;276
21004C501;LOUISE (AVENUE)-NORD;1507;1571
21004C51-;LOUISE (AVENUE)-NORD-EST;68;71
21004C52-;LOUISE (AVENUE)-NORD-OUEST;1841;1919
21004C53-;LOUISE (AVENUE)-SUD-OUEST;260;271
21004C54-;LOUISE (AVENUE)-SUD-EST;720;751
21004C552;LOUISE (AVENUE)-SUD;1514;1578
21004C591;CAMBRE (BOIS DE LA);139;145
21004C61-;U.L.B.;58;60
21004C62-;BOENDAAL-OUEST;60;63
21004C63-;NATIONS (SQUARE DES);323;337
21004C642;AVENUE FRANKLIN ROOSEVELT;71;74
21004C65-;VIVIER D'OIE;82;85
21004D600;PARVIS SAINT-ROCH;1;1
21004D610;ANVERS (CHAUSSEE D')-SUD;7946;8284
