SECTOR;TX_SECTOR_WORK_DESCR_FR;Sum of OBS_VALUE;Nb Actualisé
21017A031;AVENUE DELLEUR;83;87
21017A041;DREVE DU DUC;71;74
21017A08-;SOUVERAIN-EST;3471;3618
21017A09-;FORET DE SOIGNES;4;4
21017A11-;FLOREAL;30;31
21017A12-;LE LOGIS-NORD;32;33
21017A13-;BOULEAUX;31;32
21017A192;STADE DES TROIS TILLEULS;3;3
21017A212;AVENUE DE LA TENDERIE;72;75
21017A220;LE LOGIS-SUD;12;13
21017A230;BEGUINETTES;122;127
21017A240;SOUVERAIN-OUEST;613;639
21017A323;DREVE DES TUMULI;3;3
21017A374;ZONING DE BUREAUX-SUD;888;926
21017A393;ETANGS DE BOITSFORT;126;131
21017A41-;AVENUE DE VISE;34;35
21017A421;WATERMAEL - STATION;20;21
21017A432;DRIES;17;18
21017A443;VILLE-ET-FORET - ELAN;4;4
21017A451;FUTAIE;28;29
21017A472;ZONING DE BUREAUX-NORD;1058;1103
21017A501;CENTRE DE WATERMAEL;46;48
21017A512;VANDER ELST - BIEN FAIRE;11;11
21017A523;MARTIN-PECHEUR;242;252
21017A541;LOUTRIER - WIENER;241;251
21017A624;PECHERIES;37;39
21017A635;PRINCES BRABANCONS;8;8
21017A696;HERONNIERE;7;7
21017ZZZZ;COMMUNE DE WATERMAEL-BOITSFORT: NON LOCALISABLE DANS UN SECTEUR;217;226
21018A00-;TOMBERG;318;332
21018A01-;SAINT-LAMBERT;929;968
21018A02-;SLEGERS (AVENUE);115;120
21018A031;ABELOOS;29;30
21018A04-;BEETEPUT;117;122
21018A05-;DRIES;36;38
21018A09-;RASANTE;38;40
21018A12-;STOCKEL (CHAUSSEE DE);87;91
21018A13-;GROOTVELD;2;2
21018A14-;CHANCELLERIE;124;129
21018A15-;LES SOURCES;1;1
21018A19-;STRUYCKBEKEN;114;119
21018A20-;GEORGES HENRI (AVENUE);763;795
21018A21-;DE BROQUEVILLE (AVENUE)-NORD;211;220
21018A22-;DE BROQUEVILLE (AVENUE)-SUD;44;46
21018A24-;LAMBEAU (AVENUE);59;62
21018A30-;SAINTE-FAMILLE;68;71
21018A311;PARC SCHUMAN;24;25
21018A32-;CLOS DES PEUPLIERS;1;1
21018A33-;NEERVELD;1098;1145
21018A34-;HOF TEN BERG-SUD;29;30
21018A35-;HOF TEN BERG-NORD;127;132
21018A37-;COMMUNAUTES;2753;2870
21018A3MJ;GULLEDELLE;1386;1445
21018A41-;EUROPE;149;155
21018A42-;VERVLOESEM;688;717
21018A43-;ROODEBEEK;79;82
21018A512;QUARTIER DES PEINTRES;36;38
21018A60-;ROODEBEEK PARC;237;247
21018A61-;HEYDENBERG-EST;72;75
21018A62-;HEYDENBERG-OUEST;73;76
21018A63-;CONSTELLATIONS;160;167
21018A643;DEUX MAISONS;20;21
21018A72-;ROGATIONS;418;436
21018A81-;KAPELLEVELD-SUD;14;15
21018A82-;MARIE LA MISERABLE;37;39
21018A83-;KLAKKEDELLE;122;127
21018A84-;KAPELLEVELD-NORD-EST;28;29
21018A87-;SAINT-LUC;3919;4086
21018ZZZZ;COMMUNE DE WOLUWE-SAINT-LAMBERT: NON LOCALISABLE DANS UN SECTEUR;642;669
21019A001;CENTRE;518;540
21019A01-;BOULEVARD DE LA WOLUWE;440;459
21019A02-;CLOS DU SOLEIL;243;253
21019A03-;CAPITAINE PIRET (AVENUE);23;24
21019A04-;EGGERICX (RUE);334;348
21019A052;DON BOSCO;311;324
21019A09-;WOLUWE (PARC DE);2;2
21019A10-;STOCKEL;560;584
21019A11-;MILLE METRES (AVENUE);278;290
21019A12-;ESCRIME (AVENUE DE L');9;9
21019A131;KONKEL;16;17
21019A14-;VAL DE SEIGNEURS;33;34
21019A15-;KAPELLEVELD;63;66
21019A20-;SAINT-PAUL;121;126
21019A21-;MANOIR;117;122
21019A22-;PUTDAAL;63;66
21019A231;KELLE;38;40
21019A242;VENELLES;16;17
21019A252;MONTGOLFIER;66;69
21019A28-;ETANGS MELLAERTS;36;38
21019A30-;EGLANTINES (AVENUE);65;68
21019A31-;BEMEL;53;55
21019A32-;CHANT D'OISEAU;33;34
21019A33-;MIMOSAS (AVENUE);67;70
21019A34-;EUROPE (QUARTIER DE L');17;18
21019A35-;HORIZON (AVENUE);134;140
21019A40-;SAINTE-ALIX;50;52
21019A41-;CITE JOLI-BOIS;20;21
21019A42-;SALOME AVENUE;220;229
21019A43-;CORNICHE VERTE;12;13
21019A441;FAISANDERIE;13;14
21019A45-;HELICE (AVENUE DE L');64;67
21019A51-;COLLEGE SAINT-MICHEL;1144;1193
21019A52-;DUC (RUE);1316;1372
21019ZZZZ;COMMUNE DE WOLUWE-SAINT-PIERRE: NON LOCALISABLE DANS UN SECTEUR;354;369
ZZZZZZZZZ;REGION BRUXELLES-CAPITALE, COMMUNE INCONNUE;5445;5676
