Code;Territoire;Commune;Surface_ss;Surface_commune;Rapport_surface;Nb_touristes_Commune;Nb_touristes_ss
21004A25-;BEGUINAGE (PLACE DU);Bruxelles;0,14891;33,07572;0,004502094;5426,131507;24,42895401
21004B2MJ;SCHUMAN (ROND-POINT);Bruxelles;0,15967;33,07572;0,004827408;5426,131507;26,19415141
21004B44-;AMBIORIX-SUD (SQUARE);Bruxelles;0,21401;33,07572;0,006470305;5426,131507;35,10872639
21004B43-;AMBIORIX-NORD (SQUARE);Bruxelles;0,25413;33,07572;0,007683279;5426,131507;41,69048474
21004B293;LEOPOLD (PARC);Bruxelles;0,11196;33,07572;0,00338496;5426,131507;18,36723988
21004A24-;MARCHE AU PORCS;Bruxelles;0,18922;33,07572;0,005720813;5426,131507;31,04188219
21004F970;MARLY-NORD;Bruxelles;0,91218;33,07572;0,027578538;5426,131507;149,6447738
21004A35-;AD. MAX (BOULEVARD);Bruxelles;0,16804;33,07572;0,005080464;5426,131507;27,567265
21004A83-;E. JACQMAIN (BOULEVARD)-OUEST;Bruxelles;0,08002;33,07572;0,002419297;5426,131507;13,12742529
21004F994;TRASSERSWEG - NEDER-HEEMBEEK;Bruxelles;0,31678;33,07572;0,009577418;5426,131507;51,96833021
21004F531;RUE DES FAINES;Bruxelles;0,19868;33,07572;0,006006823;5426,131507;32,59381225
21004E180;DOMAINE ROYALE;Bruxelles;2,58709;33,07572;0,078217194;5426,131507;424,4167794
21004E292;AVENUE DES CROIX DU FEU;Bruxelles;0,20313;33,07572;0,006141363;5426,131507;33,32384278
21004G3MJ;DOBBELENBERG (RUE DE);Bruxelles;0,6592;33,07572;0,019930027;5426,131507;108,1429486
21004F572;MARLY-SUD;Bruxelles;0,66706;33,07572;0,020167664;5426,131507;109,4323958
21004F91-;CROIX DE GUERRE (AVENUE DES);Bruxelles;0,27366;33,07572;0,008273743;5426,131507;44,89441645
21004F922;RUE CHATEAU BEYAERD;Bruxelles;0,32754;33,07572;0,009902732;5426,131507;53,73352761
21004G3NJ;HAREN-SUD;Bruxelles;2,10608;33,07572;0,063674502;5426,131507;345,5062216
21004C642;AVENUE FRANKLIN ROOSEVELT;Bruxelles;0,21667;33,07572;0,006550727;5426,131507;35,54510419
21004C591;CAMBRE (BOIS DE LA);Bruxelles;1,25297;33,07572;0,037881866;5426,131507;205,5519878
21004C61-;U.L.B.;Bruxelles;0,24386;33,07572;0,00737278;5426,131507;40,00567272
21004C54-;LOUISE (AVENUE)-SUD-EST;Bruxelles;0,21625;33,07572;0,006538028;5426,131507;35,47620243
21004C63-;NATIONS (SQUARE DES);Bruxelles;0,26962;33,07572;0,008151599;5426,131507;44,23164717
21004B2NJ;CITE DE LA CHAUSSEE;Bruxelles;0,07784;33,07572;0,002353388;5426,131507;12,76979236
21004B13-;TREVES (RUE DE);Bruxelles;0,09896;33,07572;0,002991923;5426,131507;16,23456644
21004F953;RUE DU WIMPELBERG;Bruxelles;0,29942;33,07572;0,009052562;5426,131507;49,1203909
21004F9MJ;NEDER-HEEMBEEK-NORD;Bruxelles;1,14291;33,07572;0,03455435;5426,131507;187,4964464
21004A02-;SAINT-FRANCOIS XAVIER;Bruxelles;0,1365;33,07572;0,004126894;5426,131507;22,39307113
21004A70-;BLAES (RUE)-SUD;Bruxelles;0,16835;33,07572;0,005089836;5426,131507;27,61812106
21004A1MJ;COLONIES (RUE DES);Bruxelles;0,06865;33,07572;0,002075541;5426,131507;11,26215629
21004A03-;BON SECOURS - PALAIS DU MIDI;Bruxelles;0,10523;33,07572;0,003181488;5426,131507;17,26317125
21004A19-;PALAIS ROYAL;Bruxelles;0,29709;33,07572;0,008982117;5426,131507;48,7381502
21004A23-;NOUVEAU MARCHE AU GRAIN;Bruxelles;0,20516;33,07572;0,006202737;5426,131507;33,65686794
21004A10-;GARE CENTRALE;Bruxelles;0,19371;33,07572;0,005856562;5426,131507;31,77847479
21004A01-;VIEILLE HALLE AUX BLES;Bruxelles;0,09002;33,07572;0,002721634;5426,131507;14,76794332
21004A22-;SENNE (RUE DE LA);Bruxelles;0,20056;33,07572;0,006063662;5426,131507;32,90222964
21004B10-;ORBAN (SQUARE);Bruxelles;0,32711;33,07572;0,009889732;5426,131507;53,66298533
21004A72-;SAINT-THOMAS (INSTITUT);Bruxelles;0,08591;33,07572;0,002597374;5426,131507;14,09369041
21004A71-;BLAES (RUE)-CENTRE;Bruxelles;0,07879;33,07572;0,00238211;5426,131507;12,92564157
21004A002;BOURSE;Bruxelles;0,03952;33,07572;0,001194834;5426,131507;6,483327261
21004A34-;MONNAIE;Bruxelles;0,14935;33,07572;0,004515397;5426,131507;24,5011368
21004A15-;JACOBS (PLACE);Bruxelles;0,07482;33,07572;0,002262082;5426,131507;12,27435591
21004A04-;NOTRE-DAME DE LA CHAPELLE;Bruxelles;0,07695;33,07572;0,00232648;5426,131507;12,62378625
21004A16-;PALAIS JUSTICE-HOP. ST.-PIERRE;Bruxelles;0,15895;33,07572;0,00480564;5426,131507;26,07603411
21004A20-;BOURSE-NORD-OUEST;Bruxelles;0,13849;33,07572;0,004187059;5426,131507;22,71953422
21004A14-;GRAND SABLON;Bruxelles;0,18871;33,07572;0,005705394;5426,131507;30,95821577
21004A001;GRAND-PLACE;Bruxelles;0,10775;33,07572;0,003257677;5426,131507;17,67658179
21004A32-;CONGRES - GARE;Bruxelles;0,20736;33,07572;0,006269251;5426,131507;34,0177819
21004A30-;SAINT-MICHEL ET GUDULE;Bruxelles;0,05925;33,07572;0,001791344;5426,131507;9,720069337
21004C52-;LOUISE (AVENUE)-NORD-OUEST;Bruxelles;0,083;33,07572;0,002509394;5426,131507;13,61629966
21004A12-;REGENT (BOULEVARD DU);Bruxelles;0,0819;33,07572;0,002476137;5426,131507;13,43584268
21004C552;LOUISE (AVENUE)-SUD;Bruxelles;0,16903;33,07572;0,005110395;5426,131507;27,72967629
21004B112;RUE DU COMMERCE;Bruxelles;0,03878;33,07572;0,001172461;5426,131507;6,361928927
21004A3MJ;CITE ADMINISTRATIVE ET CONGRES;Bruxelles;0,10475;33,07572;0,003166976;5426,131507;17,18442638
21004C51-;LOUISE (AVENUE)-NORD-EST;Bruxelles;0,0883;33,07572;0,002669632;5426,131507;14,48577422
21004A33-;LIBERTE (PLACE DE LA);Bruxelles;0,1875;33,07572;0,005668811;5426,131507;30,75971309
21004C53-;LOUISE (AVENUE)-SUD-OUEST;Bruxelles;0,08521;33,07572;0,00257621;5426,131507;13,97885415
21004C501;LOUISE (AVENUE)-NORD;Bruxelles;0,08545;33,07572;0,002583466;5426,131507;14,01822658
21004A21-;ANNEESSENS (PLACE);Bruxelles;0,24293;33,07572;0,007344662;5426,131507;39,85310454
21004A13-;PETIT SABLON;Bruxelles;0,27478;33,07572;0,008307604;5426,131507;45,07815447
21004E70-;MARIE-CHRISTINE (RUE);Bruxelles;0,31439;33,07572;0,00950516;5426,131507;51,5762464
21004E74-;EM. DELVA (RUE);Bruxelles;0,49752;33,07572;0,015041849;5426,131507;81,61905311
21004E201;AVENUE JEAN DE BOLOGNE;Bruxelles;0,40003;33,07572;0,01209437;5426,131507;65,62564282
21004E83-;STIENON (AVENUE);Bruxelles;0,23682;33,07572;0,007159935;5426,131507;38,85074802
