Commune;Garcons;Filles
Anderlecht;38 ;33 
Auderghem;20 ;17 
Berchem Sainte-Agathe;6 ;9 
Bruxelles;60 ;58 
Etterbeek;14 ;21 
Evere;16 ;10 
Forest;15 ;16 
Ganshoren;5 ;8 
Ixelles;33 ;25 
Jette;16 ;23 
Koekelberg;5 ;8 
Molenbeek Saint-Jean;38 ;28 
Saint-Gilles;9 ;15 
Saint-Josse-ten-Noode;4 ;4 
Schaerbeek;48 ;49 
Uccle;29 ;44 
Watermael-Boitsfort;16 ;19 
Woluwe Saint-Lambert;19 ;37 
Woluwe Saint-Pierre;19 ;24 
