CD;SECTOR;TX_SECTOR_RESIDENCE_DESCR_FR;Sum of OBS_VALUE;Corrected_val;ratio_idem_partout;;;;
BE100;21002A25-;WATERMAEL (CHAUSSEE DE);85;116;1,362176683;;;;
BE100;21002A30-;TRIOMPHE (BOULEVARD DU);84;114;1,362176683;;;;
BE100;21002A311;AMITIE (PLACE DE L');81;110;1,362176683;;;;
BE100;21002A372;QUARTIER INDUSTRIE;30;41;1,362176683;;;;
BE100;21002A411;PUTDAAL;44;60;1,362176683;;;;
BE100;21002A422;AVENUE IS.GERARD;6;8;1,362176683;;;;
BE100;21002A43-;SOUVERAIN (BOULEVARD DU) NORD;87;119;1,362176683;;;;
BE100;21002A441;CHANT D'OISEAUX;69;94;1,362176683;;;;
BE100;21002A45-;VAL DUC;48;65;1,362176683;;;;
BE100;21002A511;INVALIDES (BOULEVARD DES);139;189;1,362176683;;;;
BE100;21002A52-;BEAULIEU;35;48;1,362176683;;;;
BE100;21002A53-;PECHERIES;78;106;1,362176683;;;;
BE100;21003A00-;CENTRE;155;211;1,362176683;;;;
BE100;21003A011;MOLENBERG;79;108;1,362176683;;;;
BE100;21003A02-;LAURE - BASILIQUE;208;283;1,362176683;;;;
BE100;21003A03-;HAUT-CHAMP;126;172;1,362176683;;;;
BE100;21003A04-;L. DE SMET;78;106;1,362176683;;;;
BE100;21003A05-;DE SELLIERS DE MORANVILLE;151;206;1,362176683;;;;
BE100;21003A0AJ;HUNDERENVELD;43;59;1,362176683;;;;
BE100;21003A10-;HOPITAL FRANCAIS;209;285;1,362176683;;;;
BE100;21003A11-;CITE MODERNE;40;54;1,362176683;;;;
BE100;21003A212;CLOS DU ZAVELENBERG;38;52;1,362176683;;;;
BE100;21003A283;ZAVELENBERG;18;25;1,362176683;;;;
BE100;21003A2MJ;GARE;36;49;1,362176683;;;;
BE100;21003A312;POTAARDE  VLAK;140;191;1,362176683;;;;
BE100;21003A323;SEPT ETOILES;79;108;1,362176683;;;;
BE100;21003A331;ALLEE VERTE;53;72;1,362176683;;;;
BE100;21003A342;HOGENBOS;77;105;1,362176683;;;;
BE100;21003A38-;KONINCKXBOS;15;20;1,362176683;;;;
BE100;21003A41-;MONNET;42;57;1,362176683;;;;
BE100;21004A001;GRAND-PLACE;67;91;1,362176683;;;;
BE100;21004A002;BOURSE;28;38;1,362176683;;;;
BE100;21004A01-;VIEILLE HALLE AUX BLES;56;76;1,362176683;;;;
BE100;21004A02-;SAINT-FRANCOIS XAVIER;100;136;1,362176683;;;;
BE100;21004A03-;BON SECOURS - PALAIS DU MIDI;122;166;1,362176683;;;;
BE100;21004A04-;NOTRE-DAME DE LA CHAPELLE;56;76;1,362176683;;;;
BE100;21004A10-;GARE CENTRALE;9;12;1,362176683;;;;
BE100;21004A12-;REGENT (BOULEVARD DU);9;12;1,362176683;;;;
BE100;21004A13-;PETIT SABLON;46;63;1,362176683;;;;
BE100;21004A14-;GRAND SABLON;100;136;1,362176683;;;;
BE100;21004A15-;JACOBS (PLACE);23;31;1,362176683;;;;
BE100;21004A16-;PALAIS JUSTICE-HOP. ST.-PIERRE;74;101;1,362176683;;;;
BE100;21004A19-;PALAIS ROYAL;2;3;1,362176683;;;;
BE100;21004A1MJ;COLONIES (RUE DES);2;3;1,362176683;;;;
BE100;21004A20-;BOURSE-NORD-OUEST;166;226;1,362176683;;;;
BE100;21004A21-;ANNEESSENS (PLACE);342;466;1,362176683;;;;
BE100;21004A22-;SENNE (RUE DE LA);246;335;1,362176683;;;;
BE100;21004A23-;NOUVEAU MARCHE AU GRAIN;202;275;1,362176683;;;;
BE100;21004A24-;MARCHE AU PORCS;229;312;1,362176683;;;;
BE100;21004A25-;BEGUINAGE (PLACE DU);129;176;1,362176683;;;;
BE100;21004A30-;SAINT-MICHEL ET GUDULE;1;1;1,362176683;;;;
BE100;21004A32-;CONGRES - GARE;81;110;1,362176683;;;;
BE100;21004A33-;LIBERTE (PLACE DE LA);159;217;1,362176683;;;;
BE100;21004A34-;MONNAIE;60;82;1,362176683;;;;
BE100;21004A35-;AD. MAX (BOULEVARD);73;99;1,362176683;;;;
BE100;21004A3MJ;CITE ADMINISTRATIVE ET CONGRES;4;5;1,362176683;;;;
BE100;21004A70-;BLAES (RUE)-SUD;172;234;1,362176683;;;;
BE100;21004A71-;BLAES (RUE)-CENTRE;94;128;1,362176683;;;;
BE100;21004A72-;SAINT-THOMAS (INSTITUT);64;87;1,362176683;;;;
BE100;21004A811;QUAI DU COMMERCE;201;274;1,362176683;;;;
BE100;21004A822;RUE DES COMMERCANTS;26;35;1,362176683;;;;
BE100;21004A83-;E. JACQMAIN (BOULEVARD)-OUEST;136;185;1,362176683;;;;
BE100;21004B10-;ORBAN (SQUARE);10;14;1,362176683;;;;
BE100;21004B112;RUE DU COMMERCE;1;1;1,362176683;;;;
BE100;21004B13-;TREVES (RUE DE);17;23;1,362176683;;;;
BE100;21004B293;LEOPOLD (PARC);5;7;1,362176683;;;;
BE100;21004B2MJ;SCHUMAN (ROND-POINT);21;29;1,362176683;;;;
BE100;21004B2NJ;CITE DE LA CHAUSSEE;5;7;1,362176683;;;;
BE100;21004B2WJ;RUE DE PASCAL - ST.-SACREMENT;11;15;1,362176683;;;;
BE100;21004B411;DEUX EGLISES (RUE DES);115;157;1,362176683;;;;
BE100;21004B421;MARIE-LOUISE (SQUARE);177;241;1,362176683;;;;
BE100;21004B43-;AMBIORIX-NORD (SQUARE);296;403;1,362176683;;;;
BE100;21004B44-;AMBIORIX-SUD (SQUARE);152;207;1,362176683;;;;
BE100;21004B45-;ECOLE MILITAIRE;99;135;1,362176683;;;;
BE100;21004C501;LOUISE (AVENUE)-NORD;25;34;1,362176683;;;;
BE100;21004C51-;LOUISE (AVENUE)-NORD-EST;50;68;1,362176683;;;;
BE100;21004C52-;LOUISE (AVENUE)-NORD-OUEST;61;83;1,362176683;;;;
BE100;21004C53-;LOUISE (AVENUE)-SUD-OUEST;59;80;1,362176683;;;;
BE100;21004C54-;LOUISE (AVENUE)-SUD-EST;102;139;1,362176683;;;;
BE100;21004C552;LOUISE (AVENUE)-SUD;76;104;1,362176683;;;;
BE100;21004C61-;U.L.B.;24;33;1,362176683;;;;
BE100;21004C62-;BOENDAAL-OUEST;35;48;1,362176683;;;;
BE100;21004C63-;NATIONS (SQUARE DES);60;82;1,362176683;;;;
BE100;21004C642;AVENUE FRANKLIN ROOSEVELT;14;19;1,362176683;;;;
BE100;21004C65-;VIVIER D'OIE;8;11;1,362176683;;;;
BE100;21004D600;PARVIS SAINT-ROCH;29;40;1,362176683;;;;
