CD;SECTOR;TX_SECTOR_RESIDENCE_DESCR_FR;Sum of OBS_VALUE;Corrected_val;ratio_idem_partout;;;;
BE100;21010A04-;NOTRE-DAME DE LOURDES;280;381;1,362176683;;;;
BE100;21010A05-;ALBERT (QUARTIER);349;475;1,362176683;;;;
BE100;21010A10-;ANCIENNE BARRIERE;172;234;1,362176683;;;;
BE100;21010A111;HEYMBOSCH;192;262;1,362176683;;;;
BE100;21010A121;F. MOHRFELD (RUE DE);94;128;1,362176683;;;;
BE100;21010A13-;CITE-JARDIN;259;353;1,362176683;;;;
BE100;21010A141;BRUGMANN;197;268;1,362176683;;;;
BE100;21010A1AJ;ARBRE BALLON;240;327;1,362176683;;;;
BE100;21010A21-;MADELEINE;243;331;1,362176683;;;;
BE100;21010A312;BAECK DUPRE;52;71;1,362176683;;;;
BE100;21010A393;SACRE-COEUR;9;12;1,362176683;;;;
BE100;21010A4MJ;VUB;7;10;1,362176683;;;;
BE100;21011A00-;VANHUFFEL;111;151;1,362176683;;;;
BE100;21011A01-;SAINTE-ANNE;205;279;1,362176683;;;;
BE100;21011A02-;JACQUET (RUE DE);93;127;1,362176683;;;;
BE100;21011A10-;PAIX (AVENUE DE LA);167;227;1,362176683;;;;
BE100;21011A11-;LEPREUX;149;203;1,362176683;;;;
BE100;21011A12-;BASILIQUE;123;168;1,362176683;;;;
BE100;21011A20-;PLATEAU;251;342;1,362176683;;;;
BE100;21011A30-;ARCHERS - FOUREZ;204;278;1,362176683;;;;
BE100;21012A00-;CENTRE;101;138;1,362176683;;;;
BE100;21012A011;CANAL-SUD;79;108;1,362176683;;;;
BE100;21012A02-;BRUNFAUT (QUARTIER);32;44;1,362176683;;;;
BE100;21012A03-;RANSFORT;89;121;1,362176683;;;;
BE100;21012A041;QUATRE VENTS;85;116;1,362176683;;;;
BE100;21012A05-;SAINT-JOSEPH;48;65;1,362176683;;;;
BE100;21012A10-;DUCHESSE DE BRABANT;144;196;1,362176683;;;;
BE100;21012A11-;INDUSTRIE;77;105;1,362176683;;;;
BE100;21012A12-;BIRMINGHAM-SUD;57;78;1,362176683;;;;
BE100;21012A13-;BIRMINGHAM-NORD;64;87;1,362176683;;;;
BE100;21012A141;INDEPENDANCE;134;183;1,362176683;;;;
BE100;21012A152;ETANGS NOIRS;255;347;1,362176683;;;;
BE100;21012A172;GARE OUEST;36;49;1,362176683;;;;
BE100;21012A20-;BAECK;111;151;1,362176683;;;;
BE100;21012A21-;MARIE-JOSE BLOCS;38;52;1,362176683;;;;
BE100;21012A22-;BRASILIA;11;15;1,362176683;;;;
BE100;21012A23-;MACHTENS-SUD;202;275;1,362176683;;;;
BE100;21012A24-;OSSEGHEM;188;256;1,362176683;;;;
BE100;21012A25-;BEEKKANT;46;63;1,362176683;;;;
BE100;21012A26-;MACHTENS-NORD;209;285;1,362176683;;;;
BE100;21012A30-;METTEWIE - IDYLLE;134;183;1,362176683;;;;
BE100;21012A39-;DE RAEDT;1;1;1,362176683;;;;
BE100;21012A41-;MOORTEBEEK;121;165;1,362176683;;;;
BE100;21012A50-;BENES;160;218;1,362176683;;;;
BE100;21012A511;STEYNS;143;195;1,362176683;;;;
BE100;21012A52-;NEEP (QUARTIER DU);203;277;1,362176683;;;;
BE100;21012A53-;SIPPELBERG;9;12;1,362176683;;;;
BE100;21012A54-;DELHAIZE;137;187;1,362176683;;;;
BE100;21012A552;PFEIFFER;78;106;1,362176683;;;;
BE100;21012A59-;KARREVELD;5;7;1,362176683;;;;
BE100;21012A60-;LAEKENVELD;268;365;1,362176683;;;;
BE100;21012A611;MEXICO;85;116;1,362176683;;;;
BE100;21012A62-;LIBERATEURS;291;396;1,362176683;;;;
BE100;21012A63-;DUBRUCQ-NORD;100;136;1,362176683;;;;
BE100;21012A672;ULENS;152;207;1,362176683;;;;
BE100;21012A71-;PIERS;208;283;1,362176683;;;;
BE100;21012A72-;LAVALLEE;138;188;1,362176683;;;;
BE100;21012A732;CANAL-NORD;78;106;1,362176683;;;;
BE100;21012A811;MYRTES-NORD;39;53;1,362176683;;;;
BE100;21012A822;KORENBEEK;265;361;1,362176683;;;;
BE100;21012A833;ELBERS;11;15;1,362176683;;;;
BE100;21012A84-;METTEWIE-BUILDINGS;91;124;1,362176683;;;;
BE100;21012A851;CONDOR;82;112;1,362176683;;;;
BE100;21012A882;DARING;20;27;1,362176683;;;;
BE100;21012ZZZZ;COMMUNE DE MOLENBEEK-SAINT-JEAN: NON LOCALISABLE DANS UN SECTEUR;1;1;1,362176683;;;;
BE100;21013A00-;HOTEL DE VILLE;251;342;1,362176683;;;;
BE100;21013A01-;ESPAGNE (RUE D');191;260;1,362176683;;;;
BE100;21013A02-;CAPOUILLET (RUE);201;274;1,362176683;;;;
BE100;21013A031;AMAZONE (RUE DE);86;117;1,362176683;;;;
BE100;21013A04-;PRISON;120;163;1,362176683;;;;
BE100;21013A052;FAIDER (RUE);84;114;1,362176683;;;;
BE100;21013A101;PARVIS;138;188;1,362176683;;;;
BE100;21013A102;PARVIS;23;31;1,362176683;;;;
BE100;21013A11-;PARME (RUE DE);100;136;1,362176683;;;;
BE100;21013A121;GUILLAUME TELL-SUD;50;68;1,362176683;;;;
BE100;21013A13-;DETHY (RUE);137;187;1,362176683;;;;
BE100;21013A151;METAL (RUE DU);123;168;1,362176683;;;;
BE100;21013A201;ANGLETERRE (RUE D');94;128;1,362176683;;;;
BE100;21013A211;FONTAINAS;109;148;1,362176683;;;;
BE100;21013A22-;REGIES;180;245;1,362176683;;;;
BE100;21013A23-;ROI (AVENUE DU);74;101;1,362176683;;;;
BE100;21013A242;BETHLEEM (PLACE DE);100;136;1,362176683;;;;
BE100;21013A252;DANEMARK (RUE DE);124;169;1,362176683;;;;
BE100;21013A2MJ;GARE DU MIDI;1;1;1,362176683;;;;
BE100;21013A40-;BARRIERE;121;165;1,362176683;;;;
BE100;21013A41-;VILLAS (AVENUE DES);207;282;1,362176683;;;;
BE100;21013A422;CRICKX (RUE);143;195;1,362176683;;;;
BE100;21013A51-;TOISON D'OR (AVENUE);98;133;1,362176683;;;;
BE100;21013A522;RUE D'ECOSSE;119;162;1,362176683;;;;
BE100;21013A612;JAMAR;19;26;1,362176683;;;;
BE100;21013A623;FRANCE (RUE DE);4;5;1,362176683;;;;
BE100;21013ZZZZ;COMMUNE DE SAINT-GILLES: NON LOCALISABLE DANS UN SECTEUR;3;4;1,362176683;;;;
BE100;21014A00-;PLACE SAINT-JOSSE;177;241;1,362176683;;;;
BE100;21014A01-;STEURS;63;86;1,362176683;;;;
BE100;21014A02-;CHARITE;106;144;1,362176683;;;;
BE100;21014A03-;MADOU;63;86;1,362176683;;;;
BE100;21014A04-;HAECHT (CHAUSSEE DE);184;251;1,362176683;;;;
BE100;21014A05-;HOUWAERT;404;550;1,362176683;;;;
BE100;21014A10-;SAINT-FRANCOIS;140;191;1,362176683;;;;
BE100;21014A12-;SAINT-LAZARE;27;37;1,362176683;;;;
BE100;21014A14-;PRAIRIE;60;82;1,362176683;;;;
BE100;21014A2MJ;NORD;1;1;1,362176683;;;;
BE100;21014A3MJ;MANHATTAN;53;72;1,362176683;;;;
BE100;21014A41-;BOSSUET;251;342;1,362176683;;;;
BE100;21014ZZZZ;COMMUNE DE SAINT-JOSSE-TEN-NOODE: NON LOCALISABLE DANS UN SECTEUR;4;5;1,362176683;;;;
BE100;21015A00-;COLIGNON (PLACE);459;625;1,362176683;;;;
BE100;21015A01-;VAN YSENDYCK (RUE);75;102;1,362176683;;;;
BE100;21015A021;HOUFFALIZE (PLACE);209;285;1,362176683;;;;
BE100;21015A03-;JOSAPHAT (RUE);317;432;1,362176683;;;;
BE100;21015A04-;L'OLIVIER (RUE);274;373;1,362176683;;;;
BE100;21015A05-;ROYALE SAINTE-MARIE (RUE);262;357;1,362176683;;;;
BE100;21015A101;GARE;151;206;1,362176683;;;;
BE100;21015A111;MAETERLINCK;168;229;1,362176683;;;;
BE100;21015A12-;HUART HAMOIR (AVENUE);166;226;1,362176683;;;;
BE100;21015A13-;PORTAELS (RUE);126;172;1,362176683;;;;
BE100;21015A142;SAINTE-FAMILLE;7;10;1,362176683;;;;
BE100;21015A152;PR. ELISABETH-NORD;249;339;1,362176683;;;;
BE100;21015A20-;HELMET;333;454;1,362176683;;;;
BE100;21015A21-;GUIDO GEZELLE (RUE);110;150;1,362176683;;;;
BE100;21015A22-;MARBOTIN A. (RUE);158;215;1,362176683;;;;
BE100;21015A231;J. BLOCKX (RUE);119;162;1,362176683;;;;
BE100;21015A24-;WAELHEM (RUE);187;255;1,362176683;;;;
BE100;21015A272;HOPITAL P. BRIEN;27;37;1,362176683;;;;
BE100;21015A30-;GRANDE RUE AU BOIS;294;400;1,362176683;;;;
BE100;21015A31-;PATRIE;164;223;1,362176683;;;;
BE100;21015A32-;CONSOLATION (RUE DE LA);161;219;1,362176683;;;;
BE100;21015A33-;BIENFAITEURS (PLACE DE);176;240;1,362176683;;;;
BE100;21015A34-;PAQUERETTES (RUE);114;155;1,362176683;;;;
BE100;21015A35-;JEAN STOBBAERTS (AVENUE);170;232;1,362176683;;;;
BE100;21015A36-;CAMBIER (AVENUE E.);142;193;1,362176683;;;;
BE100;21015A39-;JOSAPHAT (PARC);1;1;1,362176683;;;;
BE100;21015A40-;BRABANT (RUE DE);202;275;1,362176683;;;;
BE100;21015A41-;VANDERLINDEN (RUE);201;274;1,362176683;;;;
BE100;21015A421;PALAIS (RUE DE);84;114;1,362176683;;;;
BE100;21015A43-;GARE DU NORD;94;128;1,362176683;;;;
BE100;21015A44-;REINE (AVENUE);187;255;1,362176683;;;;
BE100;21015A45-;STEPHENSON (PLACE);107;146;1,362176683;;;;
BE100;21015A50-;OPALE;372;507;1,362176683;;;;
BE100;21015A51-;CERISIERS (AVENUE DES);131;178;1,362176683;;;;
BE100;21015A52-;LINTHOUT (RUE);185;252;1,362176683;;;;
BE100;21015A53-;DAILLY (PLACE);199;271;1,362176683;;;;
BE100;21015A54-;EMERAUDE (AVENUE);354;482;1,362176683;;;;
BE100;21015A612;BRICHAUT (RUE DE);265;361;1,362176683;;;;
BE100;21015A622;BRUSILIA;56;76;1,362176683;;;;
BE100;21015A63-;DESCHANEL P. (AVENUE);102;139;1,362176683;;;;
BE100;21015A64-;DUPLOYE SQUARE;194;264;1,362176683;;;;
BE100;21015A70-;P. HYMANS (RUE);150;204;1,362176683;;;;
BE100;21015A71-;JARDINS;105;143;1,362176683;;;;
BE100;21015A721;F. COURTENS (AVENUE);56;76;1,362176683;;;;
BE100;21015A73-;H. EVENEPOEL (RUE);50;68;1,362176683;;;;
BE100;21015A77-;R.T.B.;79;108;1,362176683;;;;
BE100;21015A782;CIMETIERE DE SAINT-JOSSE;27;37;1,362176683;;;;
BE100;21015A7MJ;JOSAPHAT GARE;2;3;1,362176683;;;;
BE100;21015A811;TERDELT;77;105;1,362176683;;;;
BE100;21015A822;CH. GILISQUET - SUD (AVENUE);24;33;1,362176683;;;;
BE100;21015A831;LATINIS (AVENUE G.);244;332;1,362176683;;;;
BE100;21015A883;THEUNIS PIERRE (RUE);13;18;1,362176683;;;;
BE100;21016A00-;GLOBE-EST;286;390;1,362176683;;;;
BE100;21016A01-;DIEWEG;239;326;1,362176683;;;;
BE100;21016A02-;ALSEMBERG-NORD;205;279;1,362176683;;;;
BE100;21016A03-;COGHEN;155;211;1,362176683;;;;
BE100;21016A042;ECHEVINAGE;34;46;1,362176683;;;;
BE100;21016A05-;LE CHAT;249;339;1,362176683;;;;
BE100;21016A102;GROESELENBERG;96;131;1,362176683;;;;
BE100;21016A111;VERT CHASSEUR;60;82;1,362176683;;;;
BE100;21016A12-;HAMOIR;112;153;1,362176683;;;;
BE100;21016A214;ASTRONOMES;29;40;1,362176683;;;;
BE100;21016A225;PTOLEMEE;18;25;1,362176683;;;;
BE100;21016A232;BEAU SEJOUR;79;108;1,362176683;;;;
BE100;21016A311;FORT JACO;87;119;1,362176683;;;;
BE100;21016A322;CHAUSSEE DE WATERLOO-EST;55;75;1,362176683;;;;
BE100;21016A331;CHAUSSEE DE WATERLOO-OUEST;13;18;1,362176683;;;;
BE100;21016A342;FOND;207;282;1,362176683;;;;
BE100;21016A400;SAINT-JOB;163;222;1,362176683;;;;
BE100;21016A410;ALPHONSE XIII;38;52;1,362176683;;;;
BE100;21016A429;CARLOO;106;144;1,362176683;;;;
BE100;21016A44-;PECHERIE;137;187;1,362176683;;;;
BE100;21016A490;KAUWBERG;21;29;1,362176683;;;;
BE100;21016A521;VERREWINKEL;35;48;1,362176683;;;;
BE100;21016A533;MOENSBERG;44;60;1,362176683;;;;
BE100;21016A601;BOURDON;56;76;1,362176683;;;;
BE100;21016A610;ENGELAND;35;48;1,362176683;;;;
BE100;21016A620;KRIEKENPUT;64;87;1,362176683;;;;
BE100;21016A639;HOMBORCH;100;136;1,362176683;;;;
BE100;21016A64-;MOLENSTEEN;120;163;1,362176683;;;;
BE100;21016A65-;ALSEMBERG-SUD;54;74;1,362176683;;;;
BE100;21016A701;MERLO;120;163;1,362176683;;;;
BE100;21016A71-;KEIENBEMPT;108;147;1,362176683;;;;
BE100;21016A72-;MELKRIEK;26;35;1,362176683;;;;
BE100;21016A731;ROETAERT;32;44;1,362176683;;;;
BE100;21016A772;ZWARTEBEEK;34;46;1,362176683;;;;
BE100;21016A80-;VANDERKINDERE;151;206;1,362176683;;;;
BE100;21016A81-;BASCULE;177;241;1,362176683;;;;
BE100;21016A82-;CHURCHILL;287;391;1,362176683;;;;
BE100;21016A831;LONGCHAMP;156;212;1,362176683;;;;
BE100;21016A841;ZEECRABBE;15;20;1,362176683;;;;
BE100;21016A85-;BRUGMANN;86;117;1,362176683;;;;
BE100;21016A901;CENTRE-OUEST;121;165;1,362176683;;;;
BE100;21016A912;GLOBE-OUEST;62;84;1,362176683;;;;
BE100;21016A922;WOLVENBERG;57;78;1,362176683;;;;
BE100;21016A933;VOSSEGAT-OUEST;178;242;1,362176683;;;;
BE100;21016A943;SEPT-BONNIERS;54;74;1,362176683;;;;
BE100;21016A954;VOSSEGAT-EST;13;18;1,362176683;;;;
BE100;21017A000;CENTRE DE BOITSFORT;80;109;1,362176683;;;;
BE100;21017A01-;COIN DU BALAI;92;125;1,362176683;;;;
BE100;21017A021;DREVE DES EQUIPAGES;27;37;1,362176683;;;;
BE100;21017A031;AVENUE DELLEUR;11;15;1,362176683;;;;
BE100;21017A041;DREVE DU DUC;58;79;1,362176683;;;;
BE100;21017A08-;SOUVERAIN-EST;10;14;1,362176683;;;;
BE100;21017A09-;FORET DE SOIGNES;3;4;1,362176683;;;;
BE100;21017A11-;FLOREAL;45;61;1,362176683;;;;
BE100;21017A12-;LE LOGIS-NORD;70;95;1,362176683;;;;
BE100;21017A13-;BOULEAUX;90;123;1,362176683;;;;
BE100;21017A212;AVENUE DE LA TENDERIE;108;147;1,362176683;;;;
BE100;21017A220;LE LOGIS-SUD;34;46;1,362176683;;;;
BE100;21017A230;BEGUINETTES;99;135;1,362176683;;;;
BE100;21017A240;SOUVERAIN-OUEST;53;72;1,362176683;;;;
BE100;21017A312;CLOS DES CHENES;18;25;1,362176683;;;;
BE100;21017A323;DREVE DES TUMULI;7;10;1,362176683;;;;
BE100;21017A374;ZONING DE BUREAUX-SUD;4;5;1,362176683;;;;
BE100;21017A393;ETANGS DE BOITSFORT;3;4;1,362176683;;;;
BE100;21017A41-;AVENUE DE VISE;119;162;1,362176683;;;;
BE100;21017A421;WATERMAEL - STATION;5;7;1,362176683;;;;
BE100;21017A432;DRIES;80;109;1,362176683;;;;
BE100;21017A443;VILLE-ET-FORET - ELAN;24;33;1,362176683;;;;
BE100;21017A451;FUTAIE;92;125;1,362176683;;;;
BE100;21017A501;CENTRE DE WATERMAEL;27;37;1,362176683;;;;
BE100;21017A512;VANDER ELST - BIEN FAIRE;87;119;1,362176683;;;;
BE100;21017A523;MARTIN-PECHEUR;80;109;1,362176683;;;;
BE100;21017A534;RUE DES BEGONIAS;17;23;1,362176683;;;;
BE100;21017A541;LOUTRIER - WIENER;51;69;1,362176683;;;;
BE100;21017A613;AVENUE DE TERCOIGNE;8;11;1,362176683;;;;
BE100;21017A624;PECHERIES;80;109;1,362176683;;;;
BE100;21017A635;PRINCES BRABANCONS;25;34;1,362176683;;;;
BE100;21017A696;HERONNIERE;7;10;1,362176683;;;;
BE100;21018A00-;TOMBERG;90;123;1,362176683;;;;
BE100;21018A01-;SAINT-LAMBERT;50;68;1,362176683;;;;
BE100;21018A02-;SLEGERS (AVENUE);101;138;1,362176683;;;;
BE100;21018A031;ABELOOS;73;99;1,362176683;;;;
BE100;21018A04-;BEETEPUT;129;176;1,362176683;;;;
BE100;21018A05-;DRIES;86;117;1,362176683;;;;
BE100;21018A09-;RASANTE;13;18;1,362176683;;;;
BE100;21018A12-;STOCKEL (CHAUSSEE DE);63;86;1,362176683;;;;
BE100;21018A13-;GROOTVELD;28;38;1,362176683;;;;
BE100;21018A14-;CHANCELLERIE;75;102;1,362176683;;;;
BE100;21018A15-;LES SOURCES;15;20;1,362176683;;;;
BE100;21018A20-;GEORGES HENRI (AVENUE);249;339;1,362176683;;;;
BE100;21018A21-;DE BROQUEVILLE (AVENUE)-NORD;181;247;1,362176683;;;;
BE100;21018A22-;DE BROQUEVILLE (AVENUE)-SUD;116;158;1,362176683;;;;
BE100;21018A24-;LAMBEAU (AVENUE);152;207;1,362176683;;;;
BE100;21018A30-;SAINTE-FAMILLE;93;127;1,362176683;;;;
BE100;21018A311;PARC SCHUMAN;171;233;1,362176683;;;;
BE100;21018A32-;CLOS DES PEUPLIERS;26;35;1,362176683;;;;
BE100;21018A33-;NEERVELD;120;163;1,362176683;;;;
BE100;21018A34-;HOF TEN BERG-SUD;82;112;1,362176683;;;;
BE100;21018A35-;HOF TEN BERG-NORD;51;69;1,362176683;;;;
BE100;21018A37-;COMMUNAUTES;25;34;1,362176683;;;;
BE100;21018A3MJ;GULLEDELLE;165;225;1,362176683;;;;
BE100;21018A41-;EUROPE;103;140;1,362176683;;;;
BE100;21018A42-;VERVLOESEM;65;89;1,362176683;;;;
BE100;21018A43-;ROODEBEEK;93;127;1,362176683;;;;
BE100;21018A512;QUARTIER DES PEINTRES;110;150;1,362176683;;;;
BE100;21018A60-;ROODEBEEK PARC;25;34;1,362176683;;;;
BE100;21018A61-;HEYDENBERG-EST;117;159;1,362176683;;;;
BE100;21018A62-;HEYDENBERG-OUEST;235;320;1,362176683;;;;
BE100;21018A63-;CONSTELLATIONS;80;109;1,362176683;;;;
BE100;21018A643;DEUX MAISONS;76;104;1,362176683;;;;
BE100;21018A72-;ROGATIONS;152;207;1,362176683;;;;
BE100;21018A81-;KAPELLEVELD-SUD;40;54;1,362176683;;;;
BE100;21018A82-;MARIE LA MISERABLE;42;57;1,362176683;;;;
BE100;21018A83-;KLAKKEDELLE;56;76;1,362176683;;;;
BE100;21018A84-;KAPELLEVELD-NORD-EST;47;64;1,362176683;;;;
BE100;21018A87-;SAINT-LUC;47;64;1,362176683;;;;
BE100;21019A001;CENTRE;131;178;1,362176683;;;;
BE100;21019A01-;BOULEVARD DE LA WOLUWE;52;71;1,362176683;;;;
BE100;21019A02-;CLOS DU SOLEIL;21;29;1,362176683;;;;
BE100;21019A03-;CAPITAINE PIRET (AVENUE);80;109;1,362176683;;;;
BE100;21019A04-;EGGERICX (RUE);65;89;1,362176683;;;;
BE100;21019A052;DON BOSCO;74;101;1,362176683;;;;
BE100;21019A10-;STOCKEL;177;241;1,362176683;;;;
BE100;21019A11-;MILLE METRES (AVENUE);63;86;1,362176683;;;;
BE100;21019A12-;ESCRIME (AVENUE DE L');40;54;1,362176683;;;;
BE100;21019A131;KONKEL;88;120;1,362176683;;;;
BE100;21019A14-;VAL DE SEIGNEURS;111;151;1,362176683;;;;
BE100;21019A15-;KAPELLEVELD;72;98;1,362176683;;;;
BE100;21019A20-;SAINT-PAUL;78;106;1,362176683;;;;
BE100;21019A21-;MANOIR;67;91;1,362176683;;;;
BE100;21019A22-;PUTDAAL;38;52;1,362176683;;;;
BE100;21019A231;KELLE;74;101;1,362176683;;;;
BE100;21019A242;VENELLES;86;117;1,362176683;;;;
BE100;21019A252;MONTGOLFIER;80;109;1,362176683;;;;
BE100;21019A28-;ETANGS MELLAERTS;9;12;1,362176683;;;;
BE100;21019A30-;EGLANTINES (AVENUE);62;84;1,362176683;;;;
BE100;21019A31-;BEMEL;71;97;1,362176683;;;;
BE100;21019A32-;CHANT D'OISEAU;125;170;1,362176683;;;;
BE100;21019A33-;MIMOSAS (AVENUE);109;148;1,362176683;;;;
BE100;21019A34-;EUROPE (QUARTIER DE L');60;82;1,362176683;;;;
BE100;21019A35-;HORIZON (AVENUE);97;132;1,362176683;;;;
BE100;21019A40-;SAINTE-ALIX;212;289;1,362176683;;;;
BE100;21019A41-;CITE JOLI-BOIS;78;106;1,362176683;;;;
BE100;21019A42-;SALOME AVENUE;69;94;1,362176683;;;;
BE100;21019A43-;CORNICHE VERTE;34;46;1,362176683;;;;
BE100;21019A441;FAISANDERIE;12;16;1,362176683;;;;
BE100;21019A45-;HELICE (AVENUE DE L');72;98;1,362176683;;;;
BE100;21019A51-;COLLEGE SAINT-MICHEL;101;138;1,362176683;;;;
BE100;21019A52-;DUC (RUE);95;129;1,362176683;;;;
