Code;Territoire;Commune;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;;;;;;;;;;
21001A53-;NELLIE MELBA;Anderlecht;2;2;2;2;2;2,6;2,6;2,6;2,6;2,6;2;2;2;2;2;3,8;3,8;3,8;3,8;3,8;3,8;2,6;2,6;2,6;2,6;3,2;3,2;3,2;3,2;3,2;2,2;2,2;2,2;2,2;2,2;2,6;2,6;2,6;2,6;2,6;1,8;1,8;1,8;1,8;1,8;2,4;2,4;2,4;2,4;2,4;2,8;2,8;2,8;2,8;2,8;2,8;2,8;2,8;2,8;2,8;2,2;2,2;2,2;2,2;2,2;1,6;1,6;1,6;1,6;1,6;2;2;2;2;2;0,4;0,4;0,4;0,4;0,4;2,2;2,2;2,2;2,2;2,2;0,8;0,8;0,8;0,8;0,8;0,600;0,600;0,600;0,600;0,600;;;;;;;;;;
21001A41-;ROMAIN ROLLAND;Anderlecht;14,8;14,8;14,8;14,8;14,8;11,2;11,2;11,2;11,2;11,2;13,2;13,2;13,2;13,2;13,2;10,4;10,4;10,4;10,4;10,4;10,4;12,8;12,8;12,8;12,8;14,8;14,8;14,8;14,8;14,8;15,2;15,2;15,2;15,2;15,2;13,4;13,4;13,4;13,4;13,4;15,2;15,2;15,2;15,2;15,2;12,8;12,8;12,8;12,8;12,8;15,6;15,6;15,6;15,6;15,6;14,6;14,6;14,6;14,6;14,6;11,6;11,6;11,6;11,6;11,6;10,4;10,4;10,4;10,4;10,4;8,2;8,2;8,2;8,2;8,2;6,6;6,6;6,6;6,6;6,6;6,8;6,8;6,8;6,8;6,8;5,4;5,4;5,4;5,4;5,4;2,200;2,200;2,200;2,200;2,200;;;;;;;;;;
21001A492;ETANGS - PARC;Anderlecht;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000;0,000;0,000;0,000;0,000;;;;;;;;;;
21001A37-;ZUEN - INDUSTRIE;Anderlecht;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000;0,000;0,000;0,000;0,000;;;;;;;;;;
21001A85-;AUBADE;Anderlecht;7,4;7,4;7,4;7,4;7,4;7,8;7,8;7,8;7,8;7,8;3,2;3,2;3,2;3,2;3,2;5,4;5,4;5,4;5,4;5,4;5,4;4;4;4;4;5,6;5,6;5,6;5,6;5,6;7,6;7,6;7,6;7,6;7,6;5,8;5,8;5,8;5,8;5,8;5,4;5,4;5,4;5,4;5,4;4,4;4,4;4,4;4,4;4,4;2,8;2,8;2,8;2,8;2,8;3,4;3,4;3,4;3,4;3,4;3;3;3;3;3;2;2;2;2;2;0,8;0,8;0,8;0,8;0,8;0,6;0,6;0,6;0,6;0,6;0,4;0,4;0,4;0,4;0,4;0,8;0,8;0,8;0,8;0,8;0,200;0,200;0,200;0,200;0,200;;;;;;;;;;
21001B3MJ;PETITE ILE - RIVE DROITE;Anderlecht;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000;0,000;0,000;0,000;0,000;;;;;;;;;;
21001A51-;SCHERDEMAEL;Anderlecht;7,4;7,4;7,4;7,4;7,4;8;8;8;8;8;7;7;7;7;7;5,2;5,2;5,2;5,2;5,2;5,2;5,8;5,8;5,8;5,8;11;11;11;11;11;7,8;7,8;7,8;7,8;7,8;10,4;10,4;10,4;10,4;10,4;7,8;7,8;7,8;7,8;7,8;8,4;8,4;8,4;8,4;8,4;8,6;8,6;8,6;8,6;8,6;13,4;13,4;13,4;13,4;13,4;7;7;7;7;7;8,4;8,4;8,4;8,4;8,4;8,4;8,4;8,4;8,4;8,4;5,6;5,6;5,6;5,6;5,6;5,8;5,8;5,8;5,8;5,8;3,2;3,2;3,2;3,2;3,2;2,200;2,200;2,200;2,200;2,200;;;;;;;;;;
21001A42-;KAT;Anderlecht;3;3;3;3;3;3,2;3,2;3,2;3,2;3,2;3,8;3,8;3,8;3,8;3,8;4,6;4,6;4,6;4,6;4,6;4,6;3;3;3;3;4,4;4,4;4,4;4,4;4,4;2,8;2,8;2,8;2,8;2,8;2,4;2,4;2,4;2,4;2,4;3,6;3,6;3,6;3,6;3,6;2,8;2,8;2,8;2,8;2,8;4;4;4;4;4;4,2;4,2;4,2;4,2;4,2;3,2;3,2;3,2;3,2;3,2;2;2;2;2;2;1,8;1,8;1,8;1,8;1,8;1,6;1,6;1,6;1,6;1,6;1,6;1,6;1,6;1,6;1,6;0,8;0,8;0,8;0,8;0,8;0,200;0,200;0,200;0,200;0,200;;;;;;;;;;
21001A52-;SCHERDEMAEL-NORD;Anderlecht;3,6;3,6;3,6;3,6;3,6;4;4;4;4;4;4,8;4,8;4,8;4,8;4,8;2,8;2,8;2,8;2,8;2,8;2,8;2,6;2,6;2,6;2,6;1,8;1,8;1,8;1,8;1,8;3;3;3;3;3;3,4;3,4;3,4;3,4;3,4;2,6;2,6;2,6;2,6;2,6;3,2;3,2;3,2;3,2;3,2;2,6;2,6;2,6;2,6;2,6;4,4;4,4;4,4;4,4;4,4;2,6;2,6;2,6;2,6;2,6;2,8;2,8;2,8;2,8;2,8;2;2;2;2;2;1,2;1,2;1,2;1,2;1,2;0,6;0,6;0,6;0,6;0,6;1;1;1;1;1;0,400;0,400;0,400;0,400;0,400;;;;;;;;;;
21001C70-;BON AIR - CENTRE;Anderlecht;2,2;2,2;2,2;2,2;2,2;2;2;2;2;2;1,8;1,8;1,8;1,8;1,8;1,2;1,2;1,2;1,2;1,2;1,2;1,8;1,8;1,8;1,8;3;3;3;3;3;1,6;1,6;1,6;1,6;1,6;1,6;1,6;1,6;1,6;1,6;1,4;1,4;1,4;1,4;1,4;2,4;2,4;2,4;2,4;2,4;2,2;2,2;2,2;2,2;2,2;1;1;1;1;1;1,2;1,2;1,2;1,2;1,2;0,6;0,6;0,6;0,6;0,6;0,8;0,8;0,8;0,8;0,8;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,000;0,000;0,000;0,000;0,000;;;;;;;;;;
