Code;Territoire;Population totale;Nombre de femmes;Nombre d'hommes
21004G310;HAREN-SUD-OUEST;1096;550;546
21004D6MJ;QUAI DES USINES - MONNOYER;8;5;3
21004F94-;VAL MARIA;866;474;392
21004F901;PLACE PETER BENOIT;1989;1052;937
21004G371;GARE DE FORMATION;6;3;3
21004G30-;SAINTE-ELISABETH;3370;1687;1683
21004F930;COIN DES CERISES;1989;1090;899
21004G321;HAREN-EST;1082;532;550
21004B2WJ;RUE DE PASCAL - ST.-SACREMENT;355;175;180
21004B45-;ECOLE MILITAIRE;1539;759;780
21004B49-;CINQUANTENAIRE (PARC DU);19;8;11
21004B1MJ;RUE JOSEPH II;0;0;0
21004A25-;BEGUINAGE (PLACE DU);1788;819;969
21004B2MJ;SCHUMAN (ROND-POINT);606;294;312
21004B44-;AMBIORIX-SUD (SQUARE);2844;1455;1389
21004B43-;AMBIORIX-NORD (SQUARE);5538;2829;2709
21004B293;LEOPOLD (PARC);142;78;64
21004A24-;MARCHE AU PORCS;3458;1576;1882
21004F970;MARLY-NORD;180;85;95
21004A35-;AD. MAX (BOULEVARD);1290;545;745
21004A83-;E. JACQMAIN (BOULEVARD)-OUEST;1515;664;851
21004F994;TRASSERSWEG - NEDER-HEEMBEEK;88;48;40
21004F531;RUE DES FAINES;2889;1473;1416
21004E180;DOMAINE ROYALE;24;14;10
21004E292;AVENUE DES CROIX DU FEU;6;3;3
21004G3MJ;DOBBELENBERG (RUE DE);471;249;222
21004F572;MARLY-SUD;51;23;28
21004F91-;CROIX DE GUERRE (AVENUE DES);2751;1436;1315
21004F922;RUE CHATEAU BEYAERD;3050;1519;1531
21004G3NJ;HAREN-SUD;385;194;191
21004C642;AVENUE FRANKLIN ROOSEVELT;372;201;171
21004C591;CAMBRE (BOIS DE LA);1;0;1
21004C61-;U.L.B.;877;472;405
21004C54-;LOUISE (AVENUE)-SUD-EST;1732;904;828
21004C63-;NATIONS (SQUARE DES);1334;700;634
21004B2NJ;CITE DE LA CHAUSSEE;382;169;213
21004B13-;TREVES (RUE DE);412;197;215
21004F953;RUE DU WIMPELBERG;1397;756;641
21004F9MJ;NEDER-HEEMBEEK-NORD;1446;734;712
21004A02-;SAINT-FRANCOIS XAVIER;1640;782;858
21004A70-;BLAES (RUE)-SUD;4775;2320;2455
