Code;Territoire;Population totale;Nombre de femmes;Nombre d'hommes
21015A13-;PORTAELS (RUE);2254;1120;1134
21015A22-;MARBOTIN A. (RUE);3611;1880;1731
21015A272;HOPITAL P. BRIEN;300;165;135
21015A231;J. BLOCKX (RUE);1641;821;820
21015A20-;HELMET;5678;2802;2876
21015A21-;GUIDO GEZELLE (RUE);2141;1079;1062
21016A901;CENTRE-OUEST;2094;1154;940
21016A81-;BASCULE;3231;1724;1507
21016A82-;CHURCHILL;5017;2725;2292
21016A232;BEAU SEJOUR;1480;759;721
21016A831;LONGCHAMP;3020;1670;1350
21016A111;VERT CHASSEUR;954;487;467
21016A841;ZEECRABBE;413;212;201
21016A85-;BRUGMANN;1879;1070;809
21016A042;ECHEVINAGE;520;296;224
21016A03-;COGHEN;2983;1633;1350
21016A02-;ALSEMBERG-NORD;3619;1773;1846
21016A922;WOLVENBERG;1168;628;540
21016A912;GLOBE-OUEST;1095;589;506
21016A933;VOSSEGAT-OUEST;2924;1603;1321
21016A731;ROETAERT;538;292;246
21016A701;MERLO;2620;1388;1232
21016A772;ZWARTEBEEK;685;365;320
21016A72-;MELKRIEK;818;456;362
21016A71-;KEIENBEMPT;1881;1073;808
21016A13-;OBSERVATOIRE;3;0;3
21016A383;FORET DE SOIGNES LORRAINE-W.;0;0;0
21016A954;VOSSEGAT-EST;334;184;150
21016A331;CHAUSSEE DE WATERLOO-OUEST;346;201;145
21016A80-;VANDERKINDERE;2769;1524;1245
21016A225;PTOLEMEE;511;281;230
21016A64-;MOLENSTEEN;2132;1136;996
21016A05-;LE CHAT;4123;2177;1946
21016A39-;FORET DE SOIGNES LORRAINE-EST;8;2;6
21016A692;CIMETIERE - ST.-GILLES;1;0;1
21016A533;MOENSBERG;652;357;295
21016A943;SEPT-BONNIERS;980;525;455
21016A65-;ALSEMBERG-SUD;1050;531;519
21016A601;BOURDON;1137;600;537
21016A620;KRIEKENPUT;1082;568;514
21016A01-;DIEWEG;4082;2187;1895
21016A00-;GLOBE-EST;4440;2358;2082
21016A193;WOLVENDAEL;0;0;0
21016A102;GROESELENBERG;2083;1124;959
21016A12-;HAMOIR;2374;1317;1057
21016A44-;PECHERIE;2570;1393;1177
21016A214;ASTRONOMES;498;270;228
21016A322;CHAUSSEE DE WATERLOO-EST;853;449;404
21016A400;SAINT-JOB;2715;1426;1289
21016A429;CARLOO;1721;888;833
21016A410;ALPHONSE XIII;899;473;426
21016A490;KAUWBERG;397;212;185
21016A639;HOMBORCH;2502;1389;1113
21016A610;ENGELAND;498;262;236
21016A521;VERREWINKEL;459;234;225
21016A342;FOND;3200;1657;1543
21016A311;FORT JACO;1571;826;745
21017A512;VANDER ELST - BIEN FAIRE;1107;573;534
21017A541;LOUTRIER - WIENER;926;519;407
21017A192;STADE DES TROIS TILLEULS;14;6;8
21017A635;PRINCES BRABANCONS;458;245;213
21017A11-;FLOREAL;1503;869;634
21017A240;SOUVERAIN-OUEST;826;434;392
21017A230;BEGUINETTES;1305;672;633
21017A220;LE LOGIS-SUD;667;369;298
21017A443;VILLE-ET-FORET - ELAN;794;461;333
21017A41-;AVENUE DE VISE;1605;855;750
21017A523;MARTIN-PECHEUR;1591;901;690
21017A613;AVENUE DE TERCOIGNE;125;64;61
21017A696;HERONNIERE;88;45;43
21017A624;PECHERIES;1122;576;546
21017A534;RUE DES BEGONIAS;346;188;158
21017A501;CENTRE DE WATERMAEL;391;198;193
21017A421;WATERMAEL - STATION;147;80;67
21017A432;DRIES;1088;561;527
21017A021;DREVE DES EQUIPAGES;363;194;169
21017A01-;COIN DU BALAI;1270;682;588
21017A12-;LE LOGIS-NORD;2230;1242;988
21017A08-;SOUVERAIN-EST;185;99;86
21017A13-;BOULEAUX;1174;588;586
21017A212;AVENUE DE LA TENDERIE;1758;932;826
21017A000;CENTRE DE BOITSFORT;1115;604;511
21017A09-;FORET DE SOIGNES;9;4;5
21017A451;FUTAIE;1340;726;614
21017A472;ZONING DE BUREAUX-NORD;19;10;9
21017A374;ZONING DE BUREAUX-SUD;268;133;135
21017A041;DREVE DU DUC;867;450;417
21017A031;AVENUE DELLEUR;137;72;65
21017A312;CLOS DES CHENES;176;99;77
21017A323;DREVE DES TUMULI;114;67;47
21017A393;ETANGS DE BOITSFORT;29;11;18
21017A382;FORESTERIE;0;0;0
21018A20-;GEORGES HENRI (AVENUE);3272;1701;1571
21018A72-;ROGATIONS;2424;1250;1174
21018A21-;DE BROQUEVILLE (AVENUE)-NORD;3078;1731;1347
21018A35-;HOF TEN BERG-NORD;1049;579;470
21018A34-;HOF TEN BERG-SUD;1113;577;536
21018A32-;CLOS DES PEUPLIERS;456;230;226
21018A311;PARC SCHUMAN;2315;1285;1030
21018A33-;NEERVELD;2199;1197;1002
21018A22-;DE BROQUEVILLE (AVENUE)-SUD;1759;953;806
21018A512;QUARTIER DES PEINTRES;1675;906;769
21018A031;ABELOOS;1550;858;692
21018A04-;BEETEPUT;1894;1001;893
21018A02-;SLEGERS (AVENUE);1322;698;624
21018A37-;COMMUNAUTES;336;188;148
21018A63-;CONSTELLATIONS;1763;974;789
21018A05-;DRIES;1201;623;578
21018A61-;HEYDENBERG-EST;1975;1064;911
21018A62-;HEYDENBERG-OUEST;3414;1848;1566
21018A24-;LAMBEAU (AVENUE);2165;1149;1016
21018A09-;RASANTE;286;155;131
21018A30-;SAINTE-FAMILLE;1292;683;609
21018A643;DEUX MAISONS;1948;1109;839
21018A60-;ROODEBEEK PARC;619;300;319
21018A19-;STRUYCKBEKEN;19;11;8
21018A81-;KAPELLEVELD-SUD;655;355;300
21018A84-;KAPELLEVELD-NORD-EST;870;481;389
21018A00-;TOMBERG;1607;888;719
21018A43-;ROODEBEEK;1131;594;537
21018A41-;EUROPE;1488;836;652
21018A42-;VERVLOESEM;1288;727;561
21018A01-;SAINT-LAMBERT;989;522;467
21018A15-;LES SOURCES;236;126;110
21018A14-;CHANCELLERIE;1206;643;563
21018A13-;GROOTVELD;555;297;258
21018A12-;STOCKEL (CHAUSSEE DE);1361;729;632
21018A82-;MARIE LA MISERABLE;571;282;289
21018A83-;KLAKKEDELLE;947;494;453
21018A87-;SAINT-LUC;992;488;504
21018A3MJ;GULLEDELLE;3564;1828;1736
21019A231;KELLE;1027;547;480
21019A242;VENELLES;1097;608;489
21019A252;MONTGOLFIER;1247;651;596
21019A131;KONKEL;1762;935;827
21019A12-;ESCRIME (AVENUE DE L');596;301;295
21019A45-;HELICE (AVENUE DE L');967;505;462
21019A52-;DUC (RUE);1359;708;651
21019A51-;COLLEGE SAINT-MICHEL;1750;878;872
21019A04-;EGGERICX (RUE);1067;572;495
21019A03-;CAPITAINE PIRET (AVENUE);1152;593;559
21019A02-;CLOS DU SOLEIL;314;162;152
21019A052;DON BOSCO;965;490;475
21019A001;CENTRE;1644;892;752
21019A34-;EUROPE (QUARTIER DE L');1155;622;533
21019A30-;EGLANTINES (AVENUE);962;498;464
21019A33-;MIMOSAS (AVENUE);1812;973;839
21019A01-;BOULEVARD DE LA WOLUWE;712;367;345
21019A11-;MILLE METRES (AVENUE);1088;590;498
21019A31-;BEMEL;1315;711;604
21019A32-;CHANT D'OISEAU;2678;1455;1223
21019A09-;WOLUWE (PARC DE);1;0;1
21019A35-;HORIZON (AVENUE);1501;793;708
21019A28-;ETANGS MELLAERTS;111;63;48
21019A20-;SAINT-PAUL;1287;676;611
21019A14-;VAL DE SEIGNEURS;1706;906;800
21019A10-;STOCKEL;2508;1408;1100
21019A21-;MANOIR;1603;886;717
21019A40-;SAINTE-ALIX;2892;1526;1366
21019A15-;KAPELLEVELD;1652;927;725
21019A42-;SALOME AVENUE;1262;698;564
21019A22-;PUTDAAL;623;311;312
21019A441;FAISANDERIE;403;200;203
21019A41-;CITE JOLI-BOIS;1040;572;468
21019A43-;CORNICHE VERTE;527;283;244
21019A492;BOIS;2;1;1
21001C5PA;MEERVELD;196;95;101
21001C5MA;MEYLEMEERSCH;80;36;44
21001C6PB;ZONE RURALE;449;230;219
21001C6MB;MEYLEMEERSCH-EST;0;0;0
