Code;Territoire;Part des enfants du quartier scolarisés en primaire à proximité de leur résidence (%);nb_enfant_scolarisés_vivant_quartier;nb_child_vivant_quart_prim_lim;;
111;Vivier d'Oie;63,85;232;148,1230769;;
112;Kriekenput - Homborch - Verrewinkel;64,00;369;236,16;;
113;Saint-Job Kauwberg;74,46;436;324,6523077;;
114;Dieweg;62,17;566;351,8783069;;
115;Kalevoet - Moensberg;66,67;896;597,3333333;;
116;Globe;74,95;1051;787,6921444;;
117;Vossegat - Roosendaal;70,39;506;356,1650485;;
118;Saint-Denis - Neerstalle;56,19;479;269,1394026;;
701;Cimetière d'Ixelles;0,00;0;0;;
702;Cimetière de Saint-Gilles;0,00;0;0;;
800;Industrie Nord;0,00;202;0;;
801;Industrie OTAN;0,00;46;0;;
802;Delta;0,00;0;0;;
803;Industrie Sud;0,00;151;0;;
804;Gare du Midi;0,00;0;0;;
805;Industrie Birmingham;0,00;40;0;;
900;Domaine Royal Laeken;0,00;0;0;;
901;Parc Josaphat;0,00;0;0;;
902;Botanique;0,00;0;0;;
903;Cinquantenaire;0,00;0;0;;
904;Parc Léopold;0,00;0;0;;
905;Parc de la Woluwe;0,00;0;0;;
906;Forêt de Soignes;0,00;0;0;;
907;Bois de la Cambre;0,00;0;0;;
908;Parc Wolvendael;0,00;0;0;;
909;Parc Duden - Parc de Forest;0,00;32;0;;
910;Parc des Etangs;0,00;0;0;;
911;Parc Astrid;0,00;0;0;;
912;Parc Forestier;0,00;0;0;;
913;Parc Marie-José;0,00;0;0;;
914;Scheutbos;0,00;0;0;;
915;Parc Elisabeth;0,00;0;0;;
916;Bois du Laarbeek - Poelbos;0,00;0;0;;
917;Parc Baudouin - Dielegembos;0,00;0;0;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
