,Libellé de l'unité ,N°FASE de l'établissement référent,Nom de l'établissement référent,Nom court de l'établissement référent,URL du site web,Adresse de l'établissement,Code postal de l'établissement,Localité de l'établissement,Latitude de l'établissement,Longitude de l'établissement,geoloc_etablissement,N°FASE du campus,Nom du campus,Adresse du campus,Code postal du campus,Localité du campus,Arrondissement du campus,Latitude du campus,Longitude du campus,geoloc_campus,Bxl / hors Bxl,sector_stat
262,Promotion sociale supérieur,1021,Ecole industrielle et commerciale de Courcelles,"Ec ind, et com, Courcelle","http://www,eicourcelles,be","Pl Franklin D, Roosevelt 2-3",6180,COURCELLES,,,,1942,,"Pl Franklin D, Roosevelt 2-3",6180,COURCELLES,Charleroi,,,,Hors Brussels,
263,Promotion sociale supérieur,1094,Espace formations - Enseignement de promotion sociale,"Esp, form, - prom soc","http://www,espaceformations,be",Rue de l'Atelier Central 2,6230,PONT-A-CELLES,,,,7477,,Rue Atelier Central 2,6230,PONT-A-CELLES,Charleroi,"50,506037","4,374914","50,506037, 4,374914",Hors Brussels,
264,Promotion sociale supérieur,1220,Promotion sociale supérieur Mons-Borinage,"PS sup, Mons-Borinage","https://www,etudierenhainaut,be/promotion-sociale-superieur-mons,html",Avenue du Tir 10,7000,MONS,"50,4616777","3,9621946","50,4616777, 3,9621946",2396,,Avenue du Tir 10,7000,MONS,Mons,"50,4616777","3,9621946","50,4616777, 3,9621946",Hors Brussels,
265,Promotion sociale supérieur,1287,Institut d'enseignement de promotion sociale de la Communauté française,"I,E,P,S,C,F,","http://www,iepscol,be",Rue Clémenceau 60-62,7340,WASMES,,,,2268,,Route d'Ath 369,7050,JURBISE,Mons,,,,Hors Brussels,
266,Promotion sociale supérieur,1287,Institut d'enseignement de promotion sociale de la Communauté française,"I,E,P,S,C,F,","http://www,iepscol,be",Rue Clémenceau 60-62,7340,WASMES,,,,2561,,Rue Clémenceau 60-62,7340,WASMES,Mons,,,,Hors Brussels,
267,Promotion sociale supérieur,1422,Institut provincial des Arts et Métiers du Centre,IP Arts et Métiers Centre,"http://www,jetudie,be/ipam",Rue Paul Pastur 1,7100,LA LOUVIERE,"50,4776372","4,1941966","50,4776372, 4,1941966",2859,,Rue Paul Pastur 1,7100,LA LOUVIERE,La Louvière,"50,4776372","4,1941966","50,4776372, 4,1941966",Hors Brussels,
268,Promotion sociale supérieur,1471,Institut technique et agricole de la Province du Hainaut,"Inst, tech, agri, Hainaut","http://www,etudierenhainaut,be/ita-soignies",Rue de la Station 57,7060,SOIGNIES,"50,5758521","4,0697583","50,5758521, 4,0697583",2961,,Rue de la Station 57,7060,SOIGNIES,Soignies,"50,5758521","4,0697583","50,5758521, 4,0697583",Hors Brussels,
269,Promotion sociale supérieur,1509,Institut provincial d'enseignement de promotion sociale Binche-Carnières-Morlanwelz,PS Binche-Carnières-Morla,"https://www,etudierenhainaut,be/ipeps-bcm,html",Rue des Archers 12,7130,BINCHE,"50,4147697","4,1654149","50,4147697, 4,1654149",3045,,Rue des Archers 12,7130,BINCHE,La Louvière,"50,4147697","4,1654149","50,4147697, 4,1654149",Hors Brussels,
270,Promotion sociale supérieur,1572,Ecole industrielle et commerciale communale de Thuin,"Ec, ind, com, Thuin","http://promsocthuin,be/",Rue Verte 1,6530,THUIN,,,,3144,,Rue Verte 1,6530,THUIN,Thuin,,,,Hors Brussels,
271,Promotion sociale supérieur,1637,Institut d'enseignement de promotion sociale de la Communauté française de Péruwelz,"I,E,P,S,C,F, Péruwelz","http://epsperuwelz,be/",Boulevard Léopold III 40,7600,PERUWELZ,,,,3268,,Boulevard Léopold III 40,7600,PERUWELZ,Tournai-Mouscron,,,,Hors Brussels,
272,Promotion sociale supérieur,1704,Institut d'enseignement de promotion sociale de la Communauté française,"I,E,P,S,C,F,","http://www,iepscf-tournai,be",Rue Saint-Brice 53,7500,TOURNAI,,,,3366,,Rue Saint-Brice 53,7500,TOURNAI,Tournai-Mouscron,,,,Hors Brussels,
273,Promotion sociale supérieur,2015,Cours de promotion sociale Saint-Luc,Cours de PS Saint-Luc,"http://www,saintlucpsliege,be/",Rue Louvrex 111,4000,LIEGE,"50,6328039","5,5646348","50,6328039, 5,5646348",3959,,Rue Louvrex 111,4000,LIEGE,Liège,"50,6330272","5,5646394","50,6330272, 5,5646394",Hors Brussels,
274,Promotion sociale supérieur,2023,Institut de technologie - Enseignement de promotion sociale,"Inst, techologie prom soc","http://www,itlg,be",Quai du Condroz 15,4020,LIEGE,"50,6202685","5,5840803","50,6202685, 5,5840803",3980,,Quai du Condroz 15,4000,LIEGE,Liège,"50,6202574","5,5840373","50,6202574, 5,5840373",Hors Brussels,
275,Promotion sociale supérieur,2032,Institut provincial d'enseignement de promotion sociale de Liège,IP prom soc Liège,"http://www,provincedeliege,be/enseignement/promotionsociale/fr/ipepsliege",Quai Godefroid Kurth 100,4020,LIEGE,"50,5223421","5,2433659","50,5223421, 5,2433659",4017,,Quai Godefroid Kurth 100,4020,LIEGE,Liège,"50,5223421","5,2433659","50,5223421, 5,2433659",Hors Brussels,
276,Promotion sociale supérieur,2160,Institut d'enseignement de promotion sociale de la Communauté française,"I,E,P,S,C,F,","http://www,promotion-sociale,be",Rue Charles de Liège 9,4623,MAGNEE,"50,6086826","5,6143999","50,6086826, 5,6143999",4345,,Rue Bourdon 32,4032,CHENEE,Liège,"50,6115062","5,6178278","50,6115062, 5,6178278",Hors Brussels,
277,Promotion sociale supérieur,2193,Institut d'enseignement de promotion sociale de la Communauté française,"I,E,P,S,C,F,","http://www,gha-wbe,be/",Rue Champ Pillé 54-56,4460,GRACE-HOLLOGNE,"50,632959","5,4723756","50,632959, 5,4723756",4415,,Rue Champ Pillé 54-56,4460,HOLLOGNE-AUX-PIERRES,Liège,"50,632959","5,4723756","50,632959, 5,4723756",Hors Brussels,
278,Promotion sociale supérieur,2343,Institut provincial d'enseignement de promotion sociale - Orientation technologique,IP prom soc techologique,"https://www,provincedeliege,be/fr/enseignement/promotionsociale/fr/ipepsvervierstechnologique",Rue aux Laines 69,4800,VERVIERS,"50,5889825","5,8534062","50,5889825, 5,8534062",4694,,Rue aux Laines 69,4800,VERVIERS,Verviers,"50,5889825","5,8534062","50,5889825, 5,8534062",Hors Brussels,
279,Promotion sociale supérieur,2420,Institut d'enseignement de promotion sociale de la Communauté française,"I,E,P,S,C,F,","http://www,promotion-sociale-waremme,be",Rue Gustave Renier 1,4300,WAREMME,"50,6951562","5,2537125","50,6951562, 5,2537125",4846,,Rue Eloi Fouarge 31,4470,SAINT-GEORGES-SUR-MEUSE,Waremme,"50,5895104","5,3610545","50,5895104, 5,3610545",Hors Brussels,
280,Promotion sociale supérieur,2420,Institut d'enseignement de promotion sociale de la Communauté française,"I,E,P,S,C,F,","http://www,promotion-sociale-waremme,be",Rue Gustave Renier 1,4300,WAREMME,"50,6951562","5,2537125","50,6951562, 5,2537125",4870,,Rue Gustave Renier 1,4300,WAREMME,Waremme,"50,6951562","5,2537125","50,6951562, 5,2537125",Hors Brussels,
281,Promotion sociale supérieur,2597,Institut d'enseignement de promotion sociale de la Communauté française,"I,E,P,S,C,F,","http://www,promotion-sociale-marche,be",Avenue de la Toison d'Or 71,6900,MARCHE-EN-FAMENNE,"50,2206426","5,3403425","50,2206426, 5,3403425",5193,,Avenue de la Toison d'Or 71,6900,MARCHE-EN-FAMENNE,Marche-en-Famenne,"50,2206426","5,3403425","50,2206426, 5,3403425",Hors Brussels,
282,Promotion sociale supérieur,2825,Institut d'enseignement de promotion sociale de la Communauté française,"I,E,P,S,C,F,","http://www,iepscfdinant,be",Chemin d'Herbuchenne 1 Bte 4,5500,DINANT,"50,2574402","4,9236774","50,2574402, 4,9236774",5587,,Domaine d'Herbuchenne 1,5500,DINANT,Dinant,"50,2574402","4,9236774","50,2574402, 4,9236774",Hors Brussels,
283,École supérieure des Arts,3017,Institut supérieur de Musique et de Pédagogie,IMEP,,Rue Juppin 28,5000,NAMUR,"50,4645146","4,8454983","50,4645146, 4,8454983",7945,IMEP,Rue Henri Blès 33A,5000,NAMUR,Namur,"50,4647614","4,846859","50,4647614, 4,846859",Hors Brussels,
284,Promotion sociale supérieur,3147,Institut libre de formation permanente,"Inst, form, permanente","http://www,ilfop,be",Avenue Cardinal Mercier 49,5000,NAMUR,"50,4656624","4,8637515","50,4656624, 4,8637515",5990,,Avenue Cardinal Mercier 49,5000,NAMUR,Namur,"50,4656624","4,8637515","50,4656624, 4,8637515",Hors Brussels,
285,Promotion sociale supérieur,3179,Centre d'enseignement supérieur de promotion et de formation continuée en brabant wallon,"Prom, fc Brabant Wallon","http://www,cpfb,be",Rue des Wallons 6,1348,LOUVAIN-LA-NEUVE,,,,1337,,Rue des Wallons 6,1348,LOUVAIN-LA-NEUVE,Nivelles,,,,Hors Brussels,
286,Promotion sociale supérieur,3197,Institut Roger Lambion,"Inst, Roger Lambion","http://www,ceria,be/irl",Avenue Emile Gryson 1 BAT4C,1070,ANDERLECHT,"50,8154517","4,294899","50,8154517, 4,294899",53,,Avenue Emile Gryson 1,1070,ANDERLECHT,Bruxelles-Capitale,"50,815497","4,2946619","50,815497, 4,2946619",Brussels,21001A3MJ
287,Promotion sociale supérieur,3225,Institut technique et professionnel du Borinage,"Inst, tech et prof Borina","http://www,eps-boussu-ath,be",Rue de Caraman 13,7300,BOUSSU,"50,4344207","3,7941973","50,4344207, 3,7941973",2196,,Rue de Caraman 13,7300,BOUSSU,Mons,"50,4344207","3,7941973","50,4344207, 3,7941973",Hors Brussels,
288,Promotion sociale supérieur,3233,EPHEC Enseignement supérieur de promotion sociale,EPHEC prom soc,"http://www,ephec,be",Avenue Konrad Adenauer 3,1200,WOLUWE-SAINT-LAMBERT,"50,8498949","4,4485103","50,8498949, 4,4485103",959,,Avenue Konrad Adenauer 3,1200,WOLUWE SAINT-LAMBERT,Bruxelles-Capitale,"50,8501243","4,4487108","50,8501243, 4,4487108",Brussels,21018A87-
289,Promotion sociale supérieur,3242,Ecole des Femmes prévoyantes socialistes d'Ans,Ecole FPS Ans,"https://ecolesfps,be/",Rue Darchis 20,4000,LIEGE,"50,6371858","5,5659836","50,6371858, 5,5659836",7373,,Rue Darchis 20,4000,LIEGE,Liège,"50,6371858","5,5659836","50,6371858, 5,5659836",Hors Brussels,
290,Université,5220,Université Saint-Louis - Bruxelles,USL-B,"http://www,usaintlouis,be",Boulevard du Jardin Botanique 43,1000,BRUXELLES,"50,8540333","4,3619845","50,8540333, 4,3619845",10490,Marie-Haps,Rue d'Arlon 5,1040,ETTERBEEK,Bruxelles-Capitale,"50,8384871","4,3718937","50,8384871, 4,3718937",Brussels,21009A501
291,Université,5223,Université libre de Bruxelles,ULB,"http://www,ulb,be",Avenue Franklin Roosevelt 50,1050,IXELLES,"50,8119483","4,3826169","50,8119483, 4,3826169",8725,Campus Solbosch,Avenue Franklin Roosevelt 50,1050,IXELLES,Bruxelles-Capitale,"50,8119483","4,3826169","50,8119483, 4,3826169",Brussels,21004C61-
292,Université,5223,Université libre de Bruxelles,ULB,"http://www,ulb,be",Avenue Franklin Roosevelt 50,1050,IXELLES,"50,8119483","4,3826169","50,8119483, 4,3826169",10502,Campus ULB-Charleroi-Ville-Haute,Boulevard Solvay 31,6000,CHARLEROI,Charleroi,"50,4156261","4,4456063","50,4156261, 4,4456063",Hors Brussels,
293,Université,5224,Université catholique de Louvain,UCLouvain,"http://www,uclouvain,be",Place de l'Université 1,1348,LOUVAIN-LA-NEUVE,"50,6697997","4,6156285","50,6697997, 4,6156285",9018,Campus Bruxelles Woluwe,Avenue Emmanuel Mounier 50,1200,WOLUWE SAINT-LAMBERT,Bruxelles-Capitale,"50,8513627","4,4545065","50,8513627, 4,4545065",Brussels,21018A87-
294,Université,5225,Université de Liège,ULiège,"http://www,uliege,be",Place du Vingt Août 7,4000,LIEGE,"50,64036","5,57544","50,64036, 5,57544",8727,Campus Centre-ville,Place du Vingt Août 20,4000,LIEGE,Liège,"50,6405785","5,5749887","50,6405785, 5,5749887",Hors Brussels,
295,Université,5231,Université de Mons,UMONS,"http://www,umons,ac,be",Place du Parc 20,7000,MONS,"50,4586645","3,9521552","50,4586645, 3,9521552",8733,Mons,Place du Parc 20,7000,MONS,Mons,"50,4586454","3,9521766","50,4586454, 3,9521766",Hors Brussels,
296,École supérieure des Arts,5384,École supérieure des Arts du Cirque,ESAC,"http://esac,be/fr/",Avenue Emile Gryzon 1,1070,ANDERLECHT,"50,8150669","4,2975849","50,8150669, 4,2975849",8945,Campus CERIA,Avenue Emile Gryson 1 Campus d,1070,ANDERLECHT,Bruxelles-Capitale,"50,8154517","4,294899","50,8154517, 4,294899",Brussels,21001A3MJ
297,École supérieure des Arts,5409,Académie royale des Beaux-Arts de la Ville de Bruxelles - École supérieure des Arts,ARBA Bxl,"http://www,arba-esa,be",Rue du Midi 144,1000,BRUXELLES,"50,843661","4,347247","50,843661, 4,347247",9064,ARBA,Rue du Midi 144,1000,BRUXELLES,Bruxelles-Capitale,"50,843661","4,347247","50,843661, 4,347247",Brussels,21004A02-
298,Haute École,5759,Haute École de la Province de Liège,HEPL,"http://www,provincedeliege,be/hauteecole",Avenue Montesquieu 6,4101,JEMEPPE-SUR-MEUSE,"50,6186339","5,5152977","50,6186339, 5,5152977",9245,Campus Delchambre,Avenue Delchambre 13,4500,HUY,Huy,"50,5224669","5,2416847","50,5224669, 5,2416847",Hors Brussels,
299,Haute École,5759,Haute École de la Province de Liège,HEPL,"http://www,provincedeliege,be/hauteecole",Avenue Montesquieu 6,4101,JEMEPPE-SUR-MEUSE,"50,6186339","5,5152977","50,6186339, 5,5152977",9249,Campus d'Avroy,Boulevard d'Avroy 61,4000,LIEGE,Liège,"50,6367768","5,5685315","50,6367768, 5,5685315",Hors Brussels,
300,Haute École,5759,Haute École de la Province de Liège,HEPL,"http://www,provincedeliege,be/hauteecole",Avenue Montesquieu 6,4101,JEMEPPE-SUR-MEUSE,"50,6186339","5,5152977","50,6186339, 5,5152977",9253,Campus Gloesener,Quai Gloesener 6,4020,LIEGE,Liège,"50,6199036","5,581339","50,6199036, 5,581339",Hors Brussels,
301,Haute École,5759,Haute École de la Province de Liège,HEPL,"http://www,provincedeliege,be/hauteecole",Avenue Montesquieu 6,4101,JEMEPPE-SUR-MEUSE,"50,6186339","5,5152977","50,6186339, 5,5152977",9254,Campus Laines,Rue aux Laines 69,4800,VERVIERS,Verviers,"50,5891383","5,8550203","50,5891383, 5,8550203",Hors Brussels,
302,École supérieure des Arts,9381,École supérieure des Arts - École de Recherche graphique,ERG,,Rue d'Irlande 57,1060,SAINT-GILLES,"50,8259156","4,3520958","50,8259156, 4,3520958",724,Page,Rue du Page 87,1050,IXELLES,Bruxelles-Capitale,"50,8220823","4,3570922","50,8220823, 4,3570922",Brussels,21009A44-
303,Haute École,21008,Haute École Francisco Ferrer,HEFF,"http://www,he-ferrer,eu",Rue de la Fontaine 4,1000,BRUXELLES,"50,8405936","4,3423287","50,8405936, 4,3423287",259,Site Anneessens,Place Anneessens 11,1000,BRUXELLES,Bruxelles-Capitale,"50,8441314","4,3437385","50,8441314, 4,3437385",Brussels,21004A21-
304,Haute École,22004,Haute École Léonard de Vinci,HE Vinci,"http://www,vinci,be",Place de l'Alma 2,1200,WOLUWE-SAINT-LAMBERT,"50,849913","4,4537721","50,849913, 4,4537721",947,Paul Lambin,Clos Chapelle-aux-Champs 43,1200,WOLUWE SAINT-LAMBERT,Bruxelles-Capitale,"50,8494346","4,45096","50,8494346, 4,45096",Brussels,21018A87-
305,Haute École,22004,Haute École Léonard de Vinci,HE Vinci,"http://www,vinci,be",Place de l'Alma 2,1200,WOLUWE-SAINT-LAMBERT,"50,849913","4,4537721","50,849913, 4,4537721",956,Parnasse-ISEI (Parnasse),Avenue Emmanuel Mounier 84,1200,WOLUWE SAINT-LAMBERT,Bruxelles-Capitale,"50,8509673","4,4565711","50,8509673, 4,4565711",Brussels,21018A87-
306,Haute École,22004,Haute École Léonard de Vinci,HE Vinci,"http://www,vinci,be",Place de l'Alma 2,1200,WOLUWE-SAINT-LAMBERT,"50,849913","4,4537721","50,849913, 4,4537721",9120,Parnasse-ISEI (ISEI),Clos Chapelle-aux-Champs 41,1200,WOLUWE SAINT-LAMBERT,Bruxelles-Capitale,"50,8497574","4,4511179","50,8497574, 4,4511179",Brussels,21018A87-
307,Haute École,22005,Haute École Ephec,EPHEC,"http://www,ephec,be",Avenue Konrad Adenauer 3,1200,WOLUWE-SAINT-LAMBERT,"50,8501243","4,4487108","50,8501243, 4,4487108",9117,Implantation de Louvain-la-Neuve,Avenue du Ciseau 15,1348,LOUVAIN-LA-NEUVE,Nivelles,"50,6652318","4,612351","50,6652318, 4,612351",Hors Brussels,
308,Haute École,55010,Haute École en Hainaut,HEH,"http://www,heh,be",Rue Pierre-Joseph Duménil 4,7000,MONS,"50,4598267","3,9559358","50,4598267, 3,9559358",2389,Campus Technique,Avenue Victor Maistriau 8 A,7000,MONS,Mons,"50,462121","3,957503","50,462121, 3,957503",Hors Brussels,
309,Haute École,55010,Haute École en Hainaut,HEH,"http://www,heh,be",Rue Pierre-Joseph Duménil 4,7000,MONS,"50,4598267","3,9559358","50,4598267, 3,9559358",10513,Campus Social Tournai,Rue des Carmes 19B,7500,TOURNAI,Tournai-Mouscron,"50,6080857","3,3829769","50,6080857, 3,3829769",Hors Brussels,
310,Haute École,65017,Haute École Charlemagne,HECh,"http://www,hech,be",Rue des Rivageois 6,4000,LIEGE,"50,6234794","5,5746307","50,6234794, 5,5746307",9216,Charlemagne CHU,Avenue de l'Hôpital 1,4000,LIEGE,Liège,"50,5720259","5,5646806","50,5720259, 5,5646806",Hors Brussels,
311,Haute École,65017,Haute École Charlemagne,HECh,"http://www,hech,be",Rue des Rivageois 6,4000,LIEGE,"50,6234794","5,5746307","50,6234794, 5,5746307",9220,Charlemagne Sart Tilman,Allée du Six Août 17,4000,LIEGE,Liège,"50,5840171","5,5666536","50,5840171, 5,5666536",Hors Brussels,
312,Haute École,85025,Haute École Robert Schuman,HERS,"http://www,hers,be",Rue Fontaine aux Mûres 13B,6800,LIBRAMONT,"49,9147294","5,3885617","49,9147294, 5,3885617",10493,Campus Printemps,Rue Fontaine aux Mûres 13B,6800,LIBRAMONT,Neufchâteau,"49,9154237","5,3880628","49,9154237, 5,3880628",Hors Brussels,
313,Haute École,94030,Haute École de la Province de Namur,HEPN,"http://www,hepn,be",Rue Henri Blès 192,5000,NAMUR,"50,4652396","4,8378518","50,4652396, 4,8378518",8861,Campus Provincial,Rue Henri Blès 188-190,5000,NAMUR,Namur,"50,4653669","4,8394543","50,4653669, 4,8394543",Hors Brussels,
314,Haute École,95064,Haute École provinciale de Hainaut - Condorcet,HEPHC,"http://www,condorcet,be",Chemin du Champ de Mars 17,7000,MONS,"50,46385","3,9527548","50,46385, 3,9527548",1781,Site de Marcinelle,Rue de la Bruyère 151,6001,MARCINELLE,Charleroi,"50,3761704","4,4292567","50,3761704, 4,4292567",Hors Brussels,
315,Haute École,95064,Haute École provinciale de Hainaut - Condorcet,HEPHC,"http://www,condorcet,be",Chemin du Champ de Mars 17,7000,MONS,"50,46385","3,9527548","50,46385, 3,9527548",9202,Site de Morlanwelz,Rue de l'Enseignement 14,7140,MORLANWELZ-MARIEMONT,La Louvière,"50,4601594","4,2498082","50,4601594, 4,2498082",Hors Brussels,
316,Haute École,95080,Haute École Louvain en Hainaut,HELHa,"http://www,helha,be",Chaussée de Binche 159,7000,MONS,"50,4514961","3,9822455","50,4514961, 3,9822455",2392,HELHa Mons,Chaussée de Binche 159,7000,MONS,Mons,"50,4510382","3,9838893","50,4510382, 3,9838893",Hors Brussels,
317,Haute École,95080,Haute École Louvain en Hainaut,HELHa,"http://www,helha,be",Chaussée de Binche 159,7000,MONS,"50,4514961","3,9822455","50,4514961, 3,9822455",3381,HELHa Tournai-Paramédicale,Quai des Salines 28,7500,TOURNAI,Tournai-Mouscron,"50,6116091","3,3847419","50,6116091, 3,3847419",Hors Brussels,
318,Haute École,95080,Haute École Louvain en Hainaut,HELHa,"http://www,helha,be",Chaussée de Binche 159,7000,MONS,"50,4514961","3,9822455","50,4514961, 3,9822455",9168,HELHa Leuze-en-Hainaut,Tour Saint-Pierre 9,7900,LEUZE-EN-HAINAUT,Tournai-Mouscron,"50,6003562","3,6226875","50,6003562, 3,6226875",Hors Brussels,
319,Haute École,95080,Haute École Louvain en Hainaut,HELHa,"http://www,helha,be",Chaussée de Binche 159,7000,MONS,"50,4514961","3,9822455","50,4514961, 3,9822455",9170,HELHa Tournai-Technique,Rue Frinoise 12,7500,TOURNAI,Tournai-Mouscron,"50,6107093","3,3800865","50,6107093, 3,3800865",Hors Brussels,
320,Haute École,95080,Haute École Louvain en Hainaut,HELHa,"http://www,helha,be",Chaussée de Binche 159,7000,MONS,"50,4514961","3,9822455","50,4514961, 3,9822455",9176,HELHa Gilly,Rue de l'Hôpital 27,6060,GILLY,Charleroi,"50,419282","4,480505","50,419282, 4,480505",Hors Brussels,
321,Haute École,95493,Haute École Bruxelles-Brabant,HE2B,"http://he2b,be/",Chaussée de Waterloo 749,1180,UCCLE,"50,8139186","4,3676411","50,8139186, 4,3676411",9113,ISES,Chaussée d'Alsemberg 1091,1180,UCCLE,Bruxelles-Capitale,"50,7892663","4,3310121","50,7892663, 4,3310121",Hors Brussels,21016A71-
322,Haute École,95493,Haute École Bruxelles-Brabant,HE2B,"http://he2b,be/",Chaussée de Waterloo 749,1180,UCCLE,"50,8139186","4,3676411","50,8139186, 4,3676411",10150,Campus Erasme,Route de Lennik 808 Bât P,1070,ANDERLECHT,Bruxelles-Capitale,"50,8147887","4,2669225","50,8147887, 4,2669225",Brussels,21001C522
