,Libellé de l'unité ,N°FASE de l'établissement référent,Nom de l'établissement référent,Nom court de l'établissement référent,URL du site web,Adresse de l'établissement,Code postal de l'établissement,Localité de l'établissement,Latitude de l'établissement,Longitude de l'établissement,geoloc_etablissement,N°FASE du campus,Nom du campus,Adresse du campus,Code postal du campus,Localité du campus,Arrondissement du campus,Latitude du campus,Longitude du campus,geoloc_campus,Bxl / hors Bxl,sector_stat
207,Promotion sociale supérieur,3133,Institut d'enseignement de promotion sociale de la Communauté française,"I,E,P,S,C,F,","http://www,coursdusoirphil,be",Avenue de Samart 2B Bte 2,5600,PHILIPPEVILLE,"50,1933422","4,5447316","50,1933422, 4,5447316",6227,,Avenue de Samart 2,5600,PHILIPPEVILLE,Philippeville,,,,Hors Brussels,
208,Promotion sociale supérieur,3147,Institut libre de formation permanente,"Inst, form, permanente","http://www,ilfop,be",Avenue Cardinal Mercier 49,5000,NAMUR,"50,4656624","4,8637515","50,4656624, 4,8637515",4813,,Rue de Crehen 1,4280,HANNUT,Waremme,"50,6688715","5,0721753","50,6688715, 5,0721753",Hors Brussels,
209,Université,5223,Université libre de Bruxelles,ULB,"http://www,ulb,be",Avenue Franklin Roosevelt 50,1050,IXELLES,"50,8119483","4,3826169","50,8119483, 4,3826169",9032,Campus de la Plaine,Boulevard du Triomphe 2 Bte 260,1050,IXELLES,Bruxelles-Capitale,"50,8248668","4,3960633","50,8248668, 4,3960633",Brussels,21009A2MJ
210,Université,5223,Université libre de Bruxelles,ULB,"http://www,ulb,be",Avenue Franklin Roosevelt 50,1050,IXELLES,"50,8119483","4,3826169","50,8119483, 4,3826169",10500,Campus ULB-Uccle,Rue Joseph Hazard 34,1180,UCCLE,Bruxelles-Capitale,"50,8137828","4,3663276","50,8137828, 4,3663276",Hors Brussels,21016A81-
211,Université,5224,Université catholique de Louvain,UCLouvain,"http://www,uclouvain,be",Place de l'Université 1,1348,LOUVAIN-LA-NEUVE,"50,6697997","4,6156285","50,6697997, 4,6156285",10504,Campus Bruxelles Saint-Gilles,Rue Henri Wafelaerts 47,1060,SAINT-GILLES,Bruxelles-Capitale,"50,8214927","4,349956","50,8214927, 4,349956",Hors Brussels,21013A04-
212,Université,5225,Université de Liège,ULiège,"http://www,uliege,be",Place du Vingt Août 7,4000,LIEGE,"50,64036","5,57544","50,64036, 5,57544",8729,Campus Gembloux,Passage des Déportés 2,5030,GEMBLOUX,Namur,"50,5614718","4,6964476","50,5614718, 4,6964476",Hors Brussels,
213,Haute École,5759,Haute École de la Province de Liège,HEPL,"http://www,provincedeliege,be/hauteecole",Avenue Montesquieu 6,4101,JEMEPPE-SUR-MEUSE,"50,6186339","5,5152977","50,6186339, 5,5152977",9247,Campus Barbou,Quai du Barbou 2,4020,LIEGE,Liège,"50,6455598","5,5935434","50,6455598, 5,5935434",Hors Brussels,
214,Haute École,5964,Haute École Libre Mosane,HELMo,"http://www,helmo,be",Mont Saint-Martin 41,4000,LIEGE,"50,6445277","5,565953","50,6445277, 5,565953",9227,HELMo ESAS,Rue d'Harscamp 60C,4020,LIEGE,Liège,"50,6333701","5,5802769","50,6333701, 5,5802769",Hors Brussels,
215,Haute École,5964,Haute École Libre Mosane,HELMo,"http://www,helmo,be",Mont Saint-Martin 41,4000,LIEGE,"50,6445277","5,565953","50,6445277, 5,565953",9232,HELMo CFEL,Rue Fosse aux Raines 42,4020,LIEGE,Liège,"50,640367","5,5847316","50,640367, 5,5847316",Hors Brussels,
216,Haute École,5964,Haute École Libre Mosane,HELMo,"http://www,helmo,be",Mont Saint-Martin 41,4000,LIEGE,"50,6445277","5,565953","50,6445277, 5,565953",9233,HELMo Sainte-Croix,Rue Hors-Château 61,4000,LIEGE,Liège,"50,6479285","5,5812748","50,6479285, 5,5812748",Hors Brussels,
217,Haute École,5964,Haute École Libre Mosane,HELMo,"http://www,helmo,be",Mont Saint-Martin 41,4000,LIEGE,"50,6445277","5,565953","50,6445277, 5,565953",9729,HELMo Mode,Rue Natalis 2,4020,LIEGE,Liège,"50,6328361","5,5829932","50,6328361, 5,5829932",Hors Brussels,
218,Haute École,21008,Haute École Francisco Ferrer,HEFF,"http://www,he-ferrer,eu",Rue de la Fontaine 4,1000,BRUXELLES,"50,8405936","4,3423287","50,8405936, 4,3423287",224,Site Palais du Midi,Rue de la Fontaine 4,1000,BRUXELLES,Bruxelles-Capitale,"50,8405936","4,3423287","50,8405936, 4,3423287",Brussels,21004A03-
219,Haute École,22003,Haute École Galilée,HEG,"http://www,galilee,be",Rue Royale 336,1030,SCHAERBEEK,"50,8582322","4,3680852","50,8582322, 4,3680852",304,Ihecs,Rue de l'Etuve 58-60,1000,BRUXELLES,Bruxelles-Capitale,"50,8448706","4,3497323","50,8448706, 4,3497323",Brussels,21004A01-
220,Haute École,22004,Haute École Léonard de Vinci,HE Vinci,"http://www,vinci,be",Place de l'Alma 2,1200,WOLUWE-SAINT-LAMBERT,"50,849913","4,4537721","50,849913, 4,4537721",9126,ENCBW,Voie Cardijn 10,1348,LOUVAIN-LA-NEUVE,Nivelles,"50,670725","4,6093363","50,670725, 4,6093363",Hors Brussels,
221,Haute École,22005,Haute École Ephec,EPHEC,"http://www,ephec,be",Avenue Konrad Adenauer 3,1200,WOLUWE-SAINT-LAMBERT,"50,8501243","4,4487108","50,8501243, 4,4487108",9118,Implantation de Schaerbeek,Boulevard Lambermont 17,1030,SCHAERBEEK,Bruxelles-Capitale,"50,8738865","4,3756332","50,8738865, 4,3756332",Brussels,21015A13-
222,Haute École,22006,Haute Ecole ICHEC - ECAM - ISFSC,HE ICHEC - ECAM - ISFSC,"http://www,he-ichec-isfsc,be",Boulevard Brand Whitlock 6,1150,WOLUWE-SAINT-PIERRE,"50,8384717","4,4085494","50,8384717, 4,4085494",807,Poste,Rue de la Poste 111,1030,SCHAERBEEK,Bruxelles-Capitale,"50,8594593","4,3677356","50,8594593, 4,3677356",Brussels,21015A421
223,Haute École,22006,Haute Ecole ICHEC - ECAM - ISFSC,HE ICHEC - ECAM - ISFSC,"http://www,he-ichec-isfsc,be",Boulevard Brand Whitlock 6,1150,WOLUWE-SAINT-PIERRE,"50,8384717","4,4085494","50,8384717, 4,4085494",988,Montgomery,Boulevard Brand Whitlock 6,1150,WOLUWE SAINT-PIERRE,Bruxelles-Capitale,"50,8384717","4,4085494","50,8384717, 4,4085494",Brussels,21019A52-
