Code;Territoire;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104
21001A552;TREFLE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,04;2,04;2,04;2,04;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;1,825;2,04;2,04;2,04;2,04;2,04;2,04;2,04;2,04;2,04;2,04;2,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A84-;POESIE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,941428571;0,941428571;0,941428571;0,941428571;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,636607143;0,941428571;0,941428571;0,941428571;0,941428571;0,941428571;0,941428571;0,941428571;0,941428571;0,941428571;0,941428571;0,941428571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A34-;ROUE - CITE JARDIN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,52;2,52;2,52;2,52;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;2,52;2,52;2,52;2,52;2,52;2,52;2,52;2,52;2,52;2,52;2,52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A350;CERIA - ZONE D'HABITAT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,106766917;1,106766917;1,106766917;1,106766917;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;0,808270677;1,106766917;1,106766917;1,106766917;1,106766917;1,106766917;1,106766917;1,106766917;1,106766917;1,106766917;1,106766917;1,106766917;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A441;DOCTEUR ROUX;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,04;1,04;1,04;1,04;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,325;1,04;1,04;1,04;1,04;1,04;1,04;1,04;1,04;1,04;1,04;1,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001C512;CHANTS D'OISEAUX;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,412972973;1,412972973;1,412972973;1,412972973;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;0,491891892;1,412972973;1,412972973;1,412972973;1,412972973;1,412972973;1,412972973;1,412972973;1,412972973;1,412972973;1,412972973;1,412972973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001C71-;BON AIR - CITE JARDIN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,274626866;2,274626866;2,274626866;2,274626866;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;1,028358209;2,274626866;2,274626866;2,274626866;2,274626866;2,274626866;2,274626866;2,274626866;2,274626866;2,274626866;2,274626866;2,274626866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A82-;MOORTEBEEK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,659215686;2,659215686;2,659215686;2,659215686;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;1,362990196;2,659215686;2,659215686;2,659215686;2,659215686;2,659215686;2,659215686;2,659215686;2,659215686;2,659215686;2,659215686;2,659215686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001C611;SOETKIN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,158604651;0,158604651;0,158604651;0,158604651;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,188372093;0,158604651;0,158604651;0,158604651;0,158604651;0,158604651;0,158604651;0,158604651;0,158604651;0,158604651;0,158604651;0,158604651;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001C581;CIMETIERE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001C522;HOPITAL U.L.B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0,048701299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A451;VENIZELOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,334096386;1,334096386;1,334096386;1,334096386;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;0,766189759;1,334096386;1,334096386;1,334096386;1,334096386;1,334096386;1,334096386;1,334096386;1,334096386;1,334096386;1,334096386;1,334096386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A30-;BIZET;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,64;1,64;1,64;1,64;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;2,475;1,64;1,64;1,64;1,64;1,64;1,64;1,64;1,64;1,64;1,64;1,64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A80-;SILLON;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,32;2,32;2,32;2,32;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;1,975;2,32;2,32;2,32;2,32;2,32;2,32;2,32;2,32;2,32;2,32;2,32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A81-;BROECK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,733410405;1,733410405;1,733410405;1,733410405;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,166618497;1,733410405;1,733410405;1,733410405;1,733410405;1,733410405;1,733410405;1,733410405;1,733410405;1,733410405;1,733410405;1,733410405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001C79-;BON AIR - HABITATIONS DISP.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
