Code;Territoire;Commune;#hommes colloc dans commune;% de hommes de la commune dans secteur stat;#hommes colloc dans secteur stat
21013A201;ANGLETERRE (RUE D');Saint-Gilles;1917;0,050394513;96,60628048
21013A252;DANEMARK (RUE DE);Saint-Gilles;1917;0,042781809;82,01272749
21013A23-;ROI (AVENUE DU);Saint-Gilles;1917;0,029975021;57,4621149
21013A02-;CAPOUILLET (RUE);Saint-Gilles;1917;0,059989691;115,0002379
21013A2MJ;GARE DU MIDI;Saint-Gilles;1917;0,000634392;1,216129416
21013A612;JAMAR;Saint-Gilles;1917;0,011141509;21,35827287
21013A22-;REGIES;Saint-Gilles;1917;0,078823203;151,1040799
21013A211;FONTAINAS;Saint-Gilles;1917;0,044922882;86,11716427
21013A052;FAIDER (RUE);Saint-Gilles;1917;0,026485865;50,77340312
21013A151;METAL (RUE DU);Saint-Gilles;1917;0,038658261;74,10788629
21013A522;RUE D'ECOSSE;Saint-Gilles;1917;0,038103168;73,04377305
21013A40-;BARRIERE;Saint-Gilles;1917;0,043059355;82,54478411
21013A41-;VILLAS (AVENUE DES);Saint-Gilles;1917;0,05213909;99,95063637
21013A031;AMAZONE (RUE DE);Saint-Gilles;1917;0,025811823;49,48126561
21013A00-;HOTEL DE VILLE;Saint-Gilles;1917;0,067919591;130,2018556
21013A51-;TOISON D'OR (AVENUE);Saint-Gilles;1917;0,035327703;67,72320685
21014A00-;PLACE SAINT-JOSSE;Saint-Josse-ten-Noode;1181;0,121577141;143,5826038
21014A02-;CHARITE;Saint-Josse-ten-Noode;1181;0,065130611;76,91925205
21014A14-;PRAIRIE;Saint-Josse-ten-Noode;1181;0,050703831;59,88122418
21014A2MJ;NORD;Saint-Josse-ten-Noode;1181;0,000140066;0,165417746
21014A41-;BOSSUET;Saint-Josse-ten-Noode;1181;0,147349254;174,0194692
21014A10-;SAINT-FRANCOIS;Saint-Josse-ten-Noode;1181;0,094264304;111,3261433
21014A13-;ROGIER;Saint-Josse-ten-Noode;1181;0;0
21014A03-;MADOU;Saint-Josse-ten-Noode;1181;0,042229848;49,87345052
21014A12-;SAINT-LAZARE;Saint-Josse-ten-Noode;1181;0,014846978;17,53428111
21014A01-;STEURS;Saint-Josse-ten-Noode;1181;0,040408992;47,72301982
21014A04-;HAECHT (CHAUSSEE DE);Saint-Josse-ten-Noode;1181;0,119406121;141,0186288
21014A05-;HOUWAERT;Saint-Josse-ten-Noode;1181;0,278450872;328,8504797
21014A18-;JARDIN BOTANIQUE;Saint-Josse-ten-Noode;1181;0;0
21014A3MJ;MANHATTAN;Saint-Josse-ten-Noode;1181;0,020449611;24,15099097
21015A50-;OPALE;Schaerbeek;3156;0,036875442;116,3788948
21015A77-;R.T.B.;Schaerbeek;3156;0,018896595;59,63765478
21015A73-;H. EVENEPOEL (RUE);Schaerbeek;3156;0,010215596;32,24042006
21015A782;CIMETIERE DE SAINT-JOSSE;Schaerbeek;3156;0,002151444;6,789955918
21015A31-;PATRIE;Schaerbeek;3156;0,019092181;60,2549235
21015A36-;CAMBIER (AVENUE E.);Schaerbeek;3156;0,014217582;44,87068771
21015A70-;P. HYMANS (RUE);Schaerbeek;3156;0,014052086;44,34838341
21015A721;F. COURTENS (AVENUE);Schaerbeek;3156;0,006785322;21,41447636
21015A822;CH. GILISQUET - SUD (AVENUE);Schaerbeek;3156;0,003249733;10,25615719
21015A7MJ;JOSAPHAT GARE;Schaerbeek;3156;4,51352E-05;0,142446628
21015A34-;PAQUERETTES (RUE);Schaerbeek;3156;0,012066138;38,08073179
21015A63-;DESCHANEL P. (AVENUE);Schaerbeek;3156;0,011795327;37,22605203
21015A883;THEUNIS PIERRE (RUE);Schaerbeek;3156;0,00371613;11,72810568
21015A811;TERDELT;Schaerbeek;3156;0,009704064;30,62602494
21015A831;LATINIS (AVENUE G.);Schaerbeek;3156;0,026825342;84,66077903
21015A03-;JOSAPHAT (RUE);Schaerbeek;3156;0,040501301;127,8221072
21015A021;HOUFFALIZE (PLACE);Schaerbeek;3156;0,027276694;86,08524531
21015A30-;GRANDE RUE AU BOIS;Schaerbeek;3156;0,027231559;85,94279868
21015A32-;CONSOLATION (RUE DE LA);Schaerbeek;3156;0,021875517;69,0391322
21015A64-;DUPLOYE SQUARE;Schaerbeek;3156;0,023018942;72,6477801
21015A33-;BIENFAITEURS (PLACE DE);Schaerbeek;3156;0,018445244;58,2131885
21015A35-;JEAN STOBBAERTS (AVENUE);Schaerbeek;3156;0,015902628;50,18869514
21015A53-;DAILLY (PLACE);Schaerbeek;3156;0,025802278;81,43198881
21015A54-;EMERAUDE (AVENUE);Schaerbeek;3156;0,036890487;116,426377
21015A52-;LINTHOUT (RUE);Schaerbeek;3156;0,020205516;63,76860698
21015A51-;CERISIERS (AVENUE DES);Schaerbeek;3156;0,012096228;38,17569621
21015A05-;ROYALE SAINTE-MARIE (RUE);Schaerbeek;3156;0,035551477;112,2004604
21015A12-;HUART HAMOIR (AVENUE);Schaerbeek;3156;0,017843441;56,31390013
21015A152;PR. ELISABETH-NORD;Schaerbeek;3156;0,027276694;86,08524531
21015A101;GARE;Schaerbeek;3156;0,014413167;45,48795643
21015A111;MAETERLINCK;Schaerbeek;3156;0,021454255;67,70963034
21015A142;SAINTE-FAMILLE;Schaerbeek;3156;0,001564686;4,938149759
21015A622;BRUSILIA;Schaerbeek;3156;0,006905683;21,79433403
21015A71-;JARDINS;Schaerbeek;3156;0,011133344;35,13683482
21015A04-;L'OLIVIER (RUE);Schaerbeek;3156;0,037973731;119,8450961
21015A39-;JOSAPHAT (PARC);Schaerbeek;3156;7,52253E-05;0,237411046
21015A421;PALAIS (RUE DE);Schaerbeek;3156;0,015195511;47,95703131
21015A40-;BRABANT (RUE DE);Schaerbeek;3156;0,029578588;93,35002332
21015A43-;GARE DU NORD;Schaerbeek;3156;0,014638843;46,20018957
21015A44-;REINE (AVENUE);Schaerbeek;3156;0,026509396;83,66365264
21015A41-;VANDERLINDEN (RUE);Schaerbeek;3156;0,026584621;83,90106369
21015A612;BRICHAUT (RUE DE);Schaerbeek;3156;0,032933636;103,938556
21015A45-;STEPHENSON (PLACE);Schaerbeek;3156;0,012532535;39,55268028
21015A00-;COLIGNON (PLACE);Schaerbeek;3156;0,058058886;183,2338454
21015A01-;VAN YSENDYCK (RUE);Schaerbeek;3156;0,007748206;24,45333775
21015A24-;WAELHEM (RUE);Schaerbeek;3156;0,020957769;66,14271744
21015A13-;PORTAELS (RUE);Schaerbeek;3156;0,017061098;53,84482525
21015A22-;MARBOTIN A. (RUE);Schaerbeek;3156;0,026042999;82,19170415
21015A272;HOPITAL P. BRIEN;Schaerbeek;3156;0,002031083;6,410098244
21015A231;J. BLOCKX (RUE);Schaerbeek;3156;0,012336949;38,93541156
21015A20-;HELMET;Schaerbeek;3156;0,043269592;136,5588337
21015A21-;GUIDO GEZELLE (RUE);Schaerbeek;3156;0,015977854;50,42610619
21016A901;CENTRE-OUEST;Uccle;1560;0,024395941;38,05766785
21016A81-;BASCULE;Uccle;1560;0,039111365;61,01372921
21016A82-;CHURCHILL;Uccle;1560;0,059484571;92,79593055
21016A232;BEAU SEJOUR;Uccle;1560;0,018712206;29,19104098
21016A831;LONGCHAMP;Uccle;1560;0,035036724;54,65728894
21016A111;VERT CHASSEUR;Uccle;1560;0,012120111;18,90737328
21016A841;ZEECRABBE;Uccle;1560;0,005216579;8,137863019
21016A85-;BRUGMANN;Uccle;1560;0,020996081;32,75388648
21016A042;ECHEVINAGE;Uccle;1560;0,005813501;9,069061275
21016A03-;COGHEN;Uccle;1560;0,035036724;54,65728894
21016A02-;ALSEMBERG-NORD;Uccle;1560;0,047909475;74,73878176
21016A922;WOLVENBERG;Uccle;1560;0,014014689;21,86291557
21016A912;GLOBE-OUEST;Uccle;1560;0,013132283;20,48636163
21016A933;VOSSEGAT-OUEST;Uccle;1560;0,034284083;53,4831694
21016A731;ROETAERT;Uccle;1560;0,00638447;9,959772651
