SectorStatID,Quartier,Places Mat ss
21004A21-,Anneessens,391.0
21004A13-,Sablon,0.0
21004E70-,Vieux Laeken Est,326.0
21004E74-,Vieux Laeken Ouest,416.0
21004E201,Mutsaard,216.0
21004E83-,Heysel,220.0
21004E130,Houba,187.0
21004E73-,Vieux Laeken Est,235.0
21004E72-,Vieux Laeken Est,341.0
21004D64-,Quartier Nord,46.0
21004E112,Vieux Laeken Est,26.0
21004D62-,Quartier Nord,140.0
21004E211,Mutsaard,45.0
21004D631,Quartier Maritime,11.0
21004E12-,Houba,226.0
21004D6NJ,Quartier Maritime,11.0
21004A822,Béguinage - Dixmude,23.0
21004E800,Heysel,61.0
21004E233,Mutsaard,24.0
21004E101,Vieux Laeken Est,119.0
21004A811,Béguinage - Dixmude,100.0
21004D672,Quartier Nord,31.0
21004E14-,Houba,112.0
21004F522,Mutsaard,77.0
21004E82-,Heysel,200.0
21004E222,Mutsaard,89.0
21004E81-,Heysel,59.0
21004D600,Quartier Nord,41.0
21004D610,Quartier Nord,135.0
21005A10-,Chasse,116.0
21005A042,Chasse,138.0
21005A02-,Saint-Pierre,106.0
21005A33-,Chaussée de Wavre - Saint-Julien,54.0
21005A14-,Saint-Michel,337.0
21005A13-,Chasse,47.0
21005A082,Saint-Pierre,18.0
21005A01-,Saint-Pierre,122.0
21005A322,Chasse,9.0
21005A311,Chasse,62.0
21005A20-,Porte Tervueren,196.0
21005A15-,Saint-Michel,237.0
21005A031,Jourdan,18.0
21005A051,Saint-Pierre,176.0
21005A11-,Saint-Pierre,119.0
21005A00-,Jourdan,48.0
21005A12-,Chasse,197.0
21005A22-,Porte Tervueren,120.0
21005A21-,Porte Tervueren,83.0
21006A12-,Avenue Léopold III,23.0
21006A11-,Avenue Léopold III,16.0
21006A153,Conscience,49.0
21006A13-,Conscience,67.0
21006A02-,Paix,32.0
21006A03-,Paix,45.0
21006A094,Paix,16.0
21006A515,Paix,55.0
21006A24-,Paduwa,28.0
21006A403,Paduwa,98.0
21006A474,Paduwa,51.0
21006A201,Paduwa,118.0
21006A21-,Paduwa,30.0
21006A23-,Paduwa,147.0
21006A312,Avenue Léopold III,12.0
21006A101,Conscience,221.0
