Code;Territoire;Commune;#femmes colloc dans commune;% de femmes de la commune dans secteur stat;#femmes colloc dans secteur stat
21007A239;NEPTUNE (AVENUE) I;Forest;1069;0,060101376;64,24837075
21007A05-;NEERSTALLE;Forest;1069;0,016275301;17,39829661
21007A082;BEMPT;Forest;1069;0,001172373;1,253267129
21007A01-;CURE D'ARS;Forest;1069;0,02175787;23,25916348
21007A132;DENAYER (RUE);Forest;1069;0,002655081;2,838281439
21007A52-;VAN VOLXEM - PETITE INDUSTRIE;Forest;1069;0,020240681;21,63728837
21007A40-;PONT DE LUTTRE;Forest;1069;0,033481604;35,79183476
21007A02-;STUART MERRIL;Forest;1069;0,010344471;11,05823937
21007A12-;HAVESKERCKE;Forest;1069;0,004448122;4,75504293
21007A60-;SAINT-ANTOINE;Forest;1069;0,075307748;80,50398262
21007A73-;BERCKENDAEL (RUE);Forest;1069;0,039653805;42,38991759
21007A72-;MOLIERE;Forest;1069;0,081548912;87,17578704
21007A71-;CHAUSSEE D'ALSEMBERG;Forest;1069;0,024688804;26,3923313
21007A79-;PARC DUDEN;Forest;1069;0,000172408;0,18430399
21008A31-;TOUSSAINT;Ganshoren;281;0,018776452;5,276183147
21008A30-;LE HOME;Ganshoren;281;0,051096576;14,35813775
21008A00-;CENTRE;Ganshoren;281;0,043555214;12,23901501
21008A38-;PARC DE RIVIEREN;Ganshoren;281;0;0
21008A27-;NESTOR MARTIN;Ganshoren;281;0;0
21008A220;VILLAS DE GANSHOREN (OUEST);Ganshoren;281;0,129742209;36,4575606
21008A02-;SIPPELBERG;Ganshoren;281;0,114120816;32,06794921
21008A34-;PARC ALBERT;Ganshoren;281;0,021931512;6,162754906
21008A35-;CHARTE;Ganshoren;281;0,013466718;3,784147749
21008A240;REFORME;Ganshoren;281;0,065409773;18,38014621
21008A23-;DE MESMAEKER;Ganshoren;281;0,014005387;3,935513659
21008A20-;CHARLES-QUINT;Ganshoren;281;0,164293959;46,16660254
21008A29-;RIVIERE MOLENBEEK;Ganshoren;281;0;0
21008A01-;VAN PAGE-SUD;Ganshoren;281;0,024624856;6,919584456
21008A33-;VAN PAGE-NORD;Ganshoren;281;0,046864179;13,16883417
21008A32-;HEIDEKEN;Ganshoren;281;0,066333205;18,63963063
21008A10-;PLATEAU;Ganshoren;281;0,124586379;35,0087726
21008A19-;BASILIQUE;Ganshoren;281;0,000153905;0,043247403
21008A21-;MAIL;Ganshoren;281;0,09957676;27,98106964
21009A20-;PETITE SUISSE (PLACE DE LA);Ixelles;2085;0,035049362;73,07792003
21009A23-;ETOILE (ROND POINT DE L');Ixelles;2085;0,02695758;56,20655457
21009A623;KLAUWAERTS;Ixelles;2085;0,003606365;7,519271514
21009A90-;SAINT-PHILIPPE DE NERI;Ixelles;2085;0,017288013;36,04550782
21009A652;HOPITAUX;Ixelles;2085;0,032930623;68,66034801
21009A501;LUXEMBOURG (PLACE DE);Ixelles;2085;0,004823514;10,05702565
21009A552;PORTE DE NAMUR;Ixelles;2085;0,01555245;32,42685841
21009A542;EGLISE ANGLICANE;Ixelles;2085;0,007618447;15,88446107
21009A051;SAINT-BONIFACE;Ixelles;2085;0,014718478;30,68802687
21009A041;ARBRE BENIT;Ixelles;2085;0,027543614;57,42843619
21009A00-;CENTRE;Ixelles;2085;0,029256638;61,00009016
21009A02-;MUSEE;Ixelles;2085;0,035162061;73,31289726
21009A101;FLAGEY (PLACE);Ixelles;2085;0,021255015;44,31670649
21009A03-;ERMITAGE;Ixelles;2085;0,023711851;49,43921021
21009A13-;GACHARD;Ixelles;2085;0,016769598;34,96461254
21009A121;GENERAL DE GAULLE;Ixelles;2085;0,014583239;30,40605419
