Code,Territoire,Part des moins de 3 ans dans la population totale (%),Nombre de places en milieu d'accueil par enfant de moins de trois ans (),Population totale (Nombre d'habitants),#0-2 ans,#places en creche
21012A732,CANAL-NORD,5.18,0.00,1314,68,0
21012A811,MYRTES-NORD,5.19,0.00,848,44,0
21012A822,KORENBEEK,5.24,0.00,4733,248,0
21012A833,ELBERS,3.06,2.80,457,14,0
21012A84-,METTEWIE-BUILDINGS,4.58,0.28,2097,96,0
21012A851,CO0OR,6.18,0.00,1343,83,0
21012A882,DARING,6.46,0.00,449,29,0
21013A00-,HOTEL DE VILLE,3.50,0.00,3571,125,0
21013A01-,ESPAGNE (RUE D'),3.60,0.52,3247,117,0
21013A02-,CAPOUILLET (RUE),3.60,0.35,3198,115,0
21013A031,AMAZONE (RUE DE),3.70,0.00,1380,51,0
21013A04-,PRISON,3.83,0.00,1699,65,0
21013A052,FAIDER (RUE),3.81,0.00,1286,49,0
21013A101,PARVIS,4.90,0.00,2533,124,0
21013A102,PARVIS,4.94,0.00,405,20,0
21013A11-,PARME (RUE DE),4.00,1.80,1701,68,0
21013A121,GUILLAUME TELL-SUD,5.99,0.00,868,52,0
21013A13-,DETHY (RUE),3.04,1.03,2306,70,0
21013A151,METAL (RUE DU),3.01,1.52,1959,59,0
21013A201,ANGLETERRE (RUE D'),5.35,0.45,2338,125,0
21013A211,FONTAINAS,3.12,1.68,2343,73,0
21013A22-,REGIES,4.83,0.24,3748,181,0
21013A23-,ROI (AVENUE DU),4.74,0.18,1498,71,0
21013A242,BETHLEEM (PLACE DE),4.31,0.00,1834,79,0
21013A252,DANEMARK (RUE DE),4.67,0.60,2120,99,0
21013A2MJ,GARE DU MIDI,0.00,0.00,39,0,0
21013A40-,BARRIERE,4.27,0.24,2109,90,0
21013A41-,VILLAS (AVENUE DES),5.08,0.19,2640,134,0
21013A422,CRICKX (RUE),4.77,0.20,2958,141,0
21013A51-,TOISON D'OR (AVENUE),2.46,0.34,1788,44,0
21013A522,RUE D'ECOSSE,2.79,1.26,1861,52,0
21013A612,JAMAR,5.42,0.00,406,22,0
21013A623,FRANCE (RUE DE),0.00,0.00,53,0,0
21014A00-,PLACE SAINT-JOSSE,4.89,0.52,3375,165,0
21014A01-,STEURS,5.52,0.00,1141,63,0
21014A02-,CHARITE,3.89,0.92,1749,68,0
21014A03-,MADOU,4.65,0.66,1139,53,0
21014A04-,HAECHT (CHAUSSEE DE),3.59,0.70,3287,118,0
21014A05-,HOUWAERT,4.76,0.30,7539,359,0
21014A10-,SAINT-FRANCOIS,3.10,0.69,2615,81,0
21014A12-,SAINT-LAZARE,5.95,0.00,353,21,0
21014A13-,ROGIER,0.00,0.00,0,0,0
21014A14-,PRAIRIE,4.74,0.06,1266,60,0
21014A18-,JARDIN BOTANIQUE,0.00,0.00,1,0,0
21014A2MJ,NORD,0.00,0.00,5,0,0
21014A3MJ,MANHATTAN,5.35,0.00,523,28,0
21014A41-,BOSSUET,5.09,0.39,3985,203,0
21015A00-,COLIGNON (PLACE),5.47,0.06,7555,413,0
21015A01-,VAN YSE0YCK (RUE),5.52,0.64,1014,56,0
21015A021,HOUFFALIZE (PLACE),5.28,0.07,3615,191,0
21015A03-,JOSAPHAT (RUE),5.58,0.43,5520,308,0
21015A04-,L'OLIVIER (RUE),5.24,0.34,4996,262,0
21015A05-,ROYALE SAINTE-MARIE (RUE),5.27,0.14,4577,241,0
21015A101,GARE,6.63,0.41,1810,120,0
21015A111,MAETERLINCK,5.49,0.03,2789,153,0
21015A12-,HUART HAMOIR (AVENUE),5.11,0.31,2504,128,0
21015A13-,PORTAELS (RUE),6.30,0.21,2300,145,0
21015A142,SAINTE-FAMILLE,6.47,0.00,232,15,0
21015A152,PR. ELISABETH-NORD,6.19,0.31,3685,228,0
21015A20-,HELMET,6.00,0.28,5698,342,0
21015A21-,GUIDO GEZELLE (RUE),5.41,0.00,2237,121,0
21015A22-,MARBOTIN A. (RUE),4.54,0.00,3571,162,0
21015A231,J. BLOCKX (RUE),5.61,0.22,1586,89,0
21015A24-,WAELHEM (RUE),6.26,0.23,2845,178,0
21015A272,HOPITAL P. BRIEN,4.47,0.00,313,14,0
21015A30-,GRA0E RUE AU BOIS,4.73,0.51,3654,173,0
21015A31-,PATRIE,4.73,0.00,2476,117,0
21015A32-,CONSOLATION (RUE DE LA),4.42,0.16,2920,129,0
21015A33-,BIENFAITEURS (PLACE DE),4.75,0.26,2444,116,0
21015A34-,PAQUERETTES (RUE),5.12,0.00,1660,85,0
21015A35-,JEAN STOBBAERTS (AVENUE),4.54,1.52,2180,99,0
21015A36-,CAMBIER (AVENUE E.),5.01,0.43,1936,97,0
21015A39-,JOSAPHAT (PARC),0.00,0.00,11,0,0
21015A40-,BRABANT (RUE DE),5.25,0.12,3755,197,0
21015A41-,VA0ERLI0EN (RUE),5.74,0.22,3416,196,0
21015A421,PALAIS (RUE DE),7.20,0.00,1903,137,0
21015A43-,GARE DU NORD,6.95,0.53,1771,123,0
21015A44-,REINE (AVENUE),5.12,0.39,3634,186,0
21015A45-,STEPHENSON (PLACE),5.00,0.00,1680,84,0
21015A50-,OPALE,4.21,0.09,5064,213,0
21015A51-,CERISIERS (AVENUE DES),3.39,0.00,1712,58,0
21015A52-,LINTHOUT (RUE),3.88,0.54,2755,107,0
21015A53-,DAILLY (PLACE),4.98,1.73,3455,172,0
21015A54-,EMERAUDE (AVENUE),4.44,0.00,5062,225,0
21015A612,BRICHAUT (RUE DE),5.19,0.00,4339,225,0
21015A622,BRUSILIA,4.30,1.40,954,41,0
21015A63-,DESCHANEL P. (AVENUE),5.30,0.00,1586,84,0
21015A64-,DUPLOYE SQUARE,4.64,0.03,3059,142,0
21015A70-,P. HYMANS (RUE),4.12,0.00,1965,81,0
21015A71-,JARDINS,4.42,0.00,1516,67,0
21015A721,F. COURTENS (AVENUE),4.49,0.56,981,44,0
21015A73-,H. EVENEPOEL (RUE),5.41,0.34,1368,74,0
21015A77-,R.T.B.,3.10,1.54,2322,72,0
21015A782,CIMETIERE DE SAINT-JOSSE,5.52,0.00,290,16,0
21015A7MJ,JOSAPHAT GARE,0.00,0.00,3,0,0
21015A811,TERDELT,3.68,0.45,1332,49,0
21015A822,CH. GILISQUET - SUD (AVENUE),4.01,0.00,424,17,0
