Code;Territoire;single dad;;Faire une loi normale centrée en 43 allant de 16 à 70
21004A24-;MARCHE AU PORCS;21;;
21004F970;MARLY-NORD;0;;
21004A35-;AD. MAX (BOULEVARD);5;;
21004A83-;E. JACQMAIN (BOULEVARD)-OUEST;9;;
21004F994;TRASSERSWEG - NEDER-HEEMBEEK;0;;
21004F531;RUE DES FAINES;22;;
21004E180;DOMAINE ROYALE;0;;
21004E292;AVENUE DES CROIX DU FEU;0;;
21004G3MJ;DOBBELENBERG (RUE DE);0;;
21004F572;MARLY-SUD;0;;
21004F91-;CROIX DE GUERRE (AVENUE DES);16;;
21004F922;RUE CHATEAU BEYAERD;22;;
21004G3NJ;HAREN-SUD;0;;
21004C642;AVENUE FRANKLIN ROOSEVELT;0;;
21004C591;CAMBRE (BOIS DE LA);0;;
21004C61-;U.L.B.;0;;
21004C54-;LOUISE (AVENUE)-SUD-EST;9;;
21004C63-;NATIONS (SQUARE DES);8;;
21004B2NJ;CITE DE LA CHAUSSEE;0;;
21004B13-;TREVES (RUE DE);0;;
21004F953;RUE DU WIMPELBERG;7;;
21004F9MJ;NEDER-HEEMBEEK-NORD;4;;
21004A02-;SAINT-FRANCOIS XAVIER;9;;
21004A70-;BLAES (RUE)-SUD;45;;
21004A1MJ;COLONIES (RUE DES);0;;
21004A03-;BON SECOURS - PALAIS DU MIDI;16;;
21004A19-;PALAIS ROYAL;0;;
21004A23-;NOUVEAU MARCHE AU GRAIN;22;;
21004A10-;GARE CENTRALE;0;;
21004A01-;VIEILLE HALLE AUX BLES;0;;
21004A22-;SENNE (RUE DE LA);25;;
21004B10-;ORBAN (SQUARE);0;;
21004A72-;SAINT-THOMAS (INSTITUT);12;;
21004A71-;BLAES (RUE)-CENTRE;9;;
21004A002;BOURSE;0;;
21004A34-;MONNAIE;5;;
21004A15-;JACOBS (PLACE);0;;
21004A04-;NOTRE-DAME DE LA CHAPELLE;14;;
21004A16-;PALAIS JUSTICE-HOP. ST.-PIERRE;12;;
21004A20-;BOURSE-NORD-OUEST;23;;
21004A14-;GRAND SABLON;7;;
21004A001;GRAND-PLACE;0;;
21004A32-;CONGRES - GARE;9;;
21004A30-;SAINT-MICHEL ET GUDULE;0;;
21004C52-;LOUISE (AVENUE)-NORD-OUEST;3;;
21004A12-;REGENT (BOULEVARD DU);0;;
21004C552;LOUISE (AVENUE)-SUD;11;;
21004B112;RUE DU COMMERCE;0;;
21004A3MJ;CITE ADMINISTRATIVE ET CONGRES;0;;
21004C51-;LOUISE (AVENUE)-NORD-EST;8;;
21004A33-;LIBERTE (PLACE DE LA);18;;
21004C53-;LOUISE (AVENUE)-SUD-OUEST;0;;
21004C501;LOUISE (AVENUE)-NORD;0;;
21004A21-;ANNEESSENS (PLACE);59;;
21004A13-;PETIT SABLON;0;;
21004E70-;MARIE-CHRISTINE (RUE);44;;
21004E74-;EM. DELVA (RUE);55;;
21004E201;AVENUE JEAN DE BOLOGNE;59;;
21004E83-;STIENON (AVENUE);42;;
21004E8MJ;HEYSEL;0;;
21004E130;SACRE-COEUR;41;;
21004E73-;EM. BOCKSTAEL (BOULEVARD)-SUD;27;;
21004E72-;MAISON ROUGE (PLACE)-SUD;38;;
21004E193;N.D. DE LAEKEN;0;;
21004D64-;MASUI (PLACE)-NORD;8;;
