Code;Territoire;single dad;;Faire une loi normale centrée en 43 allant de 16 à 70
21017A393;ETANGS DE BOITSFORT;0;;
21017A382;FORESTERIE;0;;
21018A20-;GEORGES HENRI (AVENUE);20;;
21018A72-;ROGATIONS;15;;
21018A21-;DE BROQUEVILLE (AVENUE)-NORD;17;;
21018A35-;HOF TEN BERG-NORD;11;;
21018A34-;HOF TEN BERG-SUD;12;;
21018A32-;CLOS DES PEUPLIERS;0;;
21018A311;PARC SCHUMAN;22;;
21018A33-;NEERVELD;14;;
21018A22-;DE BROQUEVILLE (AVENUE)-SUD;11;;
21018A512;QUARTIER DES PEINTRES;12;;
21018A031;ABELOOS;21;;
21018A04-;BEETEPUT;15;;
21018A02-;SLEGERS (AVENUE);8;;
21018A37-;COMMUNAUTES;0;;
21018A63-;CONSTELLATIONS;11;;
21018A05-;DRIES;8;;
21018A61-;HEYDENBERG-EST;19;;
21018A62-;HEYDENBERG-OUEST;16;;
21018A24-;LAMBEAU (AVENUE);19;;
21018A09-;RASANTE;0;;
21018A30-;SAINTE-FAMILLE;7;;
21018A643;DEUX MAISONS;14;;
21018A60-;ROODEBEEK PARC;0;;
21018A19-;STRUYCKBEKEN;0;;
21018A81-;KAPELLEVELD-SUD;0;;
21018A84-;KAPELLEVELD-NORD-EST;0;;
21018A00-;TOMBERG;8;;
21018A43-;ROODEBEEK;9;;
21018A41-;EUROPE;3;;
21018A42-;VERVLOESEM;11;;
21018A01-;SAINT-LAMBERT;0;;
21018A15-;LES SOURCES;0;;
21018A14-;CHANCELLERIE;9;;
21018A13-;GROOTVELD;0;;
21018A12-;STOCKEL (CHAUSSEE DE);15;;
21018A82-;MARIE LA MISERABLE;0;;
21018A83-;KLAKKEDELLE;0;;
21018A87-;SAINT-LUC;0;;
21018A3MJ;GULLEDELLE;26;;
21019A231;KELLE;11;;
21019A242;VENELLES;9;;
21019A252;MONTGOLFIER;9;;
21019A131;KONKEL;14;;
21019A12-;ESCRIME (AVENUE DE L');0;;
21019A45-;HELICE (AVENUE DE L');0;;
21019A52-;DUC (RUE);10;;
21019A51-;COLLEGE SAINT-MICHEL;13;;
21019A04-;EGGERICX (RUE);8;;
21019A03-;CAPITAINE PIRET (AVENUE);10;;
21019A02-;CLOS DU SOLEIL;0;;
21019A052;DON BOSCO;0;;
21019A001;CENTRE;14;;
21019A34-;EUROPE (QUARTIER DE L');13;;
21019A30-;EGLANTINES (AVENUE);0;;
21019A33-;MIMOSAS (AVENUE);15;;
21019A01-;BOULEVARD DE LA WOLUWE;0;;
21019A11-;MILLE METRES (AVENUE);5;;
21019A31-;BEMEL;15;;
21019A32-;CHANT D'OISEAU;23;;
21019A09-;WOLUWE (PARC DE);0;;
21019A35-;HORIZON (AVENUE);16;;
21019A28-;ETANGS MELLAERTS;0;;
21019A20-;SAINT-PAUL;9;;
21019A14-;VAL DE SEIGNEURS;20;;
21019A10-;STOCKEL;23;;
21019A21-;MANOIR;5;;
21019A40-;SAINTE-ALIX;33;;
21019A15-;KAPELLEVELD;10;;
21019A42-;SALOME AVENUE;9;;
21019A22-;PUTDAAL;0;;
21019A441;FAISANDERIE;0;;
21019A41-;CITE JOLI-BOIS;17;;
21019A43-;CORNICHE VERTE;0;;
21019A492;BOIS;0;;
21001C5PA;MEERVELD;0;;
21001C5MA;MEYLEMEERSCH;0;;
21001C6PB;ZONE RURALE;0;;
21001C6MB;MEYLEMEERSCH-EST;0;;
