Hour;Min;position;regression;proba
8;33;513;18,90769231;0,32
8;34;514;18,34038462;0,31
8;35;515;17,77307692;0,30
8;36;516;17,20576923;0,29
8;37;517;16,63846154;0,28
8;38;518;16,07115385;0,27
8;39;519;15,50384615;0,26
8;40;520;14,93653846;0,25
8;41;521;14,36923077;0,24
8;42;522;13,80192308;0,23
8;43;523;13,23461538;0,22
8;44;524;12,66730769;0,21
8;45;525;12,1;0,20
8;46;526;11,53269231;0,19
8;47;527;10,96538462;0,18
8;48;528;10,39807692;0,17
8;49;529;9,830769231;0,16
8;50;530;9,263461538;0,15
8;51;531;8,696153846;0,14
8;52;532;8,128846154;0,14
8;53;533;7,561538462;0,13
8;54;534;6,994230769;0,12
8;55;535;6,426923077;0,11
8;56;536;5,859615385;0,10
8;57;537;5,292307692;0,09
8;58;538;4,725;0,08
8;59;539;4,157692308;0,07
9;0;540;3,590384615;0,06
9;1;541;3,548717949;0,06
9;2;542;3,507051282;0,06
9;3;543;3,465384615;0,06
9;4;544;3,423717949;0,06
9;5;545;3,382051282;0,06
9;6;546;3,340384615;0,06
9;7;547;3,298717949;0,05
9;8;548;3,257051282;0,05
9;9;549;3,215384615;0,05
9;10;550;3,173717949;0,05
9;11;551;3,132051282;0,05
9;12;552;3,090384615;0,05
9;13;553;3,048717949;0,05
9;14;554;3,007051282;0,05
9;15;555;2,965384615;0,05
9;16;556;2,923717949;0,05
9;17;557;2,882051282;0,05
9;18;558;2,840384615;0,05
9;19;559;2,798717949;0,05
9;20;560;2,757051282;0,05
9;21;561;2,715384615;0,05
9;22;562;2,673717949;0,04
9;23;563;2,632051282;0,04
9;24;564;2,590384615;0,04
9;25;565;2,548717949;0,04
9;26;566;2,507051282;0,04
9;27;567;2,465384615;0,04
9;28;568;2,423717949;0,04
9;29;569;2,382051282;0,04
9;30;570;2,340384615;0,04
9;31;571;2,298717949;0,04
9;32;572;2,257051282;0,04
9;33;573;2,215384615;0,04
9;34;574;2,173717949;0,04
9;35;575;2,132051282;0,04
9;36;576;2,090384615;0,03
9;37;577;2,048717949;0,03
9;38;578;2,007051282;0,03
9;39;579;1,965384615;0,03
9;40;580;1,923717949;0,03
9;41;581;1,882051282;0,03
9;42;582;1,840384615;0,03
9;43;583;1,798717949;0,03
9;44;584;1,757051282;0,03
9;45;585;1,715384615;0,03
9;46;586;1,673717949;0,03
9;47;587;1,632051282;0,03
9;48;588;1,590384615;0,03
9;49;589;1,548717949;0,03
9;50;590;1,507051282;0,03
9;51;591;1,465384615;0,02
9;52;592;1,423717949;0,02
9;53;593;1,382051282;0,02
9;54;594;1,340384615;0,02
9;55;595;1,298717949;0,02
9;56;596;1,257051282;0,02
9;57;597;1,215384615;0,02
9;58;598;1,173717949;0,02
9;59;599;1,132051282;0,02
10;0;600;1,090384615;0,02
10;1;601;1,083974359;0,02
10;2;602;1,077564103;0,02
10;3;603;1,071153846;0,02
10;4;604;1,06474359;0,02
10;5;605;1,058333333;0,02
10;6;606;1,051923077;0,02
10;7;607;1,045512821;0,02
10;8;608;1,039102564;0,02
10;9;609;1,032692308;0,02
10;10;610;1,026282051;0,02
10;11;611;1,019871795;0,02
10;12;612;1,013461538;0,02
10;13;613;1,007051282;0,02
10;14;614;1,000641026;0,02
10;15;615;0,994230769;0,02
10;16;616;0,987820513;0,02
10;17;617;0,981410256;0,02
10;18;618;0,975;0,02
10;19;619;0,968589744;0,02
10;20;620;0,962179487;0,02
10;21;621;0,955769231;0,02
10;22;622;0,949358974;0,02
10;23;623;0,942948718;0,02
10;24;624;0,936538462;0,02
10;25;625;0,930128205;0,02
10;26;626;0,923717949;0,02
10;27;627;0,917307692;0,02
10;28;628;0,910897436;0,02
10;29;629;0,904487179;0,02
10;30;630;0,898076923;0,01
10;31;631;0,891666667;0,01
10;32;632;0,88525641;0,01
10;33;633;0,878846154;0,01
10;34;634;0,872435897;0,01
10;35;635;0,866025641;0,01
10;36;636;0,859615385;0,01
10;37;637;0,853205128;0,01
10;38;638;0,846794872;0,01
10;39;639;0,840384615;0,01
10;40;640;0,833974359;0,01
10;41;641;0,827564103;0,01
10;42;642;0,821153846;0,01
10;43;643;0,81474359;0,01
10;44;644;0,808333333;0,01
10;45;645;0,801923077;0,01
10;46;646;0,795512821;0,01
10;47;647;0,789102564;0,01
10;48;648;0,782692308;0,01
10;49;649;0,776282051;0,01
10;50;650;0,769871795;0,01
10;51;651;0,763461538;0,01
10;52;652;0,757051282;0,01
10;53;653;0,750641026;0,01
10;54;654;0,744230769;0,01
10;55;655;0,737820513;0,01
10;56;656;0,731410256;0,01
10;57;657;0,725;0,01
10;58;658;0,718589744;0,01
10;59;659;0,712179487;0,01
11;0;660;0,705769231;0,01
11;1;661;0,741025641;0,01
11;2;662;0,776282051;0,01
11;3;663;0,811538462;0,01
11;4;664;0,846794872;0,01
11;5;665;0,882051282;0,01
11;6;666;0,917307692;0,02
11;7;667;0,952564103;0,02
11;8;668;0,987820513;0,02
11;9;669;1,023076923;0,02
11;10;670;1,058333333;0,02
11;11;671;1,093589744;0,02
11;12;672;1,128846154;0,02
11;13;673;1,164102564;0,02
11;14;674;1,199358974;0,02
11;15;675;1,234615385;0,02
11;16;676;1,269871795;0,02
11;17;677;1,305128205;0,02
11;18;678;1,340384615;0,02
11;19;679;1,375641026;0,02
11;20;680;1,410897436;0,02
11;21;681;1,446153846;0,02
11;22;682;1,481410256;0,02
11;23;683;1,516666667;0,03
11;24;684;1,551923077;0,03
11;25;685;1,587179487;0,03
11;26;686;1,622435897;0,03
11;27;687;1,657692308;0,03
11;28;688;1,692948718;0,03
11;29;689;1,728205128;0,03
11;30;690;1,763461538;0,03
11;31;691;1,798717949;0,03
11;32;692;1,833974359;0,03
11;33;693;1,869230769;0,03
11;34;694;1,904487179;0,03
11;35;695;1,93974359;0,03
11;36;696;1,975;0,03
11;37;697;2,01025641;0,03
11;38;698;2,045512821;0,03
11;39;699;2,080769231;0,03
11;40;700;2,116025641;0,04
11;41;701;2,151282051;0,04
11;42;702;2,186538462;0,04
11;43;703;2,221794872;0,04
11;44;704;2,257051282;0,04
11;45;705;2,292307692;0,04
11;46;706;2,327564103;0,04
11;47;707;2,362820513;0,04
11;48;708;2,398076923;0,04
11;49;709;2,433333333;0,04
11;50;710;2,468589744;0,04
11;51;711;2,503846154;0,04
11;52;712;2,539102564;0,04
11;53;713;2,574358974;0,04
11;54;714;2,609615385;0,04
11;55;715;2,644871795;0,04
11;56;716;2,680128205;0,04
11;57;717;2,715384615;0,05
11;58;718;2,750641026;0,05
11;59;719;2,785897436;0,05
12;0;720;2,821153846;0,05
12;1;721;2,85;0,05
12;2;722;2,878846154;0,05
12;3;723;2,907692308;0,05
12;4;724;2,936538462;0,05
12;5;725;2,965384615;0,05
12;6;726;2,994230769;0,05
12;7;727;3,023076923;0,05
12;8;728;3,051923077;0,05
12;9;729;3,080769231;0,05
12;10;730;3,109615385;0,05
12;11;731;3,138461538;0,05
12;12;732;3,167307692;0,05
12;13;733;3,196153846;0,05
12;14;734;3,225;0,05
12;15;735;3,253846154;0,05
12;16;736;3,282692308;0,05
12;17;737;3,311538462;0,06
12;18;738;3,340384615;0,06
12;19;739;3,369230769;0,06
12;20;740;3,398076923;0,06
12;21;741;3,426923077;0,06
12;22;742;3,455769231;0,06
12;23;743;3,484615385;0,06
12;24;744;3,513461538;0,06
12;25;745;3,542307692;0,06
12;26;746;3,571153846;0,06
12;27;747;3,6;0,06
12;28;748;3,628846154;0,06
12;29;749;3,657692308;0,06
12;30;750;3,686538462;0,06
12;31;751;3,715384615;0,06
12;32;752;3,744230769;0,06
12;33;753;3,773076923;0,06
12;34;754;3,801923077;0,06
12;35;755;3,830769231;0,06
12;36;756;3,859615385;0,06
12;37;757;3,888461538;0,06
12;38;758;3,917307692;0,07
12;39;759;3,946153846;0,07
12;40;760;3,975;0,07
12;41;761;4,003846154;0,07
12;42;762;4,032692308;0,07
12;43;763;4,061538462;0,07
12;44;764;4,090384615;0,07
12;45;765;4,119230769;0,07
12;46;766;4,148076923;0,07
12;47;767;4,176923077;0,07
12;48;768;4,205769231;0,07
12;49;769;4,234615385;0,07
12;50;770;4,263461538;0,07
12;51;771;4,292307692;0,07
12;52;772;4,321153846;0,07
12;53;773;4,35;0,07
12;54;774;4,378846154;0,07
12;55;775;4,407692308;0,07
12;56;776;4,436538462;0,07
12;57;777;4,465384615;0,07
12;58;778;4,494230769;0,07
12;59;779;4,523076923;0,08
13;0;780;4,551923077;0,08
13;1;781;4,484615385;0,07
13;2;782;4,417307692;0,07
13;3;783;4,35;0,07
13;4;784;4,282692308;0,07
13;5;785;4,215384615;0,07
13;6;786;4,148076923;0,07
13;7;787;4,080769231;0,07
13;8;788;4,013461538;0,07
13;9;789;3,946153846;0,07
13;10;790;3,878846154;0,06
13;11;791;3,811538462;0,06
13;12;792;3,744230769;0,06
13;13;793;3,676923077;0,06
13;14;794;3,609615385;0,06
13;15;795;3,542307692;0,06
13;16;796;3,475;0,06
13;17;797;3,407692308;0,06
13;18;798;3,340384615;0,06
13;19;799;3,273076923;0,05
13;20;800;3,205769231;0,05
13;21;801;3,138461538;0,05
13;22;802;3,071153846;0,05
13;23;803;3,003846154;0,05
13;24;804;2,936538462;0,05
13;25;805;2,869230769;0,05
13;26;806;2,801923077;0,05
13;27;807;2,734615385;0,05
13;28;808;2,667307692;0,04
13;29;809;2,6;0,04
13;30;810;2,532692308;0,04
13;31;811;2,465384615;0,04
13;32;812;2,398076923;0,04
