Hour;Min;position;regression;proba
6;21;381;0,742312033;0,01
6;22;382;0,76482459;0,01
6;23;383;0,787337147;0,01
6;24;384;0,809849705;0,01
6;25;385;0,832362262;0,01
6;26;386;0,854874819;0,01
6;27;387;0,877387376;0,01
6;28;388;0,899899934;0,01
6;29;389;0,922412491;0,02
6;30;390;0,944925048;0,02
6;31;391;0,967437605;0,02
6;32;392;0,989950162;0,02
6;33;393;1,01246272;0,02
6;34;394;1,034975277;0,02
6;35;395;1,057487834;0,02
6;36;396;1,080000391;0,02
6;37;397;1,102512949;0,02
6;38;398;1,125025506;0,02
6;39;399;1,147538063;0,02
6;40;400;1,17005062;0,02
6;41;401;1,192563178;0,02
6;42;402;1,215075735;0,02
6;43;403;1,237588292;0,02
6;44;404;1,260100849;0,02
6;45;405;1,282613407;0,02
6;46;406;1,305125964;0,02
6;47;407;1,327638521;0,02
6;48;408;1,350151078;0,02
6;49;409;1,372663635;0,02
6;50;410;1,395176193;0,02
6;51;411;1,41768875;0,02
6;52;412;1,440201307;0,02
6;53;413;1,462713864;0,02
6;54;414;1,485226422;0,02
6;55;415;1,507738979;0,03
6;56;416;1,530251536;0,03
6;57;417;1,552764093;0,03
6;58;418;1,575276651;0,03
6;59;419;1,597789208;0,03
7;0;420;1,620301765;0,03
7;1;421;1,676168877;0,03
7;2;422;1,732035989;0,03
7;3;423;1,787903102;0,03
7;4;424;1,843770214;0,03
7;5;425;1,899637326;0,03
7;6;426;1,955504438;0,03
7;7;427;2,011371551;0,03
7;8;428;2,067238663;0,03
7;9;429;2,123105775;0,04
7;10;430;2,178972887;0,04
7;11;431;2,234839999;0,04
7;12;432;2,290707112;0,04
7;13;433;2,346574224;0,04
7;14;434;2,402441336;0,04
7;15;435;2,458308448;0,04
7;16;436;2,51417556;0,04
7;17;437;2,570042673;0,04
7;18;438;2,625909785;0,04
7;19;439;2,681776897;0,04
7;20;440;2,737644009;0,05
7;21;441;2,793511122;0,05
7;22;442;2,849378234;0,05
7;23;443;2,905245346;0,05
7;24;444;2,961112458;0,05
7;25;445;3,01697957;0,05
7;26;446;3,072846683;0,05
7;27;447;3,128713795;0,05
7;28;448;3,184580907;0,05
7;29;449;3,240448019;0,05
7;30;450;3,296315131;0,05
7;31;451;3,352182244;0,06
7;32;452;3,408049356;0,06
7;33;453;3,463916468;0,06
