Hour;Min;position;regression;proba
3;0;180;0,1536;0,00
3;1;181;0,1536;0,00
3;2;182;0,1536;0,00
3;3;183;0,1536;0,00
3;4;184;0,1536;0,00
3;5;185;0,1536;0,00
3;6;186;0,1536;0,00
3;7;187;0,1536;0,00
3;8;188;0,1536;0,00
3;9;189;0,1536;0,00
3;10;190;0,1536;0,00
3;11;191;0,1536;0,00
3;12;192;0,1536;0,00
3;13;193;0,1536;0,00
3;14;194;0,1536;0,00
3;15;195;0,1536;0,00
3;16;196;0,1536;0,00
3;17;197;0,1536;0,00
3;18;198;0,1536;0,00
3;19;199;0,1536;0,00
3;20;200;0,1536;0,00
3;21;201;0,1536;0,00
3;22;202;0,1536;0,00
3;23;203;0,1536;0,00
3;24;204;0,1536;0,00
3;25;205;0,1536;0,00
3;26;206;0,1536;0,00
3;27;207;0,1536;0,00
3;28;208;0,1536;0,00
3;29;209;0,1536;0,00
3;30;210;0,1536;0,00
3;31;211;0,1536;0,00
3;32;212;0,1536;0,00
3;33;213;0,1536;0,00
3;34;214;0,1536;0,00
3;35;215;0,1536;0,00
3;36;216;0,1536;0,00
3;37;217;0,1536;0,00
3;38;218;0,1536;0,00
3;39;219;0,1536;0,00
3;40;220;0,1536;0,00
3;41;221;0,1536;0,00
3;42;222;0,1536;0,00
3;43;223;0,1536;0,00
3;44;224;0,1536;0,00
3;45;225;0,1536;0,00
3;46;226;0,1536;0,00
3;47;227;0,1536;0,00
3;48;228;0,1536;0,00
3;49;229;0,1536;0,00
3;50;230;0,1536;0,00
3;51;231;0,1536;0,00
3;52;232;0,1536;0,00
3;53;233;0,1536;0,00
3;54;234;0,1536;0,00
3;55;235;0,1536;0,00
3;56;236;0,1536;0,00
3;57;237;0,1536;0,00
3;58;238;0,1536;0,00
3;59;239;0,1536;0,00
4;0;240;0,1536;0,00
4;1;241;0,1536;0,00
4;2;242;0,1536;0,00
4;3;243;0,1536;0,00
4;4;244;0,1536;0,00
4;5;245;0,1536;0,00
4;6;246;0,1536;0,00
4;7;247;0,1536;0,00
4;8;248;0,1536;0,00
4;9;249;0,1536;0,00
4;10;250;0,1536;0,00
4;11;251;0,1536;0,00
4;12;252;0,1536;0,00
4;13;253;0,1536;0,00
4;14;254;0,1536;0,00
4;15;255;0,1536;0,00
4;16;256;0,1536;0,00
4;17;257;0,1536;0,00
4;18;258;0,1536;0,00
4;19;259;0,1536;0,00
4;20;260;0,1536;0,00
4;21;261;0,1536;0,00
4;22;262;0,1536;0,00
4;23;263;0,1536;0,00
4;24;264;0,1536;0,00
4;25;265;0,1536;0,00
4;26;266;0,1536;0,00
4;27;267;0,1536;0,00
4;28;268;0,1536;0,00
4;29;269;0,1536;0,00
4;30;270;0,1536;0,00
4;31;271;0,1536;0,00
4;32;272;0,1536;0,00
4;33;273;0,1536;0,00
4;34;274;0,1536;0,00
4;35;275;0,1536;0,00
4;36;276;0,1536;0,00
4;37;277;0,1536;0,00
4;38;278;0,1536;0,00
4;39;279;0,1536;0,00
4;40;280;0,1536;0,00
4;41;281;0,1536;0,00
4;42;282;0,1536;0,00
4;43;283;0,1536;0,00
4;44;284;0,1536;0,00
4;45;285;0,1536;0,00
4;46;286;0,1536;0,00
4;47;287;0,1536;0,00
4;48;288;0,1536;0,00
4;49;289;0,1536;0,00
4;50;290;0,1536;0,00
4;51;291;0,1536;0,00
4;52;292;0,1536;0,00
4;53;293;0,1536;0,00
4;54;294;0,1536;0,00
4;55;295;0,1536;0,00
4;56;296;0,1536;0,00
4;57;297;0,1536;0,00
4;58;298;0,1536;0,00
4;59;299;0,1536;0,00
5;0;300;0,1536;0,00
5;1;301;0,156266667;0,00
5;2;302;0,158933333;0,00
5;3;303;0,1616;0,00
5;4;304;0,164266667;0,00
5;5;305;0,166933333;0,00
5;6;306;0,1696;0,00
5;7;307;0,172266667;0,00
5;8;308;0,174933333;0,00
5;9;309;0,1776;0,00
5;10;310;0,180266667;0,00
5;11;311;0,182933333;0,00
5;12;312;0,1856;0,00
5;13;313;0,188266667;0,00
5;14;314;0,190933333;0,00
5;15;315;0,1936;0,00
5;16;316;0,196266667;0,00
5;17;317;0,198933333;0,00
5;18;318;0,2016;0,00
5;19;319;0,204266667;0,00
5;20;320;0,206933333;0,00
5;21;321;0,2096;0,00
5;22;322;0,212266667;0,00
5;23;323;0,214933333;0,00
5;24;324;0,2176;0,00
5;25;325;0,220266667;0,00
5;26;326;0,222933333;0,00
5;27;327;0,2256;0,00
5;28;328;0,228266667;0,00
