Code;Territoire;Commune;Peripherie
21005A311;CASERNE (Etterbeek);Etterbeek;No
21009A922;CASERNE (Ixelles);Ixelles;No
21003A00-;CENTRE;Berchem Sainte-Agathe;No
21006A011;CENTRE;Evere;No
21008A00-;CENTRE;Ganshoren;No
21009A00-;CENTRE;Ixelles;No
21010A00-;CENTRE;Jette;No
21012A00-;CENTRE;Molenbeek Saint-Jean;No
21019A001;CENTRE;Woluwe Saint-Pierre;No
21002A00-;CENTRE - NORD;Auderghem;No
21002A072;CENTRE COMMERCIAL;Auderghem;No
21017A000;CENTRE DE BOITSFORT;Watermael-Boitsfort;No
21017A501;CENTRE DE WATERMAEL;Watermael-Boitsfort;No
21007A00-;CENTRE SAINT-DENIS;Forest;No
21016A901;CENTRE-OUEST;Uccle;No
21002A02-;CENTRE-SUD;Auderghem;No
21001A350;CERIA - ZONE D'HABITAT;Anderlecht;No
21001A3MJ;CERIA I;Anderlecht;Périphérie
21015A51-;CERISIERS (AVENUE DES);Schaerbeek;No
21015A822;CH. GILISQUET - SUD (AVENUE);Schaerbeek;No
21006A052;CHAMP DE REPOS;Evere;No
21005A02-;CHAMP DU ROI (RUE);Etterbeek;No
21018A14-;CHANCELLERIE;Woluwe Saint-Lambert;No
21019A32-;CHANT D'OISEAU;Woluwe Saint-Pierre;No
21002A441;CHANT D'OISEAUX;Auderghem;No
21001C512;CHANTS D'OISEAUX;Anderlecht;No
21014A02-;CHARITE;Saint-Josse-ten-Noode;No
21008A20-;CHARLES-QUINT;Ganshoren;No
21007A373;CHARROI (RUE DE);Forest;No
21008A35-;CHARTE;Ganshoren;No
21007A51-;CHATAIGNE;Forest;No
21009A451;CHATELAIN (PLACE DU)-EST;Ixelles;No
21009A712;CHATELAIN (PLACE DU)-OUEST;Ixelles;No
21007A71-;CHAUSSEE D'ALSEMBERG;Forest;No
21001A31-;CHAUSSEE DE MONS - SAINT-LUC;Anderlecht;No
21016A322;CHAUSSEE DE WATERLOO-EST;Uccle;No
21016A331;CHAUSSEE DE WATERLOO-OUEST;Uccle;No
21002A39-;CHEMIN DE FER;Auderghem;No
21012A2MJ;CHEMIN DE FER;Molenbeek Saint-Jean;No
21016A82-;CHURCHILL;Uccle;No
21001C581;CIMETIERE;Anderlecht;Périphérie
21009A29-;CIMETIERE;Ixelles;No
21016A692;CIMETIERE - ST.-GILLES;Uccle;No
21006A48-;CIMETIERE BRUXELLES;Evere;Périphérie
21015A782;CIMETIERE DE SAINT-JOSSE;Schaerbeek;No
21004B49-;CINQUANTENAIRE (PARC DU);Bruxelles;No
21005A29-;CINQUANTENAIRE (PARC);Etterbeek;No
21004A3MJ;CITE ADMINISTRATIVE ET CONGRES;Bruxelles;No
21004B2NJ;CITE DE LA CHAUSSEE;Bruxelles;No
21019A41-;CITE JOLI-BOIS;Woluwe Saint-Pierre;No
21004E82-;CITE MODELE;Bruxelles;Périphérie
21003A11-;CITE MODERNE;Berchem Sainte-Agathe;No
21010A13-;CITE-JARDIN;Jette;No
21017A312;CLOS DES CHENES;Watermael-Boitsfort;No
21018A32-;CLOS DES PEUPLIERS;Woluwe Saint-Lambert;No
