Code;Territoire;Commune;Peripherie
21008A38-;PARC DE RIVIEREN;Ganshoren;No
21002A130;PARC DES PRINCES;Auderghem;No
21007A79-;PARC DUDEN;Forest;No
21011A29-;PARC ELISABETH;Koekelberg;No
21001A982;PARC FORESTIER;Anderlecht;No
21018A311;PARC SCHUMAN;Woluwe Saint-Lambert;No
21013A11-;PARME (RUE DE);Saint-Gilles;No
21013A102;PARVIS;Saint-Gilles;No
21013A101;PARVIS;Saint-Gilles;No
21004E101;PARVIS NOTRE DAME;Bruxelles;No
21004D600;PARVIS SAINT-ROCH;Bruxelles;No
21015A31-;PATRIE;Schaerbeek;No
21016A44-;PECHERIE;Uccle;No
21002A53-;PECHERIES;Auderghem;No
21017A624;PECHERIES;Watermael-Boitsfort;No
21001A83-;PETERBOS;Anderlecht;No
21004A13-;PETIT SABLON;Bruxelles;No
21001B3MJ;PETITE ILE - RIVE DROITE;Anderlecht;Périphérie
21009A20-;PETITE SUISSE (PLACE DE LA);Ixelles;No
21012A552;PFEIFFER;Molenbeek Saint-Jean;No
21005A042;PH. BAUCQ (RUE);Etterbeek;No
21012A71-;PIERS;Molenbeek Saint-Jean;No
21004F901;PLACE PETER BENOIT;Bruxelles;No
21014A00-;PLACE SAINT-JOSSE;Saint-Josse-ten-Noode;No
21008A10-;PLATEAU;Ganshoren;No
21011A20-;PLATEAU;Koekelberg;No
21001A84-;POESIE;Anderlecht;No
21007A40-;PONT DE LUTTRE;Forest;No
21007A41-;PONT DE LUTTRE-OUEST;Forest;No
21001A10-;PORSELEIN;Anderlecht;No
21015A13-;PORTAELS (RUE);Schaerbeek;No
21009A552;PORTE DE NAMUR;Ixelles;No
21005A21-;PORTE DE TERVUEREN - BRAFFORT;Etterbeek;No
21005A22-;PORTE DE TERVUEREN - L. DE LAN;Etterbeek;No
21005A20-;PORTE DE TERVUEREN - TONGRES;Etterbeek;No
21003A312;POTAARDE  VLAK;Berchem Sainte-Agathe;Périphérie
21015A152;PR. ELISABETH-NORD;Schaerbeek;No
21014A14-;PRAIRIE;Saint-Josse-ten-Noode;No
21009A44-;PREVOT;Ixelles;No
21004E12-;PRINCE LEOPOLD (SQUARE);Bruxelles;No
21017A635;PRINCES BRABANCONS;Watermael-Boitsfort;No
21013A04-;PRISON;Saint-Gilles;No
21016A225;PTOLEMEE;Uccle;No
21002A411;PUTDAAL;Auderghem;No
21019A22-;PUTDAAL;Woluwe Saint-Pierre;No
21004D672;QUAI DE WILLEBROECK;Bruxelles;No
21004D6MJ;QUAI DES USINES - MONNOYER;Bruxelles;No
21004A811;QUAI DU COMMERCE;Bruxelles;No
21006A403;QUARTIER CICERO;Evere;No
21018A512;QUARTIER DES PEINTRES;Woluwe Saint-Lambert;No
21006A272;QUARTIER GROSJEAN;Evere;No
21002A372;QUARTIER INDUSTRIE;Auderghem;No
21009A593;QUARTIER LEOPOLD;Ixelles;No
21012A041;QUATRE VENTS;Molenbeek Saint-Jean;No
21015A77-;R.T.B.;Schaerbeek;No
21012A03-;RANSFORT;Molenbeek Saint-Jean;No
21018A09-;RASANTE;Woluwe Saint-Lambert;No
21001A132;RAUTER-NORD;Anderlecht;No
21001A031;RAUTER-SUD;Anderlecht;No
21008A240;REFORME;Ganshoren;No
21004A12-;REGENT (BOULEVARD DU);Bruxelles;No
21013A22-;REGIES;Saint-Gilles;No
21015A44-;REINE (AVENUE);Schaerbeek;No
21007A552;REINE MARIE-HENRIETTE;Forest;No
21009A42-;RENIER CHALON;Ixelles;No
21001A00-;RESISTANCE;Anderlecht;No
21001B25-;REVISION-NORD;Anderlecht;No
21001B241;REVISION-SUD;Anderlecht;No
21005A051;RINSDELLE;Etterbeek;No
21008A29-;RIVIERE MOLENBEEK;Ganshoren;Périphérie
21016A731;ROETAERT;Uccle;No
21018A72-;ROGATIONS;Woluwe Saint-Lambert;No
21014A13-;ROGIER;Saint-Josse-ten-Noode;No
21013A23-;ROI (AVENUE DU);Saint-Gilles;No
21001A41-;ROMAIN ROLLAND;Anderlecht;No
21018A43-;ROODEBEEK;Woluwe Saint-Lambert;No
21018A60-;ROODEBEEK PARC;Woluwe Saint-Lambert;No
21007A201;ROOSENDAEL (RUE);Forest;No
21001B10-;ROSEE-EST;Anderlecht;No
21001B11-;ROSEE-OUEST;Anderlecht;No
21001A332;ROUE;Anderlecht;No
21001A34-;ROUE - CITE JARDIN;Anderlecht;No
21002A18-;ROUGE CLOITRE;Auderghem;Périphérie
21015A05-;ROYALE SAINTE-MARIE (RUE);Schaerbeek;No
21004F922;RUE CHATEAU BEYAERD;Bruxelles;No
21004B2WJ;RUE DE PASCAL - ST.-SACREMENT;Bruxelles;No
21004E211;RUE DE WAND;Bruxelles;Périphérie
21013A522;RUE D'ECOSSE;Saint-Gilles;No
21017A534;RUE DES BEGONIAS;Watermael-Boitsfort;No
21004E112;RUE DES CHRYSANTHEMES;Bruxelles;No
21004A822;RUE DES COMMERCANTS;Bruxelles;No
21004F531;RUE DES FAINES;Bruxelles;No
21004B112;RUE DU COMMERCE;Bruxelles;No
21004F953;RUE DU WIMPELBERG;Bruxelles;No
21004B1MJ;RUE JOSEPH II;Bruxelles;No
21002A11-;SACRE-COEUR;Auderghem;No
21004E130;SACRE-COEUR;Bruxelles;No
21010A393;SACRE-COEUR;Jette;No
21009A33-;SAINT-ADRIEN;Ixelles;No
21005A12-;SAINT-ANTOINE;Etterbeek;No
21007A60-;SAINT-ANTOINE;Forest;No
21009A051;SAINT-BONIFACE;Ixelles;No
21019A40-;SAINTE-ALIX;Woluwe Saint-Pierre;No
21002A01-;SAINTE-ANNE;Auderghem;No
21011A01-;SAINTE-ANNE;Koekelberg;No
21004G30-;SAINTE-ELISABETH;Bruxelles;No
21015A142;SAINTE-FAMILLE;Schaerbeek;No
21018A30-;SAINTE-FAMILLE;Woluwe Saint-Lambert;No
21005A01-;SAINTE-GERTRUDE;Etterbeek;No
21006A22-;SAINT-EXUPERY;Evere;No
21014A10-;SAINT-FRANCOIS;Saint-Josse-ten-Noode;No
21004A02-;SAINT-FRANCOIS XAVIER;Bruxelles;No
21009A41-;SAINT-GEORGES;Ixelles;No
21016A400;SAINT-JOB;Uccle;No
21012A05-;SAINT-JOSEPH;Molenbeek Saint-Jean;No
21002A20-;SAINT-JULIEN;Auderghem;No
21018A01-;SAINT-LAMBERT;Woluwe Saint-Lambert;No
21014A12-;SAINT-LAZARE;Saint-Josse-ten-Noode;No
21018A87-;SAINT-LUC;Woluwe Saint-Lambert;Périphérie
21005A15-;SAINT-MICHEL COLLEGE;Etterbeek;No
21004A30-;SAINT-MICHEL ET GUDULE;Bruxelles;No
21019A20-;SAINT-PAUL;Woluwe Saint-Pierre;No
21009A90-;SAINT-PHILIPPE DE NERI;Ixelles;No
21004A72-;SAINT-THOMAS (INSTITUT);Bruxelles;No
21019A42-;SALOME AVENUE;Woluwe Saint-Pierre;No
21001A51-;SCHERDEMAEL;Anderlecht;No
21001A52-;SCHERDEMAEL-NORD;Anderlecht;No
21001A712;SCHEUT - DE SMET;Anderlecht;No
21001A911;SCHEUT-EST;Anderlecht;No
21001A783;SCHEUT-INTERNAT;Anderlecht;No
21001A90-;SCHEUTKAPEL;Anderlecht;No
21001A74-;SCHEUT-OUEST;Anderlecht;No
21001A732;SCHEUTVELD;Anderlecht;No
21009A812;SCHOOLGAT;Ixelles;No
21004B2MJ;SCHUMAN (ROND-POINT);Bruxelles;No
21004A22-;SENNE (RUE DE LA);Bruxelles;No
21003A323;SEPT ETOILES;Berchem Sainte-Agathe;No
21016A943;SEPT-BONNIERS;Uccle;No
21001A80-;SILLON;Anderlecht;No
21008A02-;SIPPELBERG;Ganshoren;No
21012A53-;SIPPELBERG;Molenbeek Saint-Jean;No
21018A02-;SLEGERS (AVENUE);Woluwe Saint-Lambert;No
21001C611;SOETKIN;Anderlecht;No
21002A15-;SOUVERAIN (BLV DU)- BUILDINGS;Auderghem;No
21002A43-;SOUVERAIN (BOULEVARD DU) NORD;Auderghem;No
21017A08-;SOUVERAIN-EST;Watermael-Boitsfort;No
21017A240;SOUVERAIN-OUEST;Watermael-Boitsfort;No
21009A34-;STADE COMMUNAL;Ixelles;No
21001A472;STADE COMMUNAL - INDUSTRIE;Anderlecht;No
21017A192;STADE DES TROIS TILLEULS;Watermael-Boitsfort;No
21015A45-;STEPHENSON (PLACE);Schaerbeek;No
21014A01-;STEURS;Saint-Josse-ten-Noode;No
21012A511;STEYNS;Molenbeek Saint-Jean;No
21004E83-;STIENON (AVENUE);Bruxelles;No
21019A10-;STOCKEL;Woluwe Saint-Pierre;No
21018A12-;STOCKEL (CHAUSSEE DE);Woluwe Saint-Lambert;Périphérie
21018A19-;STRUYCKBEKEN;Woluwe Saint-Lambert;No
21007A02-;STUART MERRIL;Forest;No
21002A14-;TEN REUKEN;Auderghem;No
21015A811;TERDELT;Schaerbeek;No
21002A23-;TH. BALIS (PLACE);Auderghem;No
21015A883;THEUNIS PIERRE (RUE);Schaerbeek;No
21013A51-;TOISON D'OR (AVENUE);Saint-Gilles;No
21018A00-;TOMBERG;Woluwe Saint-Lambert;No
21004D6NJ;TOUR ET TAXIS;Bruxelles;No
21007A75-;TOURNOI (RUE DU);Forest;No
21008A31-;TOUSSAINT;Ganshoren;No
21002A10-;TRANSVAAL;Auderghem;No
21004F994;TRASSERSWEG - NEDER-HEEMBEEK;Bruxelles;No
21001A552;TREFLE;Anderlecht;No
21009A311;TREILLE (RUE DE LA);Ixelles;No
21004B13-;TREVES (RUE DE);Bruxelles;No
21002A30-;TRIOMPHE (BOULEVARD DU);Auderghem;No
21002A091;TROIS COULEURS;Auderghem;No
21004C61-;U.L.B.;Bruxelles;No
21012A672;ULENS;Molenbeek Saint-Jean;No
21009A22-;UNIVERSITE;Ixelles;No
21019A14-;VAL DE SEIGNEURS;Woluwe Saint-Pierre;No
21002A45-;VAL DUC;Auderghem;No
21002A482;VAL DUCHESSE;Auderghem;No
21004F94-;VAL MARIA;Bruxelles;Périphérie
21001A43-;VAN BEETHOVEN;Anderlecht;No
21008A33-;VAN PAGE-NORD;Ganshoren;No
21008A01-;VAN PAGE-SUD;Ganshoren;No
21007A52-;VAN VOLXEM - PETITE INDUSTRIE;Forest;No
21015A01-;VAN YSENDYCK (RUE);Schaerbeek;No
21017A512;VANDER ELST - BIEN FAIRE;Watermael-Boitsfort;No
21016A80-;VANDERKINDERE;Uccle;No
21015A41-;VANDERLINDEN (RUE);Schaerbeek;No
21011A00-;VANHUFFEL;Koekelberg;No
21001A142;VEEWEYDE-NORD;Anderlecht;No
21001A041;VEEWEYDE-SUD;Anderlecht;No
21019A242;VENELLES;Woluwe Saint-Pierre;No
21001A451;VENIZELOS;Anderlecht;No
21016A521;VERREWINKEL;Uccle;Périphérie
21016A111;VERT CHASSEUR;Uccle;No
21018A42-;VERVLOESEM;Woluwe Saint-Lambert;No
21006A001;VIEIL EVERE;Evere;No
21004A01-;VIEILLE HALLE AUX BLES;Bruxelles;No
21002A041;VIGNETTE;Auderghem;No
21007A814;VILLAS - MONT KEMMEL;Forest;No
21013A41-;VILLAS (AVENUE DES);Saint-Gilles;No
21008A220;VILLAS DE GANSHOREN (OUEST);Ganshoren;No
21017A443;VILLE-ET-FORET - ELAN;Watermael-Boitsfort;No
21001A503;VIVES;Anderlecht;No
21004C65-;VIVIER D'OIE;Bruxelles;No
21016A954;VOSSEGAT-EST;Uccle;No
21016A933;VOSSEGAT-OUEST;Uccle;No
21010A4MJ;VUB;Jette;Périphérie
21015A24-;WAELHEM (RUE);Schaerbeek;No
21001A331;WALCOURT;Anderlecht;No
21017A421;WATERMAEL - STATION;Watermael-Boitsfort;No
21002A25-;WATERMAEL (CHAUSSEE DE);Auderghem;No
21001A02-;WAYEZ;Anderlecht;No
21009A111;WERY (RUE);Ixelles;No
21007A53-;WIELEMANS CEUPPENS;Forest;No
21009A512;WIERTZ;Ixelles;No
21019A09-;WOLUWE (PARC DE);Woluwe Saint-Pierre;No
21002A492;WOLUWE PARC;Auderghem;No
21016A922;WOLVENBERG;Uccle;No
21016A193;WOLVENDAEL;Uccle;No
21003A283;ZAVELENBERG;Berchem Sainte-Agathe;No
21016A841;ZEECRABBE;Uccle;No
21006A37-;ZONE INDUSTRIELLE;Evere;Périphérie
21001C6PB;ZONE RURALE;Anderlecht;Périphérie
21017A472;ZONING DE BUREAUX-NORD;Watermael-Boitsfort;No
21017A374;ZONING DE BUREAUX-SUD;Watermael-Boitsfort;No
21001A37-;ZUEN - INDUSTRIE;Anderlecht;Périphérie
21016A772;ZWARTEBEEK;Uccle;Périphérie
