,Coord,PKUID,OBJECTID,CD_SECTOR,TX_SECTOR_DESCR_FR,CD_SUB_MUNTY,CD_MUNTY_REFNIS,TX_MUNTY_DESCR_FR,CD_DSTR_REFNIS,TX_ADM_DSTR_DESCR_FR,CD_RGN_REFNIS,TX_RGN_DESCR_FR,CD_NUTS1,CD_NUTS2,CD_NUTS3
0,"146020.3906000033,169902.21880000085 146041.46880000085,169823.1875 146062.7031000033,169734.29690000042 146125.8593999967,169522.85940000042 146123.28130000085,169519.85940000042 146093.90630000085,169527.4375 146080.1406000033,169530.98440000042 146077.0625,169529.84380000085 145981.1406000033,169493.28130000085 145961.65630000085,169473.78130000085 145960.34380000085,169472.46880000085 145947.53130000085,169470.875 145912.0156000033,169472.125 145804.5,169444.0625 145790.9375,169439.57809999958 145785.72039999813,169437.85500000045 145784.43110000342,169442.27560000122 145775.85140000284,169439.76449999958 145774.59589999914,169445.83300000057 145766.64400000125,169441.85709999874 145762.24960000068,169439.13670000061 145755.55319999903,169437.04410000145 145749.06620000303,169434.95149999857 145730.86060000211,169427.62739999965 145708.46980000287,169420.09400000051 145699.05309999734,169416.3273999989 145700.51789999753,169407.53849999979 145705.14050000161,169401.09109999985 145703.875,169401.17190000042 145665.7968999967,169392.45309999958 145665.4375,169413.95309999958 145665.375,169417.625 145646.3125,169436.6875 145629.3593999967,169453.64059999958 145625.46880000085,169457.53130000085 145609.0468999967,169483.07809999958 145605.3906000033,169530.53130000085 145654.6718999967,169574.32809999958 145695.7343999967,169609.0 145759.6093999967,169667.40630000085 145792.46880000085,169696.60940000042 145836.2656000033,169740.40630000085 145896.5,169793.34380000085 145925.7031000033,169815.23440000042 145973.15630000085,169859.04690000042 146011.25,169906.54690000042 146015.4375,169910.25 146020.3906000033,169902.21880000085",2269,1998,21001A00-,RESISTANCE,21001A0,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100
1,"146375.0156000033,170067.8125 146365.3593999967,169968.90630000085 146389.4843999967,169848.28130000085 146420.84380000085,169763.84380000085 146471.5156000033,169657.70309999958 146389.4843999967,169587.60940000042 146389.36659999937,169587.60689999908 146353.01780000329,169590.06190000102 146347.73920000345,169586.72230000049 146282.125,169585.32809999958 146183.21880000085,169573.26559999958 146167.7968999967,169560.04690000042 146128.6093999967,169520.85940000042 146126.71880000085,169518.96880000085 146123.28130000085,169519.85940000042 146125.8593999967,169522.85940000042 146062.7031000033,169734.29690000042 146041.46880000085,169823.1875 146020.3906000033,169902.21880000085 146015.4375,169910.25 146408.46880000085,170257.57809999958 146375.0156000033,170067.8125",2270,1999,21001A011,KLEINMOLEN,21001A0,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100
2,"146389.36659999937,169587.60689999908 146389.4843999967,169587.60940000042 146389.442299999,169587.57490000129 146382.54,169566.59950000048 146367.34440000355,169550.2023999989 146361.33690000325,169554.79639999941 146349.81650000066,169548.5768 146335.96379999816,169539.74219999835 146331.2520999983,169539.82479999959 146301.4375,169515.35940000042 146211.2343999967,169525.34380000085 146192.09380000085,169517.375 146175.9843999967,169486.40630000085 146141.0625,169503.01559999958 146121.9218999967,169501.42190000042 146093.875,169470.26559999958 146077.9531000033,169466.95309999958 146053.5468999967,169461.85940000042 145989.15630000085,169448.45309999958 145981.2968999967,169455.32809999958 145976.34380000085,169459.65630000085 145953.9375,169453.26559999958 145947.53130000085,169442.0625 145922.8906000033,169435.48440000042 145779.4531000033,169397.23440000042 145773.8593999967,169397.48440000042 145757.95579999685,169398.16840000078 145748.01990000159,169395.81989999861 145738.6032000035,169395.40139999986 145735.25500000268,169395.19209999964 145724.79200000316,169395.19209999964 145715.62560000271,169395.89719999954 145707.375,169400.34380000085 145706.0781000033,169401.03130000085 145705.14050000161,169401.09109999985 145700.51789999753,169407.53849999979 145699.05309999734,169416.3273999989 145708.46980000287,169420.09400000051 145730.86060000211,169427.62739999965 145749.06620000303,169434.95149999857 145755.55319999903,169437.04410000145 145762.24960000068,169439.13670000061 145766.64400000125,169441.85709999874 145774.59589999914,169445.83300000057 145775.85140000284,169439.76449999958 145784.43110000342,169442.27560000122 145785.72039999813,169437.85500000045 145790.9375,169439.57809999958 145804.5,169444.0625 145912.0156000033,169472.125 145947.53130000085,169470.875 145960.34380000085,169472.46880000085 145961.65630000085,169473.78130000085 145981.1406000033,169493.28130000085 146077.0625,169529.84380000085 146080.1406000033,169530.98440000042 146093.90630000085,169527.4375 146123.28130000085,169519.85940000042 146126.71880000085,169518.96880000085 146128.6093999967,169520.85940000042 146167.7968999967,169560.04690000042 146183.21880000085,169573.26559999958 146282.125,169585.32809999958 146347.73920000345,169586.72230000049 146353.01780000329,169590.06190000102 146389.36659999937,169587.60689999908",2271,2000,21001A02-,WAYEZ,21001A0,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100
3,"145849.1406000033,169052.01559999958 145888.46880000085,169013.53130000085 145849.0468999967,168977.53130000085 145790.6406000033,168922.78130000085 145737.71880000085,168869.84380000085 145684.78130000085,168831.51559999958 145628.2031000033,168800.5 145573.4531000033,168769.46880000085 145510.4843999967,168736.60940000042 145475.0625,168714.01559999958 145435.0156000033,168688.48440000042 145443.875,168747.5625 145453.0,168787.71880000085 145463.34380000085,168827.32809999958 145478.5468999967,168858.89059999958 145511.40630000085,168937.375 145553.375,169034.10940000042 145566.15630000085,169059.65630000085 145582.5781000033,169094.32809999958 145602.65630000085,169132.65630000085 145616.34380000085,169185.59380000085 145632.875,169268.07809999958 145849.1406000033,169052.01559999958",2272,2001,21001A031,RAUTER-SUD,21001A0,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100
4,"145327.8593999967,169178.60940000042 145331.25,169177.9375 145346.2343999967,169167.4375 145347.25,169166.73440000042 145353.0156000033,169140.79690000042 145352.71880000085,169138.01559999958 145350.7968999967,169119.89059999958 145330.71880000085,169099.8125 145387.2968999967,168988.48440000042 145442.0468999967,168871.67190000042 145463.34380000085,168827.32809999958 145453.0,168787.71880000085 145443.875,168747.5625 145435.0156000033,168688.48440000042 145388.1718999967,168658.60940000042 145316.125,168612.51559999958 145267.125,168574.375 145210.2343999967,168640.84380000085 145140.5468999967,168704.46880000085 145029.1875,168836.5 144956.2343999967,168909.4375 144987.6093999967,168926.42190000042 145053.3125,168966.57809999958 145115.3593999967,169008.54690000042 145162.8125,169039.57809999958 145241.28130000085,169090.6875 145275.21880000085,169113.90630000085 145270.9843999967,169145.57809999958 145288.65630000085,169174.54690000042 145287.7968999967,169176.20309999958 145298.03130000085,169179.64059999958 145307.2343999967,169182.73440000042 145327.8593999967,169178.60940000042",2273,2002,21001A041,VEEWEYDE-SUD,21001A0,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100
5,"145401.8906000033,169530.53130000085 145406.4531000033,169488.54690000042 145399.15630000085,169450.21880000085 145384.5625,169400.95309999958 145371.78130000085,169348.01559999958 145338.4218999967,169217.75 145332.7968999967,169198.53130000085 145327.8593999967,169178.60940000042 145307.2343999967,169182.73440000042 145298.03130000085,169179.64059999958 145287.7968999967,169176.20309999958 145270.8281000033,169208.8125 145193.4375,169348.98440000042 145151.09380000085,169404.46880000085 145103.3281000033,169449.125 145108.7031000033,169644.6875 145178.03130000085,169652.84380000085 145180.7656000033,169653.4375 145377.6718999967,169683.76559999958 145379.96880000085,169684.0625 145401.8906000033,169530.53130000085",2274,2003,21001A051,LINDE-EST,21001A0,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100
6,"146587.40559999645,170741.79960000142 146614.75609999895,170728.4990000017 146653.72119999677,170710.1404 146701.86559999734,170686.16189999878 146741.76739999652,170667.0540000014 146748.32410000265,170664.05669999868 146748.71159999818,170664.93519999832 146749.7031000033,170664.40630000085 146826.6093999967,170628.82809999958 146840.90630000085,170622.20309999958 146917.40630000085,170586.09380000085 146998.6718999967,170546.5625 146981.09380000085,170527.14059999958 146965.0,170511.5 146910.5781000033,170458.64059999958 146844.0625,170395.57809999958 146802.4375,170350.17190000042 146758.8906000033,170296.67190000042 146694.0468999967,170221.70309999958 146628.3281000033,170135.375 146582.4843999967,170053.34380000085 146464.9218999967,169830.875 146420.84380000085,169763.84380000085 146389.4843999967,169848.28130000085 146365.3593999967,169968.90630000085 146375.0156000033,170067.8125 146408.46880000085,170257.57809999958 146429.2968999967,170342.84380000085 146477.5468999967,170468.29690000042 146482.7031000033,170483.59380000085 146498.875,170531.57809999958 146574.02099999785,170748.21070000157 146587.40559999645,170741.79960000142",2275,2004,21001A07-,BIRMINGHAM,21001A0,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100
7,"145151.09380000085,169404.46880000085 145193.4375,169348.98440000042 145270.8281000033,169208.8125 145287.7968999967,169176.20309999958 145288.65630000085,169174.54690000042 145270.9843999967,169145.57809999958 145275.21880000085,169113.90630000085 145241.28130000085,169090.6875 145162.8125,169039.57809999958 145115.3593999967,169008.54690000042 145053.3125,168966.57809999958 144987.6093999967,168926.42190000042 144956.2343999967,168909.4375 144886.8281000033,168981.04690000042 144837.1875,169037.98440000042 144807.9843999967,169071.5625 144778.78130000085,169135.8125 144769.7031000033,169162.59380000085 144792.65630000085,169205.89059999958 144796.9531000033,169212.9375 144797.8906000033,169214.46880000085 144842.4375,169260.17190000042 144843.25,169261.29690000042 144859.03130000085,169277.1875 144903.8593999967,169320.40630000085 144931.4375,169340.10940000042 144937.71880000085,169344.59380000085 144948.8125,169352.23440000042 145043.78130000085,169417.60940000042 145069.34380000085,169436.57809999958 145103.3281000033,169449.125 145151.09380000085,169404.46880000085",2276,2005,21001A08-,ASTRID (PARC),21001A0,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100
8,"145500.4531000033,169660.10940000042 145507.75,169629.07809999958 145526.0,169607.1875 145549.7343999967,169554.25 145605.3906000033,169530.53130000085 145609.0468999967,169483.07809999958 145625.46880000085,169457.53130000085 145629.3593999967,169453.64059999958 145646.3125,169436.6875 145665.375,169417.625 145665.4375,169413.95309999958 145665.7968999967,169392.45309999958 145651.86410000175,169389.26139999926 145636.6718999967,169385.78130000085 145609.53130000085,169380.25 145592.71880000085,169373.34380000085 145561.59380000085,169362.625 145537.8593999967,169348.01559999958 145515.96880000085,169327.9375 145468.5156000033,169284.14059999958 145422.8906000033,169242.17190000042 145395.5156000033,169214.78130000085 145376.5156000033,169197.59380000085 145356.96880000085,169178.04690000042 145346.2343999967,169167.4375 145331.25,169177.9375 145327.8593999967,169178.60940000042 145332.7968999967,169198.53130000085 145338.4218999967,169217.75 145371.78130000085,169348.01559999958 145384.5625,169400.95309999958 145399.15630000085,169450.21880000085 145406.4531000033,169488.54690000042 145401.8906000033,169530.53130000085 145379.96880000085,169684.0625 145498.8593999967,169699.51559999958 145500.4531000033,169660.10940000042",2277,2006,21001A10-,PORSELEIN,21001A1,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100
9,"146394.09380000085,169384.96880000085 146367.1093999967,169341.60940000042 146289.4843999967,169233.4375 146222.03130000085,169139.26559999958 146218.5625,169117.59380000085 146213.375,169110.0625 146183.5468999967,169070.04690000042 146046.90630000085,169167.96880000085 146019.6875,169187.40630000085 145981.3593999967,169216.60940000042 145901.0625,169273.1875 145835.3593999967,169318.8125 145807.9843999967,169337.0625 145806.59380000085,169339.53130000085 145725.03130000085,169390.82809999958 145715.62560000271,169395.89719999954 145724.79200000316,169395.19209999964 145735.25500000268,169395.19209999964 145738.6032000035,169395.40139999986 145748.01990000159,169395.81989999861 145757.95579999685,169398.16840000078 145773.8593999967,169397.48440000042 145779.4531000033,169397.23440000042 145922.8906000033,169435.48440000042 145947.53130000085,169442.0625 145953.9375,169453.26559999958 145976.34380000085,169459.65630000085 145981.2968999967,169455.32809999958 145989.15630000085,169448.45309999958 146053.5468999967,169461.85940000042 146077.9531000033,169466.95309999958 146093.875,169470.26559999958 146121.9218999967,169501.42190000042 146141.0625,169503.01559999958 146175.9843999967,169486.40630000085 146192.09380000085,169517.375 146211.2343999967,169525.34380000085 146301.4375,169515.35940000042 146331.2520999983,169539.82479999959 146335.96379999816,169539.74219999835 146349.81650000066,169548.5768 146361.33690000325,169554.79639999941 146367.34440000355,169550.2023999989 146382.54,169566.59950000048 146389.442299999,169587.57490000129 146389.4843999967,169587.60940000042 146394.09380000085,169384.96880000085",2278,2007,21001A112,BIESTEBROEK,21001A1,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100
10,"145772.28130000085,169995.40630000085 145801.6718999967,169988.67190000042 145953.0781000033,169953.95309999958 145980.4531000033,169937.51559999958 146011.25,169906.54690000042 145973.15630000085,169859.04690000042 145925.7031000033,169815.23440000042 145896.5,169793.34380000085 145836.2656000033,169740.40630000085 145792.46880000085,169696.60940000042 145759.6093999967,169667.40630000085 145695.7343999967,169609.0 145654.6718999967,169574.32809999958 145605.3906000033,169530.53130000085 145549.7343999967,169554.25 145526.0,169607.1875 145507.75,169629.07809999958 145500.4531000033,169660.10940000042 145498.8593999967,169699.51559999958 145498.7031000033,169703.35940000042 145496.7968999967,169747.71880000085 145526.0,169831.67190000042 145580.625,169866.625 145583.2343999967,169867.82809999958 145632.6093999967,169890.5625 145632.0468999967,169897.10940000042 145631.09380000085,169908.10940000042 145630.7031000033,169912.5625 145677.71880000085,169927.64059999958 145703.03130000085,169953.95309999958 145719.46880000085,169975.84380000085 145729.8281000033,170003.90630000085 145772.28130000085,169995.40630000085",2279,2008,21001A120,MINIMES,21001A1,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100
11,"145705.14050000161,169401.09109999985 145706.0781000033,169401.03130000085 145707.375,169400.34380000085 145715.62560000271,169395.89719999954 145725.03130000085,169390.82809999958 145806.59380000085,169339.53130000085 145807.9843999967,169337.0625 145835.3593999967,169318.8125 145901.0625,169273.1875 145981.3593999967,169216.60940000042 146019.6875,169187.40630000085 146046.90630000085,169167.96880000085 146016.1406000033,169132.14059999958 145991.40630000085,169108.9375 145888.46880000085,169013.53130000085 145849.1406000033,169052.01559999958 145632.875,169268.07809999958 145643.71880000085,169331.59380000085 145652.78959999979,169371.90909999982 145651.86410000175,169389.26139999926 145665.7968999967,169392.45309999958 145703.875,169401.17190000042 145705.14050000161,169401.09109999985",2280,2009,21001A132,RAUTER-NORD,21001A1,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100
