Code;Territoire;Altitude 100;Anderlecht - Centre - Wayez;Anneessens;Auderghem centre;Avenue Léopold III;Bas Forest;Basilique;Béguinage - Dixmude;Berchem Sainte-Agathe Centre;Berckmans - Hôtel des Monnaies;Bizet - Roue- Ceria;Bois de la Cambre;Bois du Laarbeek - Poelbos;Boitsfort Centre;Bon Air;Boondael;Bosnie;Botanique;Boulevard de la Woluwe;Brugmann - Lepoutre;Buffon;Chant d'Oiseau;Chasse;Châtelain;Chaussée de Haecht;Chaussée de Wavre - Saint-Julien;Churchill;Cimetière de Bruxelles;Cimetière de Saint-Gilles;Cimetière d'Ixelles;Cinquantenaire;Colignon;Conscience;Cureghem Bara;Cureghem Rosée;Cureghem Vétérinaire;Dailly;Dansaert;Delta;Dieweg;Domaine Royal Laeken;Dries;Duchesse;Etangs d'Ixelles;Flagey - Malibran;Forêt de Soignes;Fort Jaco;Ganshoren Centre;Gare de l'ouest;Gare de Schaerbeek;Gare du Midi;Gare Josaphat;Georges Henri;Globe;Grand Place;Gribaumont;Haren;Haut Saint-Gilles;Heembeek;Helmet;Heymbosch - AZ-Jette;Heysel;Hôpital Etterbeek-Ixelles;Hôpital Français;Houba;Industrie Birmingham;Industrie Nord;Industrie OTAN;Industrie Sud;Jette Centre;Josaphat;Jourdan;Kalevoet - Moensberg;Kapelleveld;Karreveld;Koekelberg;Korenbeek;Kriekenput - Homborch - Verrewinkel;Louise - Longue Haie;Machtens;Marolles;Martyrs;Matonge;Molenbeek Historique;Molière - Longchamp;Montjoie - Langeveld;Moortebeek - Peterbos;Mutsaard;Neerpede;Notre-Dame-aux-Neiges;Observatoire;Paduwa;Paix;Parc Astrid;Parc Baudouin - Dielegembos;Parc de la Woluwe;Parc des Etangs;Parc Duden - Parc de Forest;Parc Elisabeth;Parc Forestier;Parc Josaphat;Parc Léopold;Parc Marie-José;Parc Wolvendael;Plasky;Porte de Hal;Porte Tervueren;Potaarde;Putdael;Quartier Brabant;Quartier Européen;Quartier Maritime;Quartier Nord;Quartier Royal;Reyers;Roodebeek - Constellations;Sablon;Saint-Denis - Neerstalle;Sainte-Alix - Joli Bois;Saint-Job Kauwberg;Saint-Josse Centre;Saint-Michel;Saint-Paul;Saint-Pierre;Scherdemael;Scheut;Scheutbos;Squares;Stalingrad;Stockel;Terdelt;Transvaal;Trois Tilleuls;Université;Val d'Or;Van Volxem - Van Haelen;Veeweyde - Aurore;Vieux Laeken Est;Vieux Laeken Ouest;Villas de Ganshoren;Vivier d'Oie;Vogelenzang - Erasme;Vossegat - Roosendaal;Watermael Centre;Woeste
46;Altitude 100;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
58;Anderlecht - Centre - Wayez;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
10;Anneessens;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;Auderghem centre;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
84;Avenue Léopold III;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;Bas Forest;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
70;Basilique;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
3;Béguinage - Dixmude;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;Berchem Sainte-Agathe Centre;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
41;Berckmans - Hôtel des Monnaies;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
