,Coord,PKUID,OBJECTID,CD_SECTOR,TX_SECTOR_DESCR_FR,CD_SUB_MUNTY,CD_MUNTY_REFNIS,TX_MUNTY_DESCR_FR,CD_DSTR_REFNIS,TX_ADM_DSTR_DESCR_FR,CD_RGN_REFNIS,TX_RGN_DESCR_FR,CD_NUTS1,CD_NUTS2,CD_NUTS3,coord_lat_long
0,"146020.3906000033,169902.21880000085 146041.46880000085,169823.1875 146062.7031000033,169734.29690000042 146125.8593999967,169522.85940000042 146123.28130000085,169519.85940000042 146093.90630000085,169527.4375 146080.1406000033,169530.98440000042 146077.0625,169529.84380000085 145981.1406000033,169493.28130000085 145961.65630000085,169473.78130000085 145960.34380000085,169472.46880000085 145947.53130000085,169470.875 145912.0156000033,169472.125 145804.5,169444.0625 145790.9375,169439.57809999958 145785.72039999813,169437.85500000045 145784.43110000342,169442.27560000122 145775.85140000284,169439.76449999958 145774.59589999914,169445.83300000057 145766.64400000125,169441.85709999874 145762.24960000068,169439.13670000061 145755.55319999903,169437.04410000145 145749.06620000303,169434.95149999857 145730.86060000211,169427.62739999965 145708.46980000287,169420.09400000051 145699.05309999734,169416.3273999989 145700.51789999753,169407.53849999979 145705.14050000161,169401.09109999985 145703.875,169401.17190000042 145665.7968999967,169392.45309999958 145665.4375,169413.95309999958 145665.375,169417.625 145646.3125,169436.6875 145629.3593999967,169453.64059999958 145625.46880000085,169457.53130000085 145609.0468999967,169483.07809999958 145605.3906000033,169530.53130000085 145654.6718999967,169574.32809999958 145695.7343999967,169609.0 145759.6093999967,169667.40630000085 145792.46880000085,169696.60940000042 145836.2656000033,169740.40630000085 145896.5,169793.34380000085 145925.7031000033,169815.23440000042 145973.15630000085,169859.04690000042 146011.25,169906.54690000042 146015.4375,169910.25 146020.3906000033,169902.21880000085",2269,1998,21001A00-,RESISTANCE,21001A0,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100,"[(4.312252662480847, 50.83951929111166), (4.31255275237954, 50.838808978909704), (4.312855153438817, 50.83801003633666), (4.313753961663217, 50.83610973018891), (4.313717393787446, 50.83608274460884), (4.313300303125734, 50.83615067412708), (4.313104845908335, 50.836182467649536), (4.313061160711327, 50.83617219368422), (4.311699832667098, 50.835842866748074), (4.311423443704563, 50.83566743739436), (4.311404825674048, 50.83565562961845), (4.311222956757408, 50.835641214023944), (4.310718762343546, 50.83565220535611), (4.309192787060723, 50.8353991797164), (4.309000305530332, 50.83535877016138), (4.308926263540148, 50.83534324294078), (4.308907910743942, 50.83538297286448), (4.308786142505946, 50.83536033769609), (4.308768250717802, 50.835414881702924), (4.308655411306748, 50.83537908302942), (4.308593059718258, 50.8353545962495), (4.308498022078596, 50.83533573646636), (4.30840595713605, 50.83531687811914), (4.308147596248995, 50.83525090599906), (4.307829825997781, 50.83518302128052), (4.307696191366436, 50.83514909250442), (4.307717086882835, 50.83507009504127), (4.30778278282527, 50.835012169645715), (4.307764817102481, 50.8350128867598), (4.3072243692773755, 50.83493422941568), (4.307219017115567, 50.83512750188793), (4.307218087144423, 50.83516051012007), (4.306947255940878, 50.83533173243423), (4.306706392461954, 50.83548400726004), (4.306651116010971, 50.83551895393522), (4.306417690206895, 50.835748485510315), (4.306365225299902, 50.836175040550074), (4.307064319332165, 50.83656911968529), (4.30764685320768, 50.8368811059111), (4.3085529814741665, 50.837406615309625), (4.309019141055996, 50.837669373498635), (4.309640417604636, 50.838063398764795), (4.310494965979482, 50.83853970526038), (4.3109093192854475, 50.838736694397944), (4.311582535699437, 50.839130874794975), (4.31212284554941, 50.839558136835045), (4.3121822566489305, 50.83959145432016), (4.312252662480847, 50.83951929111166)]"
1,"146375.0156000033,170067.8125 146365.3593999967,169968.90630000085 146389.4843999967,169848.28130000085 146420.84380000085,169763.84380000085 146471.5156000033,169657.70309999958 146389.4843999967,169587.60940000042 146389.36659999937,169587.60689999908 146353.01780000329,169590.06190000102 146347.73920000345,169586.72230000049 146282.125,169585.32809999958 146183.21880000085,169573.26559999958 146167.7968999967,169560.04690000042 146128.6093999967,169520.85940000042 146126.71880000085,169518.96880000085 146123.28130000085,169519.85940000042 146125.8593999967,169522.85940000042 146062.7031000033,169734.29690000042 146041.46880000085,169823.1875 146020.3906000033,169902.21880000085 146015.4375,169910.25 146408.46880000085,170257.57809999958 146375.0156000033,170067.8125",2270,1999,21001A011,KLEINMOLEN,21001A0,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100,"[(4.31728572433916, 50.841010189517206), (4.317149592633531, 50.84012101002026), (4.317493270584456, 50.83903679621865), (4.317939290276214, 50.83827793380993), (4.3186596703800895, 50.837324083746275), (4.317495792113799, 50.83669347719914), (4.31749411981226, 50.83669345400374), (4.31697807685625, 50.83671529953646), (4.316903172841512, 50.8366852453913), (4.31597170713991, 50.83667230188035), (4.314567727793536, 50.83656323312424), (4.314348930088785, 50.83644430299314), (4.313793021801039, 50.836091769195185), (4.313766202229844, 50.83607476114304), (4.313717393787446, 50.83608274460884), (4.313753961663217, 50.83610973018891), (4.312855153438817, 50.83801003633666), (4.31255275237954, 50.838808978909704), (4.312252662480847, 50.83951929111166), (4.3121822566489305, 50.83959145432016), (4.317758853899631, 50.84271629682883), (4.31728572433916, 50.841010189517206)]"
2,"146389.36659999937,169587.60689999908 146389.4843999967,169587.60940000042 146389.442299999,169587.57490000129 146382.54,169566.59950000048 146367.34440000355,169550.2023999989 146361.33690000325,169554.79639999941 146349.81650000066,169548.5768 146335.96379999816,169539.74219999835 146331.2520999983,169539.82479999959 146301.4375,169515.35940000042 146211.2343999967,169525.34380000085 146192.09380000085,169517.375 146175.9843999967,169486.40630000085 146141.0625,169503.01559999958 146121.9218999967,169501.42190000042 146093.875,169470.26559999958 146077.9531000033,169466.95309999958 146053.5468999967,169461.85940000042 145989.15630000085,169448.45309999958 145981.2968999967,169455.32809999958 145976.34380000085,169459.65630000085 145953.9375,169453.26559999958 145947.53130000085,169442.0625 145922.8906000033,169435.48440000042 145779.4531000033,169397.23440000042 145773.8593999967,169397.48440000042 145757.95579999685,169398.16840000078 145748.01990000159,169395.81989999861 145738.6032000035,169395.40139999986 145735.25500000268,169395.19209999964 145724.79200000316,169395.19209999964 145715.62560000271,169395.89719999954 145707.375,169400.34380000085 145706.0781000033,169401.03130000085 145705.14050000161,169401.09109999985 145700.51789999753,169407.53849999979 145699.05309999734,169416.3273999989 145708.46980000287,169420.09400000051 145730.86060000211,169427.62739999965 145749.06620000303,169434.95149999857 145755.55319999903,169437.04410000145 145762.24960000068,169439.13670000061 145766.64400000125,169441.85709999874 145774.59589999914,169445.83300000057 145775.85140000284,169439.76449999958 145784.43110000342,169442.27560000122 145785.72039999813,169437.85500000045 145790.9375,169439.57809999958 145804.5,169444.0625 145912.0156000033,169472.125 145947.53130000085,169470.875 145960.34380000085,169472.46880000085 145961.65630000085,169473.78130000085 145981.1406000033,169493.28130000085 146077.0625,169529.84380000085 146080.1406000033,169530.98440000042 146093.90630000085,169527.4375 146123.28130000085,169519.85940000042 146126.71880000085,169518.96880000085 146128.6093999967,169520.85940000042 146167.7968999967,169560.04690000042 146183.21880000085,169573.26559999958 146282.125,169585.32809999958 146347.73920000345,169586.72230000049 146353.01780000329,169590.06190000102 146389.36659999937,169587.60689999908",2271,2000,21001A02-,WAYEZ,21001A0,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100,"[(4.31749411981226, 50.83669345400374), (4.317495792113799, 50.83669347719914), (4.317495194782735, 50.83669316680225), (4.3173974108506465, 50.83650456533796), (4.3171818498008365, 50.83635706953198), (4.317096521269657, 50.83639833041423), (4.316933035913378, 50.83634234784918), (4.31673646684432, 50.83626284291748), (4.316669577873943, 50.83626355614168), (4.31624656682096, 50.83604343712286), (4.314965931641716, 50.836132619138084), (4.314694290274399, 50.83606085988853), (4.314465916748003, 50.835782361195115), (4.313969992271843, 50.835931443389754), (4.3136982872946295, 50.83591699103901), (4.313300457645289, 50.8356367248983), (4.31307446528716, 50.83560684122085), (4.312728049149211, 50.835560888137145), (4.3118141062927124, 50.83543993654291), (4.311702460652169, 50.83550168603062), (4.311632099960249, 50.83554056072319), (4.3113140902807325, 50.83548295769399), (4.311223269999136, 50.83538220291159), (4.310873544623474, 50.83532289865831), (4.308837753685274, 50.83497803749507), (4.308758343833215, 50.83498024472819), (4.3085325717961345, 50.834986279122816), (4.308391550579808, 50.83496509546141), (4.30825787786535, 50.834961265205074), (4.308210349919073, 50.83495935943192), (4.308061819380289, 50.83495928348904), (4.307931686992444, 50.834965555327734), (4.3078145119623406, 50.83500546807184), (4.307796093501139, 50.83501163891586), (4.30778278282527, 50.835012169645715), (4.307717086882835, 50.83507009504127), (4.307696191366436, 50.83514909250442), (4.307829825997781, 50.83518302128052), (4.308147596248995, 50.83525090599906), (4.30840595713605, 50.83531687811914), (4.308498022078596, 50.83533573646636), (4.308593059718258, 50.8353545962495), (4.308655411306748, 50.83537908302942), (4.308768250717802, 50.835414881702924), (4.308786142505946, 50.83536033769609), (4.308907910743942, 50.83538297286448), (4.308926263540148, 50.83534324294078), (4.309000305530332, 50.83535877016138), (4.309192787060723, 50.8353991797164), (4.310718762343546, 50.83565220535611), (4.311222956757408, 50.835641214023944), (4.311404825674048, 50.83565562961845), (4.311423443704563, 50.83566743739436), (4.311699832667098, 50.835842866748074), (4.313061160711327, 50.83617219368422), (4.313104845908335, 50.836182467649536), (4.313300303125734, 50.83615067412708), (4.313717393787446, 50.83608274460884), (4.313766202229844, 50.83607476114304), (4.313793021801039, 50.836091769195185), (4.314348930088785, 50.83644430299314), (4.314567727793536, 50.83656323312424), (4.31597170713991, 50.83667230188035), (4.316903172841512, 50.8366852453913), (4.31697807685625, 50.83671529953646), (4.31749411981226, 50.83669345400374)]"
3,"145849.1406000033,169052.01559999958 145888.46880000085,169013.53130000085 145849.0468999967,168977.53130000085 145790.6406000033,168922.78130000085 145737.71880000085,168869.84380000085 145684.78130000085,168831.51559999958 145628.2031000033,168800.5 145573.4531000033,168769.46880000085 145510.4843999967,168736.60940000042 145475.0625,168714.01559999958 145435.0156000033,168688.48440000042 145443.875,168747.5625 145453.0,168787.71880000085 145463.34380000085,168827.32809999958 145478.5468999967,168858.89059999958 145511.40630000085,168937.375 145553.375,169034.10940000042 145566.15630000085,169059.65630000085 145582.5781000033,169094.32809999958 145602.65630000085,169132.65630000085 145616.34380000085,169185.59380000085 145632.875,169268.07809999958 145849.1406000033,169052.01559999958",2272,2001,21001A031,RAUTER-SUD,21001A0,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100,"[(4.30983086810682, 50.83187517337914), (4.310389550817552, 50.83152949293435), (4.30983036759164, 50.83120559242955), (4.309001928688633, 50.83071299965249), (4.308251335367216, 50.83023673427646), (4.307500365194528, 50.829891794999156), (4.306697643562903, 50.82961256084282), (4.305920881285295, 50.829333194694875), (4.305027494000477, 50.829037325986405), (4.304524990060215, 50.82883394626421), (4.303956879791927, 50.82860412256423), (4.304081906126027, 50.82913527712999), (4.304210936313166, 50.82949633500498), (4.304357275095388, 50.82985248482222), (4.304572688422447, 50.83013633468068), (4.30503815970838, 50.83084212598106), (4.3056327313850264, 50.8317120435106), (4.305813855351998, 50.831941795103425), (4.306046549566514, 50.83225360247817), (4.306331106537309, 50.83259830609163), (4.306524778601979, 50.8330742923509), (4.306758475510993, 50.8338159116014), (4.30983086810682, 50.83187517337914)]"
4,"145327.8593999967,169178.60940000042 145331.25,169177.9375 145346.2343999967,169167.4375 145347.25,169166.73440000042 145353.0156000033,169140.79690000042 145352.71880000085,169138.01559999958 145350.7968999967,169119.89059999958 145330.71880000085,169099.8125 145387.2968999967,168988.48440000042 145442.0468999967,168871.67190000042 145463.34380000085,168827.32809999958 145453.0,168787.71880000085 145443.875,168747.5625 145435.0156000033,168688.48440000042 145388.1718999967,168658.60940000042 145316.125,168612.51559999958 145267.125,168574.375 145210.2343999967,168640.84380000085 145140.5468999967,168704.46880000085 145029.1875,168836.5 144956.2343999967,168909.4375 144987.6093999967,168926.42190000042 145053.3125,168966.57809999958 145115.3593999967,169008.54690000042 145162.8125,169039.57809999958 145241.28130000085,169090.6875 145275.21880000085,169113.90630000085 145270.9843999967,169145.57809999958 145288.65630000085,169174.54690000042 145287.7968999967,169176.20309999958 145298.03130000085,169179.64059999958 145307.2343999967,169182.73440000042 145327.8593999967,169178.60940000042",2273,2002,21001A041,VEEWEYDE-SUD,21001A0,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100,"[(4.302429767076147, 50.833009284094075), (4.302477905746405, 50.833003270961115), (4.302690743537869, 50.83290899956936), (4.302705168940002, 50.83290268706021), (4.302787336395642, 50.83266956633266), (4.3027831580143046, 50.83264456136218), (4.302756102849285, 50.83248161064065), (4.3024713452807095, 50.83230095847116), (4.303275849981976, 50.8313006158782), (4.30405443884045, 50.83025095102487), (4.304357275095388, 50.82985248482222), (4.304210936313166, 50.82949633500498), (4.304081906126027, 50.82913527712999), (4.303956879791927, 50.82860412256423), (4.303292356457413, 50.828335193982454), (4.302270317939002, 50.82792026149876), (4.301575313382526, 50.827577001856056), (4.300766977917981, 50.828174066051375), (4.299777020894764, 50.82874545438627), (4.298194631403961, 50.829931424296085), (4.297158126489424, 50.83058647779131), (4.297603249039785, 50.83073942848964), (4.298535338648324, 50.831100971608926), (4.299415520015101, 50.831478771351485), (4.300088700893972, 50.83175812040945), (4.301201897971903, 50.832218211486854), (4.301683344680538, 50.83242721179897), (4.301622834840288, 50.83271189284334), (4.3018733226905725, 50.83297245111781), (4.301861102376862, 50.832987332712236), (4.302006338228794, 50.833018316241834), (4.302136939084079, 50.83304620165116), (4.302429767076147, 50.833009284094075)]"
5,"145401.8906000033,169530.53130000085 145406.4531000033,169488.54690000042 145399.15630000085,169450.21880000085 145384.5625,169400.95309999958 145371.78130000085,169348.01559999958 145338.4218999967,169217.75 145332.7968999967,169198.53130000085 145327.8593999967,169178.60940000042 145307.2343999967,169182.73440000042 145298.03130000085,169179.64059999958 145287.7968999967,169176.20309999958 145270.8281000033,169208.8125 145193.4375,169348.98440000042 145151.09380000085,169404.46880000085 145103.3281000033,169449.125 145108.7031000033,169644.6875 145178.03130000085,169652.84380000085 145180.7656000033,169653.4375 145377.6718999967,169683.76559999958 145379.96880000085,169684.0625 145401.8906000033,169530.53130000085",2274,2003,21001A051,LINDE-EST,21001A0,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100,"[(4.303476307724286, 50.83617348428345), (4.3035415957891505, 50.83579609960553), (4.303438483859258, 50.83545149060271), (4.3032319220703, 50.8350085002335), (4.303051140898096, 50.834532515924046), (4.302579213684144, 50.83336122412835), (4.302499606073811, 50.83318841213363), (4.302429767076147, 50.833009284094075), (4.302136939084079, 50.83304620165116), (4.302006338228794, 50.833018316241834), (4.301861102376862, 50.832987332712236), (4.301619812624599, 50.83328034006513), (4.300519420656186, 50.83453979340489), (4.299917600727127, 50.83503822472831), (4.299238940065797, 50.835439267204244), (4.2993126717827765, 50.8371973282128), (4.300296781313553, 50.83727122267997), (4.3003355910735195, 50.8372765822013), (4.303130592283274, 50.8375507995212), (4.303163196700623, 50.837553486572624), (4.303476307724286, 50.83617348428345)]"
6,"146587.40559999645,170741.79960000142 146614.75609999895,170728.4990000017 146653.72119999677,170710.1404 146701.86559999734,170686.16189999878 146741.76739999652,170667.0540000014 146748.32410000265,170664.05669999868 146748.71159999818,170664.93519999832 146749.7031000033,170664.40630000085 146826.6093999967,170628.82809999958 146840.90630000085,170622.20309999958 146917.40630000085,170586.09380000085 146998.6718999967,170546.5625 146981.09380000085,170527.14059999958 146965.0,170511.5 146910.5781000033,170458.64059999958 146844.0625,170395.57809999958 146802.4375,170350.17190000042 146758.8906000033,170296.67190000042 146694.0468999967,170221.70309999958 146628.3281000033,170135.375 146582.4843999967,170053.34380000085 146464.9218999967,169830.875 146420.84380000085,169763.84380000085 146389.4843999967,169848.28130000085 146365.3593999967,169968.90630000085 146375.0156000033,170067.8125 146408.46880000085,170257.57809999958 146429.2968999967,170342.84380000085 146477.5468999967,170468.29690000042 146482.7031000033,170483.59380000085 146498.875,170531.57809999958 146574.02099999785,170748.21070000157 146587.40559999645,170741.79960000142",2275,2004,21001A07-,BIRMINGHAM,21001A0,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100,"[(4.320294997208322, 50.847070277117965), (4.320683479781911, 50.846950868825495), (4.321236925768982, 50.84678605628306), (4.321920757239384, 50.846570772335156), (4.32248750138248, 50.846399223266346), (4.322580627658649, 50.84637231515752), (4.322586122219001, 50.84638021458007), (4.32260020536592, 50.84637546548738), (4.323692518301663, 50.84605605319641), (4.323895578000669, 50.84599657432902), (4.324982108643372, 50.84567237348831), (4.326136318164104, 50.84531742465074), (4.325886884876973, 50.84514274161102), (4.325658498062927, 50.84500205772083), (4.324886207779457, 50.844526595100184), (4.323942306407612, 50.84395934185294), (4.323351681910843, 50.84355093794045), (4.322733850229341, 50.84306976106561), (4.321813847178427, 50.84239546767309), (4.320881548528184, 50.84161904722251), (4.32023141941555, 50.840881361786174), (4.318564423207671, 50.83888077892181), (4.317939290276214, 50.83827793380993), (4.317493270584456, 50.83903679621865), (4.317149592633531, 50.84012101002026), (4.31728572433916, 50.841010189517206), (4.317758853899631, 50.84271629682883), (4.318053758266088, 50.84348292120948), (4.318737645482716, 50.84461097453405), (4.318810712704021, 50.84474851707022), (4.319039883362831, 50.84517996900242), (4.320104884451084, 50.84712783217749), (4.320294997208322, 50.847070277117965)]"
7,"145151.09380000085,169404.46880000085 145193.4375,169348.98440000042 145270.8281000033,169208.8125 145287.7968999967,169176.20309999958 145288.65630000085,169174.54690000042 145270.9843999967,169145.57809999958 145275.21880000085,169113.90630000085 145241.28130000085,169090.6875 145162.8125,169039.57809999958 145115.3593999967,169008.54690000042 145053.3125,168966.57809999958 144987.6093999967,168926.42190000042 144956.2343999967,168909.4375 144886.8281000033,168981.04690000042 144837.1875,169037.98440000042 144807.9843999967,169071.5625 144778.78130000085,169135.8125 144769.7031000033,169162.59380000085 144792.65630000085,169205.89059999958 144796.9531000033,169212.9375 144797.8906000033,169214.46880000085 144842.4375,169260.17190000042 144843.25,169261.29690000042 144859.03130000085,169277.1875 144903.8593999967,169320.40630000085 144931.4375,169340.10940000042 144937.71880000085,169344.59380000085 144948.8125,169352.23440000042 145043.78130000085,169417.60940000042 145069.34380000085,169436.57809999958 145103.3281000033,169449.125 145151.09380000085,169404.46880000085",2276,2005,21001A08-,ASTRID (PARC),21001A0,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100,"[(4.299917600727127, 50.83503822472831), (4.300519420656186, 50.83453979340489), (4.301619812624599, 50.83328034006513), (4.301861102376862, 50.832987332712236), (4.3018733226905725, 50.83297245111781), (4.301622834840288, 50.83271189284334), (4.301683344680538, 50.83242721179897), (4.301201897971903, 50.832218211486854), (4.300088700893972, 50.83175812040945), (4.299415520015101, 50.831478771351485), (4.298535338648324, 50.831100971608926), (4.297603249039785, 50.83073942848964), (4.297158126489424, 50.83058647779131), (4.296171956592551, 50.83122961387839), (4.295466534655488, 50.83174102193963), (4.2950515332199215, 50.8320426163539), (4.294636095765515, 50.83261993571184), (4.294506853260198, 50.83286060660633), (4.294832071086951, 50.83325002911707), (4.2948929667170255, 50.8333134156231), (4.294906253377232, 50.833327189617826), (4.29553797582181, 50.83373843257533), (4.295549493997759, 50.83374855294653), (4.295773296510939, 50.83389154054511), (4.296409059964124, 50.83428044849074), (4.296800278613755, 50.83445780898573), (4.296889384618418, 50.834498175860084), (4.297046763103219, 50.83456695686461), (4.298394037662152, 50.83515545709858), (4.298756667557678, 50.83532619209556), (4.299238940065797, 50.835439267204244), (4.299917600727127, 50.83503822472831)]"
8,"145500.4531000033,169660.10940000042 145507.75,169629.07809999958 145526.0,169607.1875 145549.7343999967,169554.25 145605.3906000033,169530.53130000085 145609.0468999967,169483.07809999958 145625.46880000085,169457.53130000085 145629.3593999967,169453.64059999958 145646.3125,169436.6875 145665.375,169417.625 145665.4375,169413.95309999958 145665.7968999967,169392.45309999958 145651.86410000175,169389.26139999926 145636.6718999967,169385.78130000085 145609.53130000085,169380.25 145592.71880000085,169373.34380000085 145561.59380000085,169362.625 145537.8593999967,169348.01559999958 145515.96880000085,169327.9375 145468.5156000033,169284.14059999958 145422.8906000033,169242.17190000042 145395.5156000033,169214.78130000085 145376.5156000033,169197.59380000085 145356.96880000085,169178.04690000042 145346.2343999967,169167.4375 145331.25,169177.9375 145327.8593999967,169178.60940000042 145332.7968999967,169198.53130000085 145338.4218999967,169217.75 145371.78130000085,169348.01559999958 145384.5625,169400.95309999958 145399.15630000085,169450.21880000085 145406.4531000033,169488.54690000042 145401.8906000033,169530.53130000085 145379.96880000085,169684.0625 145498.8593999967,169699.51559999958 145500.4531000033,169660.10940000042",2277,2006,21001A10-,PORSELEIN,21001A1,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100,"[(4.304873950191547, 50.837339093924136), (4.304977915112337, 50.83706019276769), (4.3052372628759805, 50.83686354559542), (4.305574837749388, 50.8363878421275), (4.306365225299902, 50.836175040550074), (4.306417690206895, 50.835748485510315), (4.306651116010971, 50.83551895393522), (4.306706392461954, 50.83548400726004), (4.306947255940878, 50.83533173243423), (4.307218087144423, 50.83516051012007), (4.307219017115567, 50.83512750188793), (4.3072243692773755, 50.83493422941568), (4.307026619558023, 50.834905434666254), (4.306810995314578, 50.834874037657855), (4.306425779000833, 50.83482411183059), (4.306187194722583, 50.834761902509506), (4.305745480416401, 50.83466531132712), (4.3054087290689145, 50.83453379989807), (4.305098219346353, 50.83435314045321), (4.304425125508335, 50.83395906255082), (4.30377797244574, 50.83358142966281), (4.303389712925034, 50.8333349868775), (4.303120215743759, 50.83318032994759), (4.30284298782693, 50.83300445814028), (4.302690743537869, 50.83290899956936), (4.302477905746405, 50.833003270961115), (4.302429767076147, 50.833009284094075), (4.302499606073811, 50.83318841213363), (4.302579213684144, 50.83336122412835), (4.303051140898096, 50.834532515924046), (4.3032319220703, 50.8350085002335), (4.303438483859258, 50.83545149060271), (4.3035415957891505, 50.83579609960553), (4.303476307724286, 50.83617348428345), (4.303163196700623, 50.837553486572624), (4.304850848778108, 50.83769332510491), (4.304873950191547, 50.837339093924136)]"
9,"146394.09380000085,169384.96880000085 146367.1093999967,169341.60940000042 146289.4843999967,169233.4375 146222.03130000085,169139.26559999958 146218.5625,169117.59380000085 146213.375,169110.0625 146183.5468999967,169070.04690000042 146046.90630000085,169167.96880000085 146019.6875,169187.40630000085 145981.3593999967,169216.60940000042 145901.0625,169273.1875 145835.3593999967,169318.8125 145807.9843999967,169337.0625 145806.59380000085,169339.53130000085 145725.03130000085,169390.82809999958 145715.62560000271,169395.89719999954 145724.79200000316,169395.19209999964 145735.25500000268,169395.19209999964 145738.6032000035,169395.40139999986 145748.01990000159,169395.81989999861 145757.95579999685,169398.16840000078 145773.8593999967,169397.48440000042 145779.4531000033,169397.23440000042 145922.8906000033,169435.48440000042 145947.53130000085,169442.0625 145953.9375,169453.26559999958 145976.34380000085,169459.65630000085 145981.2968999967,169455.32809999958 145989.15630000085,169448.45309999958 146053.5468999967,169461.85940000042 146077.9531000033,169466.95309999958 146093.875,169470.26559999958 146121.9218999967,169501.42190000042 146141.0625,169503.01559999958 146175.9843999967,169486.40630000085 146192.09380000085,169517.375 146211.2343999967,169525.34380000085 146301.4375,169515.35940000042 146331.2520999983,169539.82479999959 146335.96379999816,169539.74219999835 146349.81650000066,169548.5768 146361.33690000325,169554.79639999941 146367.34440000355,169550.2023999989 146382.54,169566.59950000048 146389.442299999,169587.57490000129 146389.4843999967,169587.60940000042 146394.09380000085,169384.96880000085",2278,2007,21001A112,BIESTEBROEK,21001A1,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100,"[(4.317563186076173, 50.83487185972113), (4.317180543909681, 50.83448191287556), (4.316079682453432, 50.83350901323837), (4.315123115508537, 50.83266202198163), (4.315074095199172, 50.832467180057456), (4.315000534876522, 50.83239944375977), (4.314577533839646, 50.832039529124636), (4.3126368950489375, 50.83291890142093), (4.312250311970706, 50.833093452354895), (4.311705921149255, 50.83335571458169), (4.310565459968474, 50.83386377226834), (4.309632264468247, 50.83427345889867), (4.309243455101073, 50.834437323667245), (4.309223686872836, 50.83445950714031), (4.308065266510897, 50.83492005487197), (4.307931686992444, 50.834965555327734), (4.308061819380289, 50.83495928348904), (4.308210349919073, 50.83495935943192), (4.30825787786535, 50.834961265205074), (4.308391550579808, 50.83496509546141), (4.3085325717961345, 50.834986279122816), (4.308758343833215, 50.83498024472819), (4.308837753685274, 50.83497803749507), (4.310873544623474, 50.83532289865831), (4.311223269999136, 50.83538220291159), (4.3113140902807325, 50.83548295769399), (4.311632099960249, 50.83554056072319), (4.311702460652169, 50.83550168603062), (4.3118141062927124, 50.83543993654291), (4.312728049149211, 50.835560888137145), (4.31307446528716, 50.83560684122085), (4.313300457645289, 50.8356367248983), (4.3136982872946295, 50.83591699103901), (4.313969992271843, 50.835931443389754), (4.314465916748003, 50.835782361195115), (4.314694290274399, 50.83606085988853), (4.314965931641716, 50.836132619138084), (4.31624656682096, 50.83604343712286), (4.316669577873943, 50.83626355614168), (4.31673646684432, 50.83626284291748), (4.316933035913378, 50.83634234784918), (4.317096521269657, 50.83639833041423), (4.3171818498008365, 50.83635706953198), (4.3173974108506465, 50.83650456533796), (4.317495194782735, 50.83669316680225), (4.317495792113799, 50.83669347719914), (4.317563186076173, 50.83487185972113)]"
