,SectorStatID,Nb d'enfants inscrits en secondaires habitant la com
0,Anderlecht,8615
1,Auderghem,2082
2,Berchem Sainte-Agathe,1829
3,Bruxelles,11697
4,Etterbeek,2347
5,Evere,2744
6,Forest,2254
7,Ganshoren,0
8,Ixelles,2661
9,Jette,3617
10,Koekelberg,1573
11,Molenbeek Saint-Jean,7714
12,Saint-Gilles,2633
13,Saint-Josse-ten-Noode,1800
14,Schaerbeek,9297
15,Uccle,5159
16,Watermael-Boitsfort,1582
17,Woluwe Saint-Lambert,3166
18,Woluwe Saint-Pierre,2551
