,SectorStatID,long,lat
0,21001A00-,4.31030708221896,50.8369071102961
1,21001A011,4.315444826817516,50.83893312253833
2,21001A02-,4.312986230216151,50.83588485822617
3,21001A031,4.307007229421878,50.83115452878121
4,21001A041,4.301314966817025,50.83016044162608
5,21001A051,4.301530342034462,50.83564801965738
6,21001A07-,4.320617548159275,50.84342466702596
7,21001A08-,4.29820230861355,50.83299199111065
8,21001A10-,4.304525961182626,50.83546307695431
9,21001A112,4.313794703585986,50.83445579328563
10,21001A120,4.307931684271431,50.83850676343967
11,21001A132,4.309476996447605,50.83332563729759
12,21001A142,4.304783746245521,50.83262809694207
13,21001A152,4.297074811549398,50.83585437930382
14,21001A30-,4.299056100004324,50.8246246609814
15,21001A31-,4.309517658848192,50.83038351742857
16,21001A32-,4.307704089126328,50.82791656521096
17,21001A331,4.304039423936227,50.82436782594669
18,21001A332,4.301269606159359,50.82306188477296
19,21001A34-,4.296619637396319,50.82002981708214
20,21001A350,4.296850146017008,50.81769525920959
21,21001A37-,4.292303766477095,50.81095113425319
22,21001A3MJ,4.295380727834705,50.81390547505618
23,21001A401,4.292362817277708,50.82776173367451
24,21001A41-,4.28786876725385,50.82871033450832
25,21001A42-,4.291248348842133,50.83223759464785
26,21001A43-,4.296595170369041,50.82908697350625
27,21001A441,4.294076177536187,50.82580409609572
28,21001A451,4.292192606603466,50.82372531355976
29,21001A472,4.298394554850822,50.82726709430268
30,21001A492,4.28636463519904,50.82547999912913
31,21001A503,4.284085421074233,50.82640473457151
32,21001A51-,4.285703673625032,50.83131421361328
33,21001A52-,4.289564153241429,50.83406224990052
34,21001A53-,4.293990316643839,50.8308940607015
35,21001A552,4.28858938119817,50.8207241645168
36,21001A712,4.315482771373601,50.84721644083084
37,21001A72-,4.307358597050964,50.84853369527228
38,21001A732,4.298509671072343,50.84379886414165
39,21001A74-,4.302505113271077,50.84549778663051
40,21001A783,4.313264245023758,50.84655496928516
41,21001A80-,4.288679832917523,50.83610732182638
42,21001A81-,4.289169723974405,50.83852581676481
43,21001A82-,4.287612617616442,50.84241969597949
44,21001A83-,4.294076455865801,50.84148064932957
45,21001A84-,4.294609068066829,50.84527784451327
46,21001A85-,4.293716331166983,50.84764883067459
47,21001A90-,4.308032297370002,50.8454765580884
48,21001A911,4.314427245140996,50.84569453450268
49,21001A92-,4.306680049354394,50.84225767678759
50,21001A931,4.314626226531876,50.84256385208176
51,21001A941,4.302730081610632,50.84034612269746
52,21001A95-,4.298942101396995,50.83922819535216
53,21001A982,4.31053602437236,50.84105301125044
54,21001B10-,4.3349482467044,50.8458056515303
55,21001B11-,4.330748546413246,50.84387138674484
56,21001B17-,4.324735230676035,50.84179512942072
57,21001B20-,4.330109723890907,50.83975726355118
58,21001B21-,4.335396006695814,50.84250146519071
59,21001B22-,4.337816605942167,50.84087229794279
60,21001B23-,4.333641656197337,50.83801321929531
61,21001B241,4.329480958168133,50.83455567739021
62,21001B25-,4.326212974828699,50.835856653246
63,21001B31-,4.323958948822919,50.83877373802963
64,21001B321,4.321546631810095,50.83748675875319
65,21001B332,4.32227454104817,50.83469172469299
66,21001B372,4.326062710021303,50.83187444234532
67,21001B3MJ,4.311635252958053,50.82354484381987
68,21001C512,4.282943023430859,50.81632122692584
69,21001C522,4.26919183440351,50.81358349129731
70,21001C581,4.282945600659911,50.81137584528242
71,21001C5MA,4.268182811421767,50.81666432213198
72,21001C5PA,4.255817315351059,50.81899618797401
73,21001C611,4.278973044379208,50.82959437539966
74,21001C6MB,4.279311848505767,50.820035049604
75,21001C6PB,4.265564808297829,50.82673743896389
76,21001C70-,4.278637694483396,50.83443753666975
77,21001C71-,4.277745613940471,50.83682222255979
78,21001C79-,4.270875247298497,50.83491938877968
79,21002A00-,4.429670530721153,50.81781230134671
80,21002A01-,4.437307355381097,50.81583908209863
81,21002A02-,4.429656937850286,50.81438749786501
82,21002A030,4.421958611729149,50.81208514369163
83,21002A041,4.422100623235313,50.81523702040365
84,21002A072,4.424277275254935,50.81373711855827
85,21002A091,4.447584942129952,50.81949008109164
86,21002A10-,4.432180869983848,50.80910783811714
87,21002A11-,4.43504048663014,50.8119456907002
88,21002A12-,4.440152997578011,50.80767442464484
89,21002A130,4.437230685859548,50.80310199815865
90,21002A14-,4.431272540478668,50.80479390089319
91,21002A15-,4.428405845346965,50.81155033490518
92,21002A18-,4.44640070308794,50.81401492716652
93,21002A190,4.458933246317028,50.79818839649225
94,21002A20-,4.407091363828637,50.81977876671777
95,21002A21-,4.407903699189388,50.82334949867966
96,21002A22-,4.413473653646315,50.82140303959982
97,21002A23-,4.412884288856516,50.81856033506714
98,21002A24-,4.419500047088965,50.81846755178716
99,21002A25-,4.419184642435967,50.81664369155863
100,21002A30-,4.401790218217098,50.82244915144855
101,21002A311,4.40285236653736,50.82525741545106
102,21002A372,4.403761207057817,50.82335363241396
103,21002A39-,4.399267028939981,50.8158001725031
