SectorStatID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
21001B3MJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001A51-,7,7,7,7,7,8,8,8,8,8,7,7,7,7,7,5,5,5,6,6,6,7,7,7,7,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,17,17,17,13,13,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,2,2,2,2,2
21001A42-,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,3,3,3,3,4,4,4,4,4,4,3,4,4,3,3,3,3,3,2,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0
21001A52-,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
21001C70-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,3,3,3,3,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001A552,19,19,19,19,19,27,27,27,27,27,21,21,21,21,21,18,18,18,22,22,22,23,23,23,19,18,20,18,18,19,16,18,18,17,17,16,16,13,16,14,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,14,14,14,14,14,11,11,11,9,9,8,8,8,8,8,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1
21001A84-,11,11,11,11,11,8,8,8,8,8,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,12,12,12,12,12,11,11,11,9,9,10,10,10,10,10,7,7,7,7,7,8,8,8,8,8,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0
21001A34-,12,12,12,12,12,16,16,16,16,16,18,18,18,18,18,22,22,22,22,22,22,16,16,16,16,13,13,13,13,13,13,14,14,14,14,15,13,14,15,12,14,14,14,14,14,13,13,13,13,13,17,17,17,17,17,14,14,14,14,14,11,11,11,11,11,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1
21001A350,9,9,9,9,9,11,11,11,11,11,12,12,12,12,12,9,9,9,11,11,11,11,11,11,9,10,10,11,10,11,12,9,12,12,11,12,11,11,11,11,11,11,11,11,11,10,10,10,10,10,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
21001A441,17,17,17,17,17,18,18,18,18,18,15,15,15,15,15,13,13,13,16,16,16,20,20,20,20,18,18,18,18,18,19,17,20,16,17,20,20,20,20,20,20,20,20,20,20,15,15,15,15,15,17,17,17,17,17,14,14,14,14,14,12,12,12,10,10,8,8,8,8,8,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1
21001C512,8,8,8,8,8,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,12,12,12,12,12,9,9,7,7,7,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,2,2,2,2,2
21001C71-,7,7,7,7,7,9,9,9,9,9,17,17,17,17,17,14,14,14,14,14,14,9,9,9,9,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,9,9,9,9,9,5,5,5,5,5,4,4,4,4,3,4,4,4,4,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
21001A82-,11,11,11,11,11,13,13,13,13,13,12,12,12,12,12,15,15,15,15,15,15,12,12,12,12,7,7,7,7,7,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,14,13,10,10,10,12,12,12,12,12,11,11,11,11,11,14,14,14,14,14,9,9,9,9,9,8,8,8,8,8,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2
21001C611,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
