SectorStatID,Quartier,Places Mat ss
21001A041,Veeweyde - Aurore,74.0
21001A472,Bizet - Roue- Ceria,25.0
21001A83-,Moortebeek - Peterbos,197.0
21001A503,Scherdemael,154.0
21001A332,Bizet - Roue- Ceria,53.0
21001A43-,Veeweyde - Aurore,31.0
21001A401,Scherdemael,77.0
21001A32-,Veeweyde - Aurore,101.0
21001A53-,Scherdemael,34.0
21001A41-,Scherdemael,202.0
21001A85-,Scheut,37.0
21001A51-,Scherdemael,103.0
21001A42-,Scherdemael,38.0
21001A52-,Scherdemael,43.0
21001C70-,Bon Air,9.0
21001A552,Bizet - Roue- Ceria,98.0
21001A84-,Moortebeek - Peterbos,88.0
21001A34-,Bizet - Roue- Ceria,68.0
21001A350,Bizet - Roue- Ceria,45.0
21001A441,Bizet - Roue- Ceria,91.0
21001C512,Vogelenzang - Erasme,202.0
21001C71-,Bon Air,38.0
21001A82-,Moortebeek - Peterbos,98.0
21001C611,Neerpede,111.0
21001A451,Bizet - Roue- Ceria,52.0
21001A30-,Bizet - Roue- Ceria,118.0
21001A80-,Scherdemael,252.0
21001A81-,Moortebeek - Peterbos,105.0
21001A31-,Veeweyde - Aurore,27.0
21001A031,Veeweyde - Aurore,49.0
21001B22-,Cureghem Bara,34.0
21001B321,Cureghem Vétérinaire,93.0
21001B20-,Cureghem Bara,160.0
21001B23-,Cureghem Bara,32.0
21001A142,Veeweyde - Aurore,27.0
21001A051,Anderlecht - Centre - Wayez,66.0
21001A941,Buffon,115.0
21001A732,Buffon,9.0
21001A90-,Scheut,77.0
21001A132,Veeweyde - Aurore,30.0
21001B31-,Cureghem Vétérinaire,34.0
21001B25-,Cureghem Vétérinaire,190.0
21001B11-,Cureghem Rosée,46.0
21001A72-,Machtens,159.0
21001A011,Anderlecht - Centre - Wayez,130.0
21001B17-,Cureghem Rosée,56.0
21001A712,Scheut,48.0
21001A07-,Industrie Birmingham,0.0
21001B21-,Cureghem Bara,100.0
21001A911,Scheut,108.0
21001A931,Scheut,106.0
21001A74-,Scheut,124.0
21001A92-,Scheut,169.0
21001A00-,Anderlecht - Centre - Wayez,102.0
21001A95-,Buffon,149.0
21001B10-,Cureghem Rosée,126.0
21001B332,Cureghem Vétérinaire,43.0
21001B241,Cureghem Vétérinaire,100.0
21001A10-,Anderlecht - Centre - Wayez,40.0
21001A120,Anderlecht - Centre - Wayez,142.0
21001A152,Anderlecht - Centre - Wayez,52.0
21001A02-,Anderlecht - Centre - Wayez,54.0
21001A112,Veeweyde - Aurore,81.0
21002A20-,Chaussée de Wavre - Saint-Julien,30.0
21002A53-,Watermael Centre,46.0
21002A511,Chaussée de Wavre - Saint-Julien,100.0
21002A23-,Chaussée de Wavre - Saint-Julien,50.0
21002A22-,Chaussée de Wavre - Saint-Julien,36.0
21002A24-,Chaussée de Wavre - Saint-Julien,43.0
21002A25-,Chaussée de Wavre - Saint-Julien,51.0
21002A45-,Chaussée de Wavre - Saint-Julien,19.0
21002A441,Chant d'Oiseau,81.0
21002A130,Transvaal,51.0
21002A311,Chaussée de Wavre - Saint-Julien,34.0
21002A372,Chaussée de Wavre - Saint-Julien,24.0
21002A30-,Chaussée de Wavre - Saint-Julien,40.0
21002A21-,Chaussée de Wavre - Saint-Julien,111.0
21002A411,Putdael,0.0
21002A00-,Auderghem centre,25.0
21002A02-,Auderghem centre,23.0
21002A030,Trois Tilleuls,127.0
21002A11-,Transvaal,41.0
21002A10-,Transvaal,111.0
21002A14-,Transvaal,13.0
21002A12-,Transvaal,62.0
21002A43-,Auderghem centre,48.0
21002A041,Auderghem centre,13.0
21002A01-,Auderghem centre,21.0
21002A52-,Watermael Centre,26.0
21003A312,Potaarde,147.0
21003A323,Berchem Sainte-Agathe Centre,37.0
21003A342,Korenbeek,7.0
21003A331,Berchem Sainte-Agathe Centre,44.0
21003A04-,Potaarde,86.0
21003A0AJ,Berchem Sainte-Agathe Centre,47.0
21003A02-,Berchem Sainte-Agathe Centre,149.0
21003A03-,Korenbeek,16.0
21003A011,Berchem Sainte-Agathe Centre,70.0
21003A212,Berchem Sainte-Agathe Centre,32.0
21003A00-,Berchem Sainte-Agathe Centre,154.0
21003A283,Berchem Sainte-Agathe Centre,11.0
21003A11-,Berchem Sainte-Agathe Centre,33.0
21003A05-,Berchem Sainte-Agathe Centre,85.0
21003A41-,Berchem Sainte-Agathe Centre,36.0
21003A2MJ,Berchem Sainte-Agathe Centre,22.0
21003A10-,Hôpital Français,99.0
21004B421,Squares,245.0
21004B411,Squares,89.0
21004F511,Mutsaard,77.0
21004C62-,Boondael,22.0
21004C65-,Fort Jaco,44.0
21004G310,Haren,38.0
21004F94-,Heembeek,49.0
21004F901,Heembeek,176.0
21004G30-,Haren,114.0
21004F930,Heembeek,142.0
21004G321,Haren,40.0
21004B2WJ,Quartier Européen,0.0
21004B45-,Porte Tervueren,180.0
21004A25-,Béguinage - Dixmude,46.0
21004B2MJ,Quartier Européen,0.0
21004B44-,Squares,181.0
21004B43-,Squares,381.0
21004A24-,Dansaert,168.0
21004A35-,Martyrs,145.0
21004A83-,Béguinage - Dixmude,55.0
21004F531,Heembeek,241.0
21004G3MJ,Haren,18.0
21004F91-,Heembeek,227.0
21004F922,Heembeek,238.0
21004G3NJ,Industrie OTAN,0.0
21004C642,Boondael,13.0
21004C61-,Boondael,33.0
21004C54-,Etangs d'Ixelles,47.0
21004C63-,Dries,20.0
21004B13-,Quartier Européen,0.0
21004F953,Heembeek,92.0
21004F9MJ,Industrie Nord,0.0
21004A02-,Stalingrad,31.0
21004A70-,Marolles,345.0
21004A03-,Stalingrad,39.0
21004A23-,Dansaert,145.0
21004A01-,Grand Place,62.0
21004A22-,Anneessens,184.0
21004B10-,Quartier Européen,0.0
21004A72-,Marolles,133.0
21004A71-,Marolles,102.0
21004A002,Grand Place,33.0
21004A34-,Grand Place,47.0
21004A15-,Marolles,30.0
21004A04-,Marolles,84.0
21004A16-,Marolles,133.0
21004A20-,Dansaert,103.0
21004A14-,Sablon,0.0
21004A001,Grand Place,22.0
21004A32-,Martyrs,98.0
21004C52-,Châtelain,37.0
21004C552,Etangs d'Ixelles,42.0
21004C51-,Louise - Longue Haie,37.0
21004A33-,Notre-Dame-aux-Neiges,78.0
21004C53-,Brugmann - Lepoutre,14.0
21004C501,Châtelain,11.0
21004A21-,Anneessens,382.0
21004A13-,Sablon,0.0
21004E70-,Vieux Laeken Est,319.0
21004E74-,Vieux Laeken Ouest,406.0
21004E201,Mutsaard,210.0
21004E83-,Heysel,213.0
21004E130,Houba,186.0
21004E73-,Vieux Laeken Est,229.0
21004E72-,Vieux Laeken Est,333.0
21004D64-,Quartier Nord,45.0
21004E112,Vieux Laeken Est,26.0
21004D62-,Quartier Nord,138.0
21004E211,Mutsaard,43.0
21004D631,Quartier Maritime,10.0
21004E12-,Houba,223.0
21004D6NJ,Quartier Maritime,11.0
21004A822,Béguinage - Dixmude,22.0
21004E800,Heysel,59.0
21004E233,Mutsaard,21.0
21004E101,Vieux Laeken Est,114.0
21004A811,Béguinage - Dixmude,97.0
21004D672,Quartier Nord,30.0
21004E14-,Houba,109.0
21004F522,Mutsaard,74.0
21004E82-,Heysel,197.0
21004E222,Mutsaard,82.0
21004E81-,Heysel,57.0
21004D600,Quartier Nord,40.0
21004D610,Quartier Nord,133.0
21005A10-,Chasse,115.0
21005A042,Chasse,137.0
21005A02-,Saint-Pierre,105.0
21005A33-,Chaussée de Wavre - Saint-Julien,52.0
21005A14-,Saint-Michel,330.0
21005A13-,Chasse,45.0
21005A082,Saint-Pierre,18.0
21005A01-,Saint-Pierre,119.0
21005A322,Chasse,10.0
21005A311,Chasse,60.0
21005A20-,Porte Tervueren,199.0
21005A15-,Saint-Michel,234.0
21005A031,Jourdan,18.0
21005A051,Saint-Pierre,173.0
21005A11-,Saint-Pierre,118.0
21005A00-,Jourdan,47.0
21005A12-,Chasse,194.0
21005A22-,Porte Tervueren,120.0
21005A21-,Porte Tervueren,79.0
21006A12-,Avenue Léopold III,22.0
21006A11-,Avenue Léopold III,15.0
21006A153,Conscience,47.0
21006A13-,Conscience,51.0
21006A02-,Paix,30.0
21006A03-,Paix,43.0
21006A094,Paix,16.0
21006A515,Paix,52.0
21006A24-,Paduwa,28.0
21006A403,Paduwa,94.0
21006A474,Paduwa,51.0
21006A201,Paduwa,113.0
21006A21-,Paduwa,29.0
21006A23-,Paduwa,143.0
21006A312,Avenue Léopold III,12.0
21006A101,Conscience,216.0
21006A001,Paix,152.0
21006A414,Avenue Léopold III,83.0
21006A171,Avenue Léopold III,18.0
21006A25-,Paduwa,45.0
21006A22-,Avenue Léopold III,59.0
21006A011,Paix,141.0
21006A142,Conscience,55.0
21006A042,Paix,60.0
21006A052,Paix,119.0
21006A323,Avenue Léopold III,21.0
21007A03-,Saint-Denis - Neerstalle,24.0
