Code postal de l'implantation;Libellé commune de l'implantation;Sexe;Age;Code postal du domicile légal;Libellé de la commune de domicile légal;Code INS du domicile belge;Code INS de l'arrondissement du domicile belge;Commune_from;Commune_to;Sum of Compte
1000;BRUXELLES;Femme;18;7000;MONS;53053;53000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;18;7060;SOIGNIES;55040;55000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;18;7090;BRAINE-LE-COMTE;55004;55000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;18;7100;LA LOUVIERE;58001;58000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;18;7130;BINCHE;58002;58000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;18;7180;SENEFFE;55085;55000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;18;7190;ECAUSSINNES;55050;55000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;18;7500;TOURNAI;57081;57000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;18;7780;COMINES-WARNETON;57097;57000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;18;7830;SILLY;51068;51000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;18;7850;ENGHIEN;51067;51000;(blank);Bruxelles;5
1000;BRUXELLES;Femme;18;9300;ALOST;41002;41000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;18;9620;ZOTTEGEM;41081;41000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;18;(blank);(blank);(blank);(blank);(blank);Bruxelles;13
1000;BRUXELLES;Femme;19;0002;REGION FLAMANDE;(blank);(blank);(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;1300;WAVRE;25112;25000;(blank);Bruxelles;6
1000;BRUXELLES;Femme;19;1315;INCOURT;25043;25000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;1320;BEAUVECHAIN;25005;25000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;19;1325;CHAUMONT-GISTOUX;25018;25000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;1330;RIXENSART;25091;25000;(blank);Bruxelles;9
1000;BRUXELLES;Femme;19;1340;OTTIGNIES-LOUVAIN-LA-NEUVE;25121;25000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;19;1357;HELECINE;25118;25000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;1367;RAMILLIES;25122;25000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;19;1370;JODOIGNE;25048;25000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;1380;LASNE;25119;25000;(blank);Bruxelles;8
1000;BRUXELLES;Femme;19;1390;GREZ-DOICEAU;25037;25000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;19;1402;NIVELLES;(blank);(blank);(blank);Bruxelles;6
1000;BRUXELLES;Femme;19;1410;WATERLOO;25110;25000;(blank);Bruxelles;10
1000;BRUXELLES;Femme;19;1420;BRAINE-L'ALLEUD;25014;25000;(blank);Bruxelles;7
1000;BRUXELLES;Femme;19;1430;REBECQ;25123;25000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;19;1435;MONT-SAINT-GUIBERT;25068;25000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;1450;CHASTRE;25117;25000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;1460;ITTRE;25044;25000;(blank);Bruxelles;4
1000;BRUXELLES;Femme;19;1470;GENAPPE;25031;25000;(blank);Bruxelles;4
1000;BRUXELLES;Femme;19;1480;TUBIZE;25105;25000;(blank);Bruxelles;5
1000;BRUXELLES;Femme;19;1490;COURT-SAINT-ETIENNE;25023;25000;(blank);Bruxelles;4
1000;BRUXELLES;Femme;19;1495;VILLERS-LA-VILLE;25107;25000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;19;1500;HAL;23027;23000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;19;1600;SINT-PIETERS-LEEUW;23077;23000;(blank);Bruxelles;8
1000;BRUXELLES;Femme;19;1620;DROGENBOS;23098;23000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;19;1630;LINKEBEEK;23100;23000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;19;1640;RHODE-SAINT-GENESE;23101;23000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;19;1650;BEERSEL;23003;23000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;19;1700;DILBEEK;23016;23000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;1730;ASSE;23002;23000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;19;1760;ROOSDAAL;23097;23000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;1780;WEMMEL;23102;23000;(blank);Bruxelles;4
1000;BRUXELLES;Femme;19;1800;VILVORDE;23088;23000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;19;1830;MACHELEN;23047;23000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;19;1850;GRIMBERGEN;23025;23000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;19;1860;MEISE;23050;23000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;19;1930;ZAVENTEM;23094;23000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;1970;WEZEMBEEK-OPPEM;23103;23000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;19;2000;ANVERS;11002;11000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;3080;TERVUREN;24104;24000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;3090;OVERIJSE;23062;23000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;3300;TIRLEMONT;24107;24000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;3400;LANDEN;24059;24000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;4000;LIEGE;62063;62000;(blank);Bruxelles;5
1000;BRUXELLES;Femme;19;4040;HERSTAL;62051;62000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;4050;CHAUDFONTAINE;62022;62000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;19;4120;NEUPRE;62121;62000;(blank);Bruxelles;4
1000;BRUXELLES;Femme;19;4140;SPRIMONT;62100;62000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;4160;ANTHISNES;61079;61000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;4280;HANNUT;64034;64000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;4300;WAREMME;64074;64000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;4430;ANS;62003;62000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;19;4460;GRACE-HOLLOGNE;62118;62000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;4470;SAINT-GEORGES-SUR-MEUSE;64065;64000;(blank);Bruxelles;1
