SectorStatID,Closest_Peri
21006A142,21016A533
21006A153,21016A533
21006A171,21001C522
21006A201,21001C522
21006A21-,21001C522
21006A22-,21001C522
21006A23-,21001C522
21006A24-,21001C522
21006A25-,21001C522
21006A272,21001C522
21006A312,21016A533
21006A323,21016A533
21006A37-,21001C522
21006A403,21001C522
21006A414,21001C522
21006A474,21001C522
21006A48-,21001C522
21006A515,21016A521
21007A00-,21004F970
21007A01-,21004F970
21007A02-,21004F970
21007A03-,21004F970
21007A04-,21004F970
21007A05-,21004F970
21007A06-,21004F970
21007A071,21004F970
21007A082,21004F970
21007A101,21004F970
21007A111,21004F970
21007A12-,21004F970
21007A132,21004F970
21007A142,21004F970
21007A201,21004F970
21007A21-,21004F970
21007A239,21004F970
21007A242,21004F970
21007A252,21004F970
21007A291,21004F970
21007A373,21004F970
21007A40-,21004F970
21007A41-,21004F970
21007A50-,21004F970
21007A51-,21004F970
21007A52-,21004F970
21007A53-,21004F970
21007A541,21004F970
21007A552,21004F970
21007A60-,21004F970
21007A61-,21004F970
21007A70-,21004F970
21007A71-,21004F970
21007A72-,21004G3MJ
21007A73-,21004F9MJ
21007A75-,21004F970
21007A783,21004F970
21007A79-,21004F970
21007A814,21004F970
21008A00-,21017A09-
21008A01-,21017A09-
21008A02-,21017A09-
21008A10-,21017A09-
21008A19-,21017A09-
21008A20-,21017A09-
21008A21-,21017A09-
21008A220,21017A09-
21008A23-,21017A09-
21008A240,21017A09-
21008A27-,21017A09-
21008A29-,21017A09-
21008A30-,21017A09-
21008A31-,21017A09-
21008A32-,21017A09-
21008A33-,21017A09-
21008A34-,21017A09-
21008A35-,21017A09-
21008A38-,21017A09-
21009A00-,21004F970
21009A01-,21004F9MJ
21009A02-,21004F970
21009A03-,21004F970
21009A041,21004F9MJ
21009A051,21004F9MJ
21009A101,21004F970
21009A111,21001C5PA
21009A121,21004F970
21009A13-,21004F970
21009A151,21004E800
21009A192,21004F970
21009A20-,21004E800
21009A21-,21004F9MJ
21009A22-,21004E800
21009A23-,21004F970
21009A29-,21004E82-
21009A2MJ,21001C5PA
21009A301,21004F9MJ
21009A311,21004F9MJ
21009A33-,21004F9MJ
21009A34-,21004E82-
21009A40-,21004F970
21009A41-,21004F970
21009A42-,21004F970
21009A43-,21004F9MJ
21009A44-,21004F9MJ
21009A451,21004F970
21009A501,21004F9MJ
21009A512,21004F9MJ
21009A52-,21004F9MJ
21009A53-,21004F9MJ
21009A542,21004G3MJ
21009A552,21004F9MJ
21009A593,21001C522
21009A602,21004F970
21009A612,21004F970
21009A623,21004F970
21009A63-,21004F970
21009A652,21004F970
21009A712,21004F9MJ
21009A72-,21004F9MJ
21009A73-,21004F9MJ
21009A802,21004E800
21009A812,21004F9MJ
21009A82-,21004F9MJ
21009A83-,21004F9MJ
21009A90-,21004F970
21009A911,21004E800
21009A922,21004F9MJ
21010A00-,21017A09-
21010A01-,21017A09-
21010A02-,21017A09-
21010A03-,21017A09-
21010A04-,21017A09-
21010A05-,21017A09-
21010A092,21017A09-
21010A10-,21017A09-
21010A111,21017A09-
21010A121,21017A09-
21010A13-,21017A09-
21010A141,21017A09-
21010A182,21017A09-
21010A1AJ,21017A09-
21010A21-,21017A09-
21010A312,21017A09-
21010A393,21017A09-
21010A493,21017A09-
21010A4MJ,21017A09-
21011A00-,21017A09-
21011A01-,21017A09-
21011A02-,21017A09-
21011A10-,21017A09-
21011A11-,21017A09-
21011A12-,21017A09-
21011A20-,21017A09-
21011A29-,21017A09-
21011A30-,21017A09-
21012A00-,21017A09-
21012A011,21017A09-
21012A02-,21017A09-
21012A03-,21017A09-
21012A041,21017A09-
21012A05-,21017A09-
21012A10-,21019A43-
21012A11-,21019A43-
21012A12-,21019A43-
21012A13-,21019A43-
21012A141,21017A09-
21012A152,21017A09-
21012A172,21019A43-
21012A20-,21019A43-
21012A21-,21019A43-
21012A22-,21019A43-
21012A23-,21019A43-
21012A24-,21019A43-
21012A25-,21019A43-
21012A26-,21019A43-
21012A29-,21019A43-
21012A2MJ,21017A09-
21012A30-,21019A43-
21012A39-,21019A43-
21012A41-,21019A43-
21012A50-,21017A09-
21012A511,21017A09-
21012A52-,21017A09-
21012A53-,21017A09-
21012A54-,21017A09-
21012A552,21017A09-
21012A59-,21017A09-
21012A60-,21017A09-
21012A611,21017A09-
21012A62-,21017A09-
21012A63-,21017A09-
21012A672,21017A09-
21012A71-,21017A09-
21012A72-,21017A09-
21012A732,21017A09-
21012A811,21017A09-
21012A822,21019A43-
21012A833,21019A43-
21012A84-,21019A43-
21012A851,21019A43-
21012A882,21019A43-
21013A00-,21004G3MJ
21013A01-,21004G3MJ
21013A02-,21004G3MJ
21013A031,21004F9MJ
21013A04-,21004F9MJ
21013A052,21004F9MJ
21013A101,21004F970
21013A102,21004F970
21013A11-,21004F970
21013A121,21004F970
21013A13-,21004F970
21013A151,21004F970
21013A201,21004G3MJ
21013A211,21004F970
21013A22-,21004F970
21013A23-,21004F970
21013A242,21004F970
21013A252,21002A190
21013A2MJ,21004G3MJ
21013A40-,21004F970
21013A41-,21004F970
21013A422,21004F970
21013A51-,21004G3MJ
21013A522,21004F970
21013A612,21019A43-
21013A623,21019A43-
21014A00-,21016A533
21014A01-,21016A533
21014A02-,21016A533
21014A03-,21016A533
21014A04-,21002A190
21014A05-,21016A533
21014A10-,21016A533
21014A12-,21017A09-
21014A13-,21017A09-
21014A14-,21017A09-
21014A18-,21017A09-
21014A2MJ,21017A09-
21014A3MJ,21017A09-
21014A41-,21016A533
21015A00-,21016A521
21015A01-,21016A521
21015A021,21016A521
21015A03-,21016A521
21015A04-,21001C5PA
21015A05-,21016A521
21015A101,21016A521
21015A111,21016A521
21015A12-,21016A521
21015A13-,21016A521
21015A142,21016A521
21015A152,21016A521
21015A20-,21001C5PA
21015A21-,21001C5PA
21015A22-,21001C5PA
21015A231,21016A521
21015A24-,21016A521
21015A272,21001C5PA
21015A30-,21016A533
21015A31-,21001C522
21015A32-,21016A533
21015A33-,21016A533
21015A34-,21016A533
21015A35-,21016A533
21015A36-,21001C522
21015A39-,21016A533
21015A40-,21016A533
21015A41-,21016A521
21015A421,21002A190
21015A43-,21017A09-
21015A44-,21016A521
21015A45-,21016A521
21015A50-,21001C522
21015A51-,21001C522
21015A52-,21001C522
21015A53-,21001C522
21015A54-,21001C522
21015A612,21016A521
21015A622,21016A521
21015A63-,21016A533
21015A64-,21016A533
21015A70-,21001C522
21015A71-,21001C522
21015A721,21001C522
21015A73-,21001C522
21015A77-,21001C522
21015A782,21001C522
21015A7MJ,21016A533
21015A811,21016A533
21015A822,21016A533
21015A831,21016A533
21015A883,21016A533
21016A00-,21004F9MJ
21016A01-,21004F9MJ
21016A02-,21004F9MJ
21016A03-,21004F9MJ
21016A042,21004F9MJ
21016A05-,21004F9MJ
21016A102,21004F970
21016A111,21004F970
21016A12-,21004F970
21016A13-,21004F970
21016A193,21004F9MJ
21016A214,21004F970
21016A225,21004F970
21016A232,21004F970
21016A311,21004F970
21016A322,21004F970
21016A331,21004F970
21016A342,21004F970
21016A383,21004F970
21016A39-,21004E800
21016A400,21004F970
21016A410,21004F970
21016A429,21004F970
21016A44-,21004F970
21016A490,21004F970
21016A521,21004F970
21016A533,21004F9MJ
21016A601,21004F9MJ
21016A610,21004F970
21016A620,21004F9MJ
21016A639,21004F970
21016A64-,21004F9MJ
21016A65-,21004F9MJ
21016A692,21004F9MJ
21016A701,21004G3MJ
21016A71-,21004G3MJ
21016A72-,21004G3MJ
21016A731,21004G3MJ
21016A772,21004F970
21016A80-,21004F970
21016A81-,21004F970
21016A82-,21004F970
21016A831,21004F970
21016A841,21004F970
21016A85-,21004F9MJ
21016A901,21004G3MJ
21016A912,21004F9MJ
21016A922,21004F9MJ
21016A933,21004G3MJ
21016A943,21004G3MJ
21016A954,21004G3MJ
21017A000,21004E82-
21017A01-,21004E82-
21017A021,21004E82-
21017A031,21004E82-
21017A041,21004E82-
21017A08-,21010A4MJ
21017A09-,21004E82-
21017A11-,21010A4MJ
21017A12-,21010A4MJ
21017A13-,21004E82-
21017A192,21004E82-
21017A212,21004E82-
21017A220,21004E82-
21017A230,21004E82-
21017A240,21010A4MJ
21017A312,21004E82-
21017A323,21004E82-
21017A374,21004E82-
21017A382,21004E82-
21017A393,21004E82-
21017A41-,21004E82-
21017A421,21004E82-
21017A432,21004E82-
21017A443,21004E82-
21017A451,21004E82-
21017A472,21004E82-
21017A501,21004E82-
21017A512,21004E82-
21017A523,21004E82-
21017A534,21004E82-
21017A541,21004E82-
21017A613,21004E82-
21017A624,21010A4MJ
21017A635,21010A4MJ
21017A696,21010A4MJ
21018A00-,21001C522
21018A01-,21001C522
21018A02-,21001C522
21018A031,21001C522
21018A04-,21001C522
21018A05-,21001C522
21018A09-,21001C522
21018A12-,21001C522
21018A13-,21001C522
21018A14-,21001C522
21018A15-,21001C6PB
21018A19-,21001C522
21018A20-,21001C522
21018A21-,21001C522
21018A22-,21001C522
21018A24-,21001C522
21018A30-,21001C522
21018A311,21001C522
21018A32-,21001C522
21018A33-,21001C522
21018A34-,21001C522
21018A35-,21001C522
21018A37-,21001C522
21018A3MJ,21001C522
21018A41-,21001C522
21018A42-,21001C522
21018A43-,21001C522
21018A512,21001C522
21018A60-,21001C522
21018A61-,21001C522
21018A62-,21001C522
21018A63-,21001C522
21018A643,21001C522
21018A72-,21001C522
21018A81-,21001C522
21018A82-,21001C522
21018A83-,21001C522
21018A84-,21001C522
21018A87-,21001C522
21019A001,21001C6PB
21019A01-,21001C6PB
21019A02-,21001C6PB
21019A03-,21001C522
21019A04-,21001C522
21019A052,21001C522
21019A09-,21001C6PB
21019A10-,21001C6PB
21019A11-,21001C6PB
21019A12-,21001C6PB
21019A131,21001C6PB
21019A14-,21001C522
21019A15-,21001C522
21019A20-,21001C6PB
21019A21-,21001C6PB
21019A22-,21001C6PB
21019A231,21001C6PB
21019A242,21001C6PB
21019A252,21001C6PB
21019A28-,21001C6PB
21019A30-,21001C6PB
21019A31-,21001C6PB
21019A32-,21001C6PB
21019A33-,21001C6PB
21019A34-,21001C6PB
21019A35-,21001C6PB
21019A40-,21001C6PB
21019A41-,21001C6PB
21019A42-,21001C6PB
21019A43-,21001C6PB
21019A441,21001C6PB
21019A45-,21001C6PB
21019A492,21001C6PB
21019A51-,21001C6PB
21019A52-,21001C522
